field_id,month,oil_bbl,gas_mcf,water_bbl,potential_bbl,loss_bbl,downtime_loss_bbl,downtime_hours,maint_attributed_downtime_hours,lost_revenue_usd,well_days,loss_pct,oil_sold_bbl,gas_sold_mcf,revenue_usd,cost_energy_usd,cost_labor_usd,cost_maintenance_usd,cost_other_usd,cost_production_usd,cost_transportation_usd,cost_utilities_usd,opex_total_usd,cost_per_bbl_oil_sold,cost_per_boe_sold,revenue_per_bbl_oil_sold,operating_margin_usd
FIELD-001,2022-11-01,125627.4069381,126642.6,112427.0,131621.6,5994.1930618999995,1801.0495,154.59,111.224,460723.468797863,480,4.554110466595148,123676.9,116376.1,9947796.97,92936.23,638287.21,13284.66,132771.91,1096728.79,365200.95,184927.8,2524137.55,20.409126926693666,17.642315602475428,80.4337509268101,7423659.420000001
FIELD-001,2022-12-01,121010.6,122054.0,109517.3,134159.5,13148.9,8501.16525,844.34,814.5459999999999,988125.7880000001,496,9.800945889035066,119231.3,112316.7,9404273.36,99760.52,663704.61,93295.54000000001,158821.33,1090102.75,363505.2,190584.04,2659773.99,22.307682546445438,19.280605505950493,78.87419964388545,6744499.369999999
FIELD-001,2023-01-01,123846.0716614,125585.0,114931.3,131108.9,7262.828338600001,3154.6826666666666,247.14,177.008,541639.091342946,496,5.53953876403509,121972.6,115592.8,9602084.98,105801.83,667260.24,12904.880000000001,148884.28,1104574.97,368709.46,184705.88,2592841.54,21.25757375017012,18.357951232222096,78.7232950679087,7009243.44
FIELD-001,2023-02-01,111666.7200758,111878.0,104207.5,117226.1,5559.400000000001,1307.9457083333334,211.03,131.316,399727.78,448,4.742459230495598,109760.7,102931.6,8302828.88,99655.05,608749.69,57480.55,141848.32,995460.32,322731.51,168192.86,2394118.3000000003,21.812163187734775,18.863806996703072,75.64482442258478,5908710.58
FIELD-001,2023-03-01,112949.5027251,117291.9,107323.7,131222.3,18272.7972749,13925.598833333333,1260.44,1201.1519999999998,1175607.1087574011,505,13.925070109958446,111429.1,108096.2,7575083.32,106859.47,682394.74,72691.74,151081.73,1060491.79,334233.73,186512.15,2594265.35,23.281758086532154,20.041428234459183,67.98119449946199,4980817.970000001
FIELD-001,2023-04-01,114648.9702415,122714.7,106172.4,134315.8,19666.8297585,15732.409791666667,1408.38,1349.6,1246391.1336782551,510,14.642231039460736,113013.6,113037.8,7555444.7,103585.57,696607.85,110417.37,128083.87,1078080.33,335962.18,177748.89,2630486.0600000005,23.275836359517797,19.950106595793255,66.85429629708283,4924958.64
FIELD-001,2023-05-01,122947.0132805,131324.6,115302.4,135632.0,12684.986719499999,8785.359958333333,838.1,800.4939999999999,785609.0091020659,527,9.352502889804764,121112.9,120900.5,7916260.0,106284.66,709398.35,33198.119999999995,147350.61,1132683.8800000001,359341.88,181543.34,2669800.84,22.04390151668402,18.899507691269438,65.36264923059393,5246459.16
FIELD-001,2023-06-01,119809.5737985,127787.7,114634.5,129325.3,9515.726201500001,5605.359541666667,530.25,493.13,599997.16459869,509,7.357977287893398,118227.8,117793.1,7842813.29,96991.4,667647.23,50804.049999999996,132953.79,1085663.88,356683.79,182710.71,2573454.85,21.766918186754722,18.667163507321863,66.33645631568886,5269358.4399999995
FIELD-001,2023-07-01,118617.3885456,127867.8,115753.0,132301.8,13684.4114544,9787.654541666667,918.01,891.76,879663.538737968,527,10.343329761499845,116921.8,117617.5,7862799.61,91540.43,707803.0,117718.78,161059.62,1101526.23,349369.16,185400.59,2714417.81,23.215669019806402,19.882244594782165,67.24836266632911,5148381.800000001
FIELD-001,2023-08-01,115540.0057748,125042.8,115382.1,128567.6,13027.5942252,9000.046333333334,859.48,790.4069999999999,888722.752310704,525,10.132875020767285,114188.7,115230.5,8145442.2,90817.33,718501.53,66192.45999999999,151422.03,1092452.48,339563.56,184921.48,2643870.87,23.153524560661435,19.820045611820742,71.33317219654835,5501571.33
FIELD-001,2023-09-01,116203.8291569,124574.4,117983.9,123051.1,6847.2708431,3287.7450416666666,382.06,342.852,435707.35124293703,509,5.564575077427183,114449.8,114725.4,7583691.16,87239.94,688885.3200000001,42221.07,148464.13999999998,1083282.72,338100.21,175686.79,2563880.19,22.401788294955516,19.194929651487936,66.26216175126562,5019810.970000001
FIELD-001,2023-10-01,109070.5280412,117689.8,112631.6,124327.6,15257.0719588,11713.793458333334,1257.84,1204.25,1115979.9499203,527,12.271669330703721,107315.4,108218.6,8188599.66,89057.4,714280.55,114728.29000000001,145084.77,1064642.78,327647.13,184183.02,2639623.94,24.59687929225442,21.05772105447201,76.30405011769048,5548975.720000001
FIELD-001,2023-11-01,139120.7091083,164452.4,122432.0,149710.6,10589.890891699999,6403.810197466667,572.33,535.232,697721.220321619,540,7.073574544287443,136822.8,151306.0,9476727.78,92433.06,731288.48,73147.52,137613.49,1218594.96,410683.35,180645.45,2844406.31,20.78897895672359,17.55367883413485,69.26278208017962,6632321.469999999
FIELD-001,2023-12-01,132146.4469274,155122.9,120645.8,150837.4,18690.9825541,13842.202583333334,1202.38,1139.99,1212874.708453346,558,12.391477547411982,130385.9,142577.1,8855821.8,97453.89,758200.83,58754.58,140134.29,1211524.52,394438.5,187611.32,2848117.9299999997,21.84375710870577,18.47642572515184,67.92008798497385,6007703.870000001
FIELD-001,2024-01-01,137172.5025297,160619.1,126941.6,147247.4,10074.8974703,5609.981833333333,552.04,512.236,684798.5112951801,555,6.842156445750486,135333.1,148064.5,9647099.82,106384.35,755914.68,48968.19,145057.44,1236128.27,403091.98,188526.24,2884071.1499999994,21.310907309446094,18.024259967912524,71.28411172137488,6763028.670000001
FIELD-001,2024-02-01,124101.1284202,145788.1,118789.8,134740.9,10639.7715798,6452.229541666667,639.48,592.816,739233.418731229,522,7.896467649986011,122317.6,134195.7,8971584.19,102036.08,706329.36,30597.879999999997,139442.77,1136276.37,372408.06,175493.53,2662584.05,21.76779179774619,18.402811169618104,73.34663359974361,6309000.14
FIELD-001,2024-03-01,134231.3312736,157612.7,132057.7,140767.6,6536.2729054,2128.2669166666665,204.07,126.054,461963.042288808,558,4.643307767838621,132024.1,144960.1,9762752.39,111619.45,751609.01,18709.800000000003,138569.04,1217230.19,392822.29,185728.74,2816288.5200000005,21.33162445341419,18.03184971753957,73.94674449589128,6946463.87
FIELD-001,2024-04-01,110472.8355469,128130.1,111408.5,133815.5,23342.674819,19584.582791666668,1863.25,1838.732,1644593.0699044298,540,17.443924522196607,108882.3,117875.0,8051103.07,103407.29,729167.11,99198.1,137984.61,1084028.51,324707.53,183021.09,2661514.24,24.443956823101644,20.70763941694737,73.9431759799343,5389588.83
FIELD-001,2024-05-01,125059.4030973,146748.5,127212.1,134679.4,9620.0036037,5155.21125,528.79,454.636,662808.1500023131,557,7.142891640221149,123386.1,135113.7,8965938.21,104277.36,760510.24,33381.17,168986.27,1174612.52,370778.68,188724.2,2801270.4400000004,22.703290240959074,19.19926993616739,72.66570715826175,6164667.7700000005
FIELD-001,2024-06-01,122306.7021779,143216.6,128049.6,128095.6,5788.8978221,1770.0815833333334,170.11,129.504,360634.76454256196,540,4.519201145160333,120487.7,131779.8,7934651.74,97709.68,727680.95,10624.55,140744.93,1144868.43,363719.1,185199.66,2670547.3000000003,22.16448068973016,18.747129188282287,65.85445435509185,5264104.4399999995
FIELD-001,2024-07-01,118875.2860644,139546.0,127888.4,129789.2,10913.9139356,6758.261666666666,752.42,668.868,712957.905659162,558,8.408953854095719,116982.9,128292.2,8001363.98,95707.98,753946.01,99323.47,158913.19,1144168.95,354870.28,187122.91,2794052.79,23.88428385687139,20.193359131456237,68.39772291505854,5207311.19
FIELD-001,2024-08-01,106314.7715535,125186.6,112786.2,126667.1,20352.3310093,16316.417791666667,1723.25,1696.306,1366921.380326127,558,16.067574776165237,104716.7,115203.2,7353453.09,88743.58,726388.0,180946.18,154655.28,1053762.3699999999,319040.39,182828.92,2706364.72,25.844633377484204,21.84009961487735,70.22235316811931,4647088.369999999
FIELD-001,2024-09-01,110415.9246202,129722.8,122710.6,120405.9,9989.9753798,6437.804083333333,798.66,758.15,691476.018625684,540,8.29691516761222,108700.3,119367.5,7865715.78,86112.09,694411.69,43716.310000000005,135868.38999999998,1079127.34,325756.71,175503.04,2540495.5700000003,23.3715598760997,19.755806017683703,72.3614909986449,5325220.21
FIELD-001,2024-10-01,107613.2,126125.5,121720.7,121983.8,14370.6,10546.232083333334,1178.24,1138.6599999999999,1071628.0720000002,558,11.780744656257633,105897.9,115841.9,8203191.53,88979.61,758218.9,58844.07,145314.18,1083901.95,320369.62,186534.05,2642162.38,24.950092305890863,21.102710290985723,77.46321249052154,5561029.15
FIELD-001,2024-11-01,105426.1272365,123321.9,121736.5,116156.2,10730.0727635,6965.664541666667,816.4300000000001,752.058,834002.940378065,540,9.23762378891527,103797.5,113513.9,8419693.14,88081.56999999999,731060.5,74257.69,154023.49,1058280.65,312312.74,178864.75,2596881.3899999997,25.018727715022035,21.16163468395783,81.11653113032588,5822811.750000001
FIELD-001,2024-12-01,109771.4106973,129629.7,128196.9,117959.8,8188.3893027,4766.035375,655.26,586.648,577014.230887503,558,6.941677845079425,108136.2,119215.4,8037023.359999999,100895.91,765005.63,56962.43,138710.22999999998,1097981.97,326985.79,181644.76,2668186.7199999997,24.674315539107162,20.844323951873914,74.32315320863873,5368836.64
FIELD-002,2022-01-01,47966.6815812,46328.0,42913.7,53777.2,5810.5184188,4172.805416666667,575.17,551.3199999999999,390688.760442683,310,10.804799094783665,47236.6,42550.8,3302802.91,104212.15,424691.79,66801.47,146026.15,543939.52,141046.88,185976.59,1612694.55,34.140783841343364,29.684190036886786,69.92041997095473,1690108.36
FIELD-002,2022-02-01,46241.5,44140.5,37365.3,54372.8,8131.3,6640.468166666667,748.23,729.1279999999999,532047.4820000001,290,14.954720007062354,45551.4,40596.3,3132927.67,96279.78,392133.1,134717.72,124171.16,513123.56,137787.45,169824.3,1568037.07,34.42346601860755,29.97158825592608,68.77785688255464,1564890.5999999999
FIELD-002,2022-03-01,72861.6982029,65049.8,47267.2,88249.4,15387.7017971,12781.136347966667,1317.71,1293.164,1024257.977906601,363,17.436607837673687,71837.8,59867.0,5034797.23,104285.85,493605.7,167980.22999999998,166963.66999999998,721376.7,216913.83,185811.1,2056937.08,28.633074509520057,25.14112518838087,70.08562664780938,2977860.1500000004
FIELD-002,2022-04-01,82235.6494358,73706.2,53829.8,89242.3,7006.6505642,4195.437708333334,338.47,321.74,519563.09145858703,360,7.851266231596451,78087.1,65442.1,6139233.91,105136.5,482508.39,36528.08,140303.45,763677.14,241658.75,176993.92,1946806.23,24.93121437471746,21.87567339189276,78.62033434459725,4192427.68
FIELD-002,2022-05-01,98121.7997366,86199.1,58709.5,105937.0,7815.200263400001,4523.253000000001,352.63,317.3,637889.8170421091,396,7.377215008354023,96662.8,79421.4,8095105.15,106008.48,541956.89,17059.33,136089.57,874314.5700000001,295373.96,186961.81,2157764.61,22.3225957658996,19.633944496663776,83.74581690164159,5937340.540000001
FIELD-002,2022-06-01,88237.58169590001,78047.1,53420.4,103252.4,15014.8183041,11745.122000000001,995.77,969.0699999999999,1118540.439838491,390,14.541858885701446,86805.0,71796.5,6681254.82,96489.85,517309.2,75330.20999999999,157079.08000000002,822287.71,257022.38999999998,178396.32,2103914.76,24.23725315362018,21.300918133090573,76.968548125108,4577340.0600000005
FIELD-002,2022-07-01,83899.7459808,74588.0,52316.8,103230.4,19330.6540192,16368.802375000001,1521.91,1498.357,1601389.929145823,403,18.725737785768533,82665.8,68667.4,7118678.5,95234.02,537510.13,155562.16,146789.97,815401.25,248205.99,189754.7,2188458.22,26.473562464767777,23.25416739424031,86.11394917849945,4930220.279999999
FIELD-002,2022-08-01,89352.4687137,79123.9,57307.2,99890.5,10538.0312863,7365.598458333333,760.08,691.484,797814.467507541,403,10.54958307977235,88006.5,72849.3,6940796.93,92438.27,549594.21,45686.65,148160.52,843787.87,263754.33,187371.05,2130792.9,24.21176731264168,21.276429246500555,78.86686699277894,4810004.029999999
FIELD-002,2022-09-01,88257.7,79035.4,58560.1,94149.7,5892.0,2789.1797083333336,299.67,238.411,419943.239,390,6.25811871944361,86915.4,72750.0,6478205.42,88621.27,528974.36,37117.380000000005,153221.73,825529.16,261204.81,178660.6,2073329.31,23.854567890155256,20.934177466973075,74.53460974694934,4404876.109999999
FIELD-002,2022-10-01,93390.6656241,86814.0,59192.1,103893.3,10502.6343759,7342.29075,724.13,648.3439999999999,725862.530608895,411,10.109058405017455,91734.2,79984.5,6628102.66,92008.24,553161.48,99093.08,142489.27,869391.78,280103.69,190802.46,2227050.0,24.277205229892452,21.196888210578315,72.25334346405158,4401052.66
FIELD-002,2022-11-01,114451.2299362,111820.4,62035.7,123083.0,8631.7715313,4613.75175,428.52000000000004,402.814,671216.248125625,420,7.012968103881121,112814.7,102802.9,9179712.09,92435.32,574280.31,107470.56,144152.79,984483.26,335661.17,177930.26,2416413.67,21.41931565655894,18.595161622339923,81.36982228379813,6763298.42
FIELD-002,2022-12-01,120644.5905544,119330.9,63293.0,137590.1,16945.5094456,12402.67825,1010.41,932.592,1290383.377744796,445,12.315936572180702,118828.3,109871.8,9519013.18,97734.84,600839.13,102572.73,172980.44,1034949.98,349758.98,181297.61,2540133.7099999995,21.37650467102533,18.52215816507089,80.10729077164278,6978879.470000001
FIELD-002,2023-01-01,148464.6898168,151297.8,72418.3,158971.3,10506.6101832,5365.634541666666,294.5,269.22,791916.351367168,465,6.609123900477634,146280.8,139424.7,11651593.08,105031.23,618795.43,56558.69,148697.78,1196917.51,442017.42,187809.98,2755828.04,18.83930112495967,16.25682214156883,79.65223788767905,8895765.04
FIELD-002,2023-02-01,128624.1,131645.2,63833.2,139795.6,11171.5,6514.253583333333,559.85,501.242,818025.511,420,7.991310169991044,126966.3,121070.8,9791539.32,98450.58,565227.2,74212.83,140274.99,1053167.85,379333.36,167555.12,2478221.93,19.51873788556491,16.84206639583739,77.11919871650981,7313317.390000001
FIELD-002,2023-03-01,137112.3199484,140906.3,71383.3,150352.3,13240.0048944,8825.914458333333,594.07,547.972,863436.365748246,465,8.805987600056667,135186.7,129654.7,9308240.14,109532.91,627429.26,60640.56,166571.02,1135447.37,408082.16,185042.62,2692745.9000000004,19.918719075175296,17.173582543496856,68.85470345825439,6615494.24
FIELD-002,2023-04-01,133926.7868632,137561.7,72894.7,141683.1,7756.329379500002,3592.8054166666666,283.7,250.418,498697.4097100451,450,5.474420999752265,131723.8,126616.2,8954579.31,106412.53,605679.39,47734.12,141246.77,1107381.64,394015.35,179802.08000000002,2582271.88,19.603684983275613,16.89675468586927,67.97996497216145,6372307.430000001
FIELD-002,2023-05-01,131105.0,135558.5,73429.3,142269.0,11164.0,6455.152166666667,504.12,449.98,710033.8160000001,465,7.847106537615362,129239.0,124678.7,8603508.24,105256.47,628958.59,55475.49,148650.03,1113510.49,387664.85,185972.42,2625488.34,20.31498495036328,17.501064077864918,66.57052623434103,5978019.9
FIELD-002,2023-06-01,136509.1389484,139950.1,73051.5,147110.0,10600.861051599999,6304.025416666666,561.0,489.04699999999997,686140.796205072,469,7.206077800013594,134603.2,128757.5,9096924.36,97468.79000000001,625878.78,89232.88,148431.44,1130359.62,409346.36,179440.0,2680157.87,19.91154645654784,17.173587531599193,67.58326963994911,6416766.489999999
FIELD-002,2023-07-01,138338.6,141239.9,72669.2,158552.2,20213.6,15762.507125,1155.81,1140.6,1331287.345,495,12.748861258311141,136451.0,130123.90000000001,9355181.97,94990.15,676323.38,106129.58,138941.23,1179416.99,405664.26,181730.55,2783196.1399999997,20.39703732475394,17.599758228529684,68.56074319719167,6571985.830000001
FIELD-002,2023-08-01,134973.1873492,137438.3,71586.5,158505.3,23532.1126508,18816.283333333333,1478.68,1443.8799999999999,1640843.894982406,496,14.846262333688529,132897.8,126282.5,9673230.17,91183.99,660351.45,156579.78999999998,145926.03,1156357.66,399722.1,184967.59,2795088.61,21.031865162553483,18.156424231053258,72.78698496137635,6878141.5600000005
FIELD-002,2023-09-01,131571.0950707,134985.2,73306.2,148170.8,16599.704929300002,12002.8595,854.87,830.312,1076752.018215357,480,11.203087875141392,129621.8,123978.4,8750003.67,86720.64,643053.11,74952.59,136899.88,1122888.35,395828.4,179084.15,2639427.12,20.362524822213548,17.562827040025766,67.50410555940435,6110576.55
FIELD-002,2023-10-01,133985.2767802,136679.7,77381.7,148284.2,14298.923219799999,9709.601083333333,806.85,746.448,1061772.238924646,494,9.642917599987051,132667.8,126531.8,10220014.33,91624.92,675929.67,53951.68,158451.87,1159036.79,395698.13,186754.33000000002,2721447.39,20.513247298892423,17.69973022267036,77.03462580972928,7498566.9399999995
FIELD-002,2023-11-01,115186.5019757,117835.8,67899.9,143197.9,28011.3980243,23844.079,1946.76,1920.4599999999998,1885504.139546797,480,19.56131900279264,113443.4,108595.0,7952514.73,86420.69,648786.84,179541.55,134188.44,1049995.52,339561.71,175781.05,2614275.8,23.044758884166026,19.873991106047548,70.1011670136826,5338238.930000001
FIELD-002,2023-12-01,129304.3108265,132363.2,79106.3,142175.3,12871.0,8865.99325,734.0500000000001,681.7819999999999,853410.686,495,9.052908627588618,128137.9,122533.4,8824152.21,99114.01,669041.27,116507.28,148144.05,1132950.35,388894.43,184125.31,2738776.7,21.373666183073084,18.43547551115104,68.86449840367293,6085375.510000001
FIELD-002,2024-01-01,131219.2554001,135048.6,82429.2,139099.9,7880.6445999,3374.6551666666664,310.64,254.853,544277.2876472459,495,5.665456696877568,129288.6,124380.1,9336437.68,106802.29000000001,670479.67,40135.03,139823.48,1140983.05,392642.28,184107.92,2674973.7199999997,20.6899426554236,17.830945114922958,72.21392821950272,6661463.96
FIELD-002,2024-02-01,114813.3,118928.1,74130.0,126203.4,11390.1,7159.678833333333,594.73,533.76,812764.237,463,9.025192665173838,113401.1,109685.9,8451643.84,102712.56,628332.53,37354.47,132506.85,1027144.77,337475.14,176843.27,2442369.5900000003,21.537441788483534,18.54747075817072,74.52876418306347,6009274.25
FIELD-002,2024-03-01,118685.2,123625.6,79235.5,131975.9,13290.7,9027.09625,786.8199999999999,742.89,950363.0009999999,495,10.070550759646268,117051.2,113785.5,8773372.83,109530.45,671809.62,98182.06,145195.87,1084391.93,357421.86,182285.38,2648817.1699999995,22.62956014120316,19.474384490879523,74.95329249080744,6124555.66
FIELD-002,2024-04-01,113803.4820205,118188.4,78510.3,126486.5,12683.0179795,9143.257541666666,850.73,795.904,910252.47261302,480,10.027171262941105,112013.1,108726.7,8364957.26,104669.77,651811.99,77344.33,148435.69999999998,1039185.32,338183.96,180806.71,2540437.78,22.67982744875376,19.521674199701256,74.67838368905065,5824519.48
FIELD-002,2024-05-01,116277.59739730001,120495.4,81856.3,127618.4,11340.8026027,7277.344,829.89,791.16,796802.245527351,496,8.886494896268877,114593.4,110738.1,8427996.28,105654.22,652920.88,118296.96,151554.87,1056425.61,341318.75,188655.86000000002,2614827.15,22.81830498091513,19.653003105981032,73.54696064520294,5813169.129999999
FIELD-002,2024-06-01,113577.920069,118216.6,82677.2,120034.9,6456.979931,2501.840875,230.78,172.508,409103.29924127,479,5.3792521433349805,111881.2,108790.2,7464966.34,97266.66,646484.19,31152.48,154656.71,1042823.8400000001,331639.94,181724.2,2485748.02,22.217745429973938,19.119241398353548,66.72225843126459,4979218.32
FIELD-002,2024-07-01,89106.8037125,92742.8,66982.3,121034.8,31927.9962875,28941.019916666668,2725.88,2689.012,2125454.73997025,496,26.37918704992283,87826.3,85369.7,6093725.77,93559.45,659009.55,112323.33,141007.34,923514.37,261983.05,190369.73,2381766.82,27.11906137455409,23.338166128419836,69.38383798474943,3711958.9499999997
FIELD-002,2024-08-01,112282.7944351,118702.5,85951.5,118486.8,6204.024998299999,2465.5118333333335,227.43,155.1,422906.880134655,496,5.236047389498239,110629.5,109150.3,7847311.78,91966.03,673015.0599999999,61726.68,137615.89,1048891.04,322956.73,184165.6,2520337.0300000003,22.781780899308053,19.56461129009158,70.9332662626153,5326974.75
FIELD-002,2024-09-01,102720.8148151,108564.3,79935.2,111853.7,9132.8851849,5381.347125,622.09,585.24,643161.464646544,480,8.165027339193966,101273.8,100013.5,7412016.72,87933.34,648805.03,60536.92,144697.47,980182.2,300864.39,185287.18,2408306.5300000003,23.780153702142115,20.419289957568385,73.1878997331985,5003710.1899999995
FIELD-002,2024-10-01,101529.5812362,107475.2,81118.9,112486.3,10956.7187638,7238.1253750000005,738.33,685.484,825092.551479262,496,9.74049174326118,99950.5,98923.7,7826412.71,90672.83,670113.28,63582.89,155285.11,1000621.66,298459.2,186575.79,2465310.7600000002,24.665316931881282,21.17277304174032,78.3028870290794,5361101.949999999
FIELD-002,2024-11-01,98511.5126041,105633.1,80956.6,106719.3,8207.7873959,5037.370375,557.05,531.456,651376.493830232,480,7.691005653054322,96965.8,97286.4,7945735.2,92575.1,633308.46,40715.35,151616.58,956952.12,286310.61,184918.0,2346396.2199999997,24.19818348324873,20.731507984612147,81.94368736193586,5599338.98
FIELD-002,2024-12-01,100697.2492064,107382.5,83657.9,108140.1,7442.8507936000005,3639.762625,445.49,394.328,531596.708899459,496,6.8826002506008415,99059.0,98841.6,7426830.92,101057.9,662801.25,75955.77,152554.52,987803.72,296241.24,185116.29,2461530.6900000004,24.84913728182195,21.305940401237404,74.97381277824327,4965300.2299999995
FIELD-003,2022-01-01,14142.7,21744.3,19956.6,15002.8,860.0999999999999,384.98879166666666,136.32999999999998,125.776,54590.17399999999,217,5.732929853094088,13953.4,20024.7,946043.04,105470.74,291569.68,56990.83,132004.45,285834.79,42169.25,186620.61,1100660.35,78.88115799733399,63.6556531344613,67.80018060114381,-154617.31000000006
FIELD-003,2022-02-01,12370.1063832,18982.3,17722.1,13372.2,1002.0936168,573.9850416666667,206.38,198.475,61791.722348056,196,7.493857531296271,12178.6,17456.2,818999.8,98865.99,265809.74,39078.82,128049.35,257574.69,36456.72,167505.52,993340.8300000001,81.56445157899923,65.83662675995662,67.24909267075033,-174341.03000000003
FIELD-003,2022-03-01,13701.496511,21411.8,19657.2,14624.9,923.403489,452.8930833333333,201.61,175.76,57974.87421387,217,6.3139131823123575,13498.2,19663.9,928589.65,110778.55,293040.82,43902.62,144155.28,281834.74,40857.28,185896.05,1100465.34,81.52682135395831,65.59949012996123,68.79359099731816,-171875.69000000006
FIELD-003,2022-04-01,12978.7,20222.7,18910.5,14041.3,1062.6000000000001,652.60225,191.62,180.75799999999998,75946.073,210,7.567675357694802,12782.1,18632.4,986999.6799999999,105882.03,282534.03,69169.2,143966.66,272587.4,38526.67,180614.06,1093280.05,85.53211522363306,68.81385051140835,77.21733361497719,-106280.37000000011
FIELD-003,2022-05-01,13184.6199135,20671.8,19509.5,14342.7,1158.0800865,689.93575,233.51,201.256,90138.88038333,217,8.074352015310925,13001.0,19031.3,1061080.99,106121.51,296843.23,54575.14,164496.71,280940.0,38937.79,187384.5,1129298.88,86.86246288747019,69.82668808798266,81.61533651257595,-68217.8899999999
FIELD-003,2022-06-01,18048.093644,27942.9,20154.9,19519.3,1471.206356,889.5570416666667,306.96999999999997,300.46999999999997,103680.37375056,220,7.537188095884585,17768.3,25698.2,1337076.76,95472.49,301591.62,68737.04000000001,137022.14,308936.12,52623.04,176602.76,1140985.21,64.21465249911358,51.74223221573904,75.25068577185212,196091.55000000005
FIELD-003,2022-07-01,28939.5,44358.0,24253.7,31751.8,2812.3,1819.4766666666667,313.92,277.288,222530.689,248,8.85713565845086,28552.3,40774.8,2421267.14,94097.59,336508.82,66197.16,154703.26,390142.35,85670.13,184688.37,1312007.6800000002,45.951033016604626,37.116780817073625,84.80112425268717,1109259.46
FIELD-003,2022-08-01,27424.2939754,41669.1,22964.8,30872.8,3448.5060246000003,2552.6834583333334,607.07,601.43,248514.526611308,248,11.170046204425903,27031.5,38407.9,2093864.73,89293.85,329560.02,151799.44,153709.7,375808.25,81715.66,190782.02,1372668.94,50.780346632632295,41.05753199575866,77.46017535097941,721195.79
