material_id,warehouse_id,avg_closing_stock,total_consumption,total_receipts,stockout_days,days,avg_reorder_level,unit_cost,stockout_rate_pct,avg_inventory_value_usd,consumption_value_usd,inventory_turnover,days_of_inventory,material_name,material_category,primary_supplier_id
MAT-029,WH-002,6.887773722627737,189.0,176.0,10,1096,6.0,511.80000000000007,0.9124087591240876,3525.1625912408763,96730.20000000001,9.144555570274209,39.94179894179894,Electrical Item 04,Electrical,SUP-006
MAT-029,WH-003,5.739269406392694,166.5,161.0,8,1095,5.0,511.8,0.730593607305936,2937.358082191781,85214.7,9.676843822101997,37.74474474474474,Electrical Item 04,Electrical,SUP-006
MAT-030,WH-003,7.391780821917808,207.0,200.0,6,1095,7.0,609.7,0.547945205479452,4506.768767123288,126207.90000000001,9.341085989621943,39.10144927536232,Electrical Item 05,Electrical,SUP-006
MAT-030,WH-004,7.741332116788321,218.5,207.0,2,1096,7.0,609.7,0.18248175182481752,4719.890191605839,133219.45,9.406226059284577,38.83066361556064,Electrical Item 05,Electrical,SUP-006
MAT-031,WH-002,6.471715328467154,145.0,132.0,6,1096,6.0,1350.5,0.5474452554744526,8740.051551094892,195822.5,7.466692513745945,48.91724137931035,Piping Item 01,Piping,SUP-007
MAT-031,WH-003,7.029197080291971,137.0,132.0,6,1096,6.0,1350.5,0.5474452554744526,9492.930656934308,185018.5,6.495229750778814,56.23357664233577,Piping Item 01,Piping,SUP-007
MAT-032,WH-003,5.682481751824818,97.5,85.0,9,1096,5.0,1238.66,0.8211678832116789,7038.662846715329,120769.35,5.718027456647399,63.876923076923084,Piping Item 02,Piping,SUP-007
MAT-032,WH-004,6.612226277372263,138.0,132.0,3,1096,6.0,1238.66,0.2737226277372263,8190.300200729927,170935.08000000002,6.955222850834828,52.51449275362318,Piping Item 02,Piping,SUP-007
MAT-033,WH-001,5.620091324200914,105.5,100.0,6,1095,5.0,1179.71,0.547945205479452,6630.07793607306,124459.405,6.261598147546311,58.33175355450238,Piping Item 03,Piping,SUP-007
MAT-033,WH-004,6.725364963503649,141.0,132.0,8,1096,6.0,1179.71,0.7299270072992701,7933.98030109489,166339.11000000002,6.986874236874237,52.27659574468085,Piping Item 03,Piping,SUP-007
MAT-034,WH-001,6.7071167883211675,166.5,154.0,10,1096,7.0,783.28,0.9124087591240876,5253.5504379562035,130416.12,8.272905046932392,44.15015015015015,Piping Item 04,Piping,SUP-007
MAT-034,WH-002,6.395433789954338,137.0,126.0,9,1095,6.0,783.28,0.821917808219178,5009.4153789954335,107309.36,7.145401970584037,51.11678832116788,Piping Item 04,Piping,SUP-007
MAT-035,WH-002,6.384124087591241,145.0,138.0,6,1096,6.0,1653.49,0.5474452554744526,10556.085337591241,239756.05,7.569136772902671,48.255172413793105,Piping Item 05,Piping,SUP-007
MAT-035,WH-003,6.946167883211679,173.5,161.0,4,1096,7.0,1653.49,0.36496350364963503,11485.419133211679,286880.515,8.324034546171022,43.87896253602305,Piping Item 05,Piping,SUP-007
MAT-036,WH-002,65.52463503649635,3658.0,3654.0,71,1096,33.0,75.97,6.478102189781022,4977.906523722628,277898.26,18.604532479287055,19.63231273920175,Chemicals Item 01,Chemicals,SUP-008
MAT-036,WH-003,99.37956204379562,5599.0,5568.0,72,1096,49.0,75.97,6.569343065693431,7549.865328467153,425356.02999999997,18.775566929856772,19.453473834613323,Chemicals Item 01,Chemicals,SUP-008
MAT-037,WH-003,98.76255707762557,5382.0,5400.0,36,1095,40.0,108.65,3.287671232876712,10730.55182648402,584754.3,18.177220398539,20.093831289483465,Chemicals Item 02,Chemicals,SUP-004
MAT-037,WH-004,60.725776965265084,3391.0,3420.0,45,1094,26.0,108.65,4.113345521023766,6597.8556672760515,368432.15,18.643507089743203,19.591271011501032,Chemicals Item 02,Chemicals,SUP-004
MAT-038,WH-001,72.62340036563072,4152.0,4032.0,76,1094,42.0,70.54,6.946983546617916,5122.854661791591,292882.08,19.08770295783512,19.13535645472062,Chemicals Item 03,Chemicals,SUP-008
MAT-038,WH-004,52.28036529680365,2921.5,2828.0,58,1095,30.0,70.54,5.296803652968037,3687.85696803653,206082.61000000002,18.639891610040703,19.59507102515831,Chemicals Item 03,Chemicals,SUP-008
MAT-039,WH-001,104.65328467153284,5675.5,5597.0,59,1096,63.0,95.74,5.383211678832117,10019.505474452553,543372.37,18.073028552746294,20.209673156550082,Chemicals Item 04,Chemicals,SUP-008
MAT-039,WH-002,83.78153564899452,4617.0,4480.0,78,1094,52.0,95.74,7.1297989031078615,8021.244223034735,442031.57999999996,18.398586578220975,19.852068442711715,Chemicals Item 04,Chemicals,SUP-008
MAT-040,WH-002,54.78630136986301,3005.0,2912.0,70,1095,27.0,97.48,6.392694063926941,5340.568657534247,292927.4,18.295681852277845,19.963727121464224,Chemicals Item 05,Chemicals,SUP-008
MAT-040,WH-003,79.4744058500914,4522.0,4466.0,59,1094,40.0,97.48,5.393053016453382,7747.16508226691,440804.56,18.99661280119616,19.227111897390532,Chemicals Item 05,Chemicals,SUP-008
