equipment_id,equipment_name,equipment_type,field_id,manufacturer,installation_date,criticality,status,maintenance_events,total_downtime_hours,maintenance_cost_usd,failures,corrective_downtime_hours,corrective_cost_usd,period_hours,operating_hours,availability_pct,mtbf_hours,mttr_hours,failures_per_year,equipment_age_years_at_end
EQ-0013,Pump 002-01,Pump,FIELD-002,Omnigrid Industrial,2017-03-16,Low,In Service,27,374.82,223881.33000000002,12,288.17,181928.12,26304.0,25929.18,98.57504562043796,2160.765,24.014166666666668,3.9990875912408756,7.794661190965092
EQ-0014,Pump 002-02,Pump,FIELD-002,Kestrel Dynamics,2020-11-12,Medium,In Service,27,354.86,169813.07,13,272.27,135918.77,26304.0,25949.14,98.65092761557177,1996.0876923076924,20.943846153846152,4.3323448905109485,4.134154688569473
EQ-0015,Pump 002-03,Pump,FIELD-002,Vantor Process,2013-03-08,Medium,In Service,29,368.63,266841.8,15,306.18,232038.09,26304.0,25935.37,98.59857816301704,1729.0246666666667,20.412,4.998859489051094,11.816563997262149
EQ-0016,Pump 002-04,Pump,FIELD-002,Omnigrid Industrial,2010-11-08,Medium,In Service,32,419.26,347280.21,16,341.78,282411.44,26304.0,25884.74,98.40609793187348,1617.79625,21.36125,5.3321167883211675,14.146475017111568
EQ-0017,Compressor 002-05,Compressor,FIELD-002,Tarsis Machinery,2012-08-30,High,In Service,22,376.31,408435.33999999997,7,260.44,240299.37,26304.0,25927.69,98.56938108272506,3703.9557142857143,37.205714285714286,2.332801094890511,12.336755646817249
EQ-0018,Compressor 002-06,Compressor,FIELD-002,Kestrel Dynamics,2020-07-07,High,In Service,24,631.86,372856.56,12,521.13,288819.29,26304.0,25672.14,97.59785583941606,2139.345,43.4275,3.9990875912408756,4.484599589322382
EQ-0019,Separator 002-07,Separator,FIELD-002,Tarsis Machinery,2016-07-08,High,In Service,25,422.22,308561.97000000003,9,335.02,232627.04,26304.0,25881.78,98.39484489051095,2875.753333333333,37.224444444444444,2.9993156934306566,8.48186173853525
EQ-0020,Separator 002-08,Separator,FIELD-002,Omnigrid Industrial,2018-04-18,High,In Service,18,130.53,180888.95,3,58.17,90154.29000000001,26304.0,26173.47,99.50376368613139,8724.49,19.39,0.9997718978102189,6.704996577686516
EQ-0021,Generator 002-09,Generator,FIELD-002,Vantor Process,2019-03-31,High,In Service,24,348.34,155163.54,10,269.84,105491.56,26304.0,25955.66,98.67571472019465,2595.566,26.983999999999998,3.3325729927007295,5.754962354551677
EQ-0022,Valve 002-10,Valve,FIELD-002,Kestrel Dynamics,2011-07-01,Low,In Service,21,141.23,194085.76,7,69.06,81155.41,26304.0,26162.77,99.46308546228711,3737.5385714285717,9.865714285714287,2.332801094890511,13.503080082135524
EQ-0023,Heat Exchanger 002-11,Heat Exchanger,FIELD-002,Vantor Process,2010-12-27,High,In Service,16,196.58,127445.27,5,134.53,87387.1,26304.0,26107.42,99.2526611922141,5221.4839999999995,26.906,1.6662864963503647,14.012320328542094
EQ-0024,Pipeline Equipment 002-12,Pipeline Equipment,FIELD-002,Omnigrid Industrial,2018-06-16,High,In Service,20,339.58000000000004,179489.1,6,251.72,137303.98,26304.0,25964.42,98.70901763990268,4327.403333333333,41.95333333333333,1.9995437956204378,6.543463381245722
EQ-0025,Pump 003-01,Pump,FIELD-003,Omnigrid Industrial,2011-12-25,Medium,In Service,27,337.34000000000003,197834.7,12,263.26,121084.95999999999,26304.0,25966.66,98.71753345498783,2163.8883333333333,21.938333333333333,3.9990875912408756,13.018480492813142
EQ-0026,Pump 003-02,Pump,FIELD-003,Omnigrid Industrial,2014-12-03,Medium,In Service,24,371.44,167359.16999999998,10,296.05,101825.61,26304.0,25932.56,98.58789537712896,2593.2560000000003,29.605,3.3325729927007295,10.078028747433265
EQ-0027,Pump 003-03,Pump,FIELD-003,Kestrel Dynamics,2009-11-21,Medium,In Service,27,537.8399999999999,257474.22,11,460.85,214302.68,26304.0,25766.16,97.95529197080292,2342.378181818182,41.89545454545455,3.665830291970803,15.110198494182066
EQ-0028,Pump 003-04,Pump,FIELD-003,Omnigrid Industrial,2014-06-24,Medium,In Service,29,404.19,252647.45,14,327.15,184683.98,26304.0,25899.81,98.46338959854015,1849.9864285714286,23.36785714285714,4.665602189781022,10.521560574948666
EQ-0029,Compressor 003-05,Compressor,FIELD-003,Norvane Systems,2018-04-05,High,In Service,26,427.87,358233.65,9,295.44,260307.63,26304.0,25876.13,98.3733652676399,2875.125555555556,32.82666666666667,2.9993156934306566,6.740588637919234
EQ-0030,Compressor 003-06,Compressor,FIELD-003,Tarsis Machinery,2015-07-16,High,In Service,21,506.12,441367.05,10,415.42,337788.64999999997,26304.0,25797.88,98.07588199513383,2579.788,41.542,3.3325729927007295,9.462012320328542
EQ-0031,Separator 003-07,Separator,FIELD-003,Omnigrid Industrial,2012-04-29,High,In Service,21,251.85,201050.44,7,189.04,123285.03,26304.0,26052.15,99.04254105839416,3721.7357142857145,27.005714285714284,2.332801094890511,12.673511293634498
EQ-0032,Separator 003-08,Separator,FIELD-003,Tarsis Machinery,2021-01-22,Medium,In Service,19,119.83,118601.85,2,33.75,15442.62,26304.0,26184.17,99.54444190997567,13092.085,16.875,0.6665145985401459,3.9397672826830936
EQ-0033,Generator 003-09,Generator,FIELD-003,Kestrel Dynamics,2021-03-10,High,In Service,22,164.78,74630.92,5,77.61,42584.28,26304.0,26139.22,99.37355535279805,5227.844,15.522,1.6662864963503647,3.811088295687885
EQ-0034,Valve 003-10,Valve,FIELD-003,Vantor Process,2018-12-27,Low,In Service,20,98.82,129894.41,4,20.06,50284.86,26304.0,26205.18,99.62431569343066,6551.295,5.015,1.3330291970802919,6.012320328542095
EQ-0035,Heat Exchanger 003-11,Heat Exchanger,FIELD-003,Norvane Systems,2020-03-22,Medium,In Service,17,109.67,86706.73999999999,2,41.09,17424.18,26304.0,26194.33,99.58306721411192,13097.165,20.545,0.6665145985401459,4.777549623545517
EQ-0036,Pipeline Equipment 003-12,Pipeline Equipment,FIELD-003,Kestrel Dynamics,2010-01-15,Medium,In Service,19,187.74,100902.34999999999,6,118.76,61934.39,26304.0,26116.26,99.28626824817518,4352.71,19.793333333333333,1.9995437956204378,14.959616700889802
EQ-0037,Pump 004-01,Pump,FIELD-004,Tarsis Machinery,2021-03-26,Medium,In Service,21,222.63,134755.29,9,161.15,101755.95,26304.0,26081.37,99.15362682481752,2897.93,17.905555555555555,2.9993156934306566,3.7672826830937716
EQ-0038,Pump 004-02,Pump,FIELD-004,Omnigrid Industrial,2013-10-17,Medium,In Service,21,260.72,210660.6,8,195.78,157634.51,26304.0,26043.28,99.0088199513382,3255.41,24.4725,2.6660583941605838,11.206023271731691
EQ-0039,Pump 004-03,Pump,FIELD-004,Kestrel Dynamics,2008-09-15,High,In Service,37,456.93,241110.51,20,371.68,204410.37,26304.0,25847.07,98.26288777372262,1292.3535,18.584,6.665145985401459,16.292950034223136
EQ-0040,Pump 004-04,Pump,FIELD-004,Omnigrid Industrial,2017-05-19,High,In Service,28,412.48,194386.88999999998,16,342.96,166059.37,26304.0,25891.52,98.43187347931874,1618.22,21.435,5.3321167883211675,7.619438740588638
EQ-0041,Compressor 004-05,Compressor,FIELD-004,Vantor Process,2014-11-11,Medium,In Service,20,326.91,249468.94,7,214.35,153322.88,26304.0,25977.09,98.75718521897811,3711.0128571428572,30.62142857142857,2.332801094890511,10.13826146475017
EQ-0042,Compressor 004-06,Compressor,FIELD-004,Omnigrid Industrial,2014-10-17,Medium,In Service,26,552.65,317505.79,14,441.19,232819.75,26304.0,25751.35,97.89898874695864,1839.3821428571428,31.513571428571428,4.665602189781022,10.206707734428473
EQ-0043,Separator 004-07,Separator,FIELD-004,Tarsis Machinery,2011-06-28,High,In Service,14,158.54,125975.31,3,107.16,55739.85,26304.0,26145.46,99.39727798053528,8715.153333333334,35.72,0.9997718978102189,13.51129363449692
EQ-0044,Separator 004-08,Separator,FIELD-004,Kestrel Dynamics,2016-03-24,High,In Service,24,277.14,207322.49,7,189.67,134943.14,26304.0,26026.86,98.94639598540147,3718.1228571428574,27.095714285714283,2.332801094890511,8.772073921971252
EQ-0045,Generator 004-09,Generator,FIELD-004,Kestrel Dynamics,2009-12-07,Medium,In Service,27,265.22,155614.2,13,201.03,113030.81999999999,26304.0,26038.78,98.99171228710462,2002.9830769230769,15.463846153846154,4.3323448905109485,15.066392881587953
EQ-0046,Valve 004-10,Valve,FIELD-004,Kestrel Dynamics,2020-02-09,Low,In Service,24,146.9,175699.43,8,77.11999999999999,125656.5,26304.0,26157.1,99.4415298053528,3269.6375,9.639999999999999,2.6660583941605838,4.892539356605065
EQ-0047,Heat Exchanger 004-11,Heat Exchanger,FIELD-004,Tarsis Machinery,2011-11-02,Medium,In Service,15,113.92999999999999,80978.37,3,34.9,36927.29,26304.0,26190.07,99.56687195863746,8730.023333333333,11.633333333333333,0.9997718978102189,13.163586584531142
EQ-0048,Pipeline Equipment 004-12,Pipeline Equipment,FIELD-004,Kestrel Dynamics,2018-06-09,Medium,In Service,20,185.39,116843.16,5,118.41,67450.79000000001,26304.0,26118.61,99.29520225060827,5223.722,23.682,1.6662864963503647,6.562628336755647
