equipment_id,date,temperature_c_mean,pressure_psi_mean,vibration_mm_s_mean,vibration_mm_s_max,flow_rate_mean,energy_kwh_sum,operating_hours_sum
EQ-0001,2022-02-11,65.38499999999999,910.3,2.386,2.386,89.49000000000001,2468.6,24.0
EQ-0001,2022-02-12,65.83500000000001,910.25,2.479,2.605,88.28,2436.8,24.0
EQ-0001,2022-02-13,64.965,903.55,2.5065,2.521,90.66,2410.3,24.0
EQ-0001,2022-02-14,62.125,900.95,2.41,2.521,89.5,2436.1000000000004,24.0
EQ-0001,2022-02-15,63.325,893.7,2.318,2.334,87.235,2370.3999999999996,24.0
EQ-0001,2022-02-16,63.760000000000005,903.3499999999999,2.454,2.478,86.58,2454.1,24.0
EQ-0001,2022-02-17,63.515,900.1,2.35,2.387,90.31,2448.3,24.0
EQ-0001,2022-02-18,63.89,897.3,2.351,2.395,90.53999999999999,2428.3999999999996,24.0
EQ-0001,2022-02-19,64.39500000000001,904.5999999999999,2.2270000000000003,2.244,91.765,2402.0,24.0
EQ-0001,2022-02-20,64.64,905.65,2.192,2.296,92.7,2443.5,24.0
EQ-0001,2022-02-21,66.62,906.6,2.3965,2.463,90.20500000000001,2311.0,24.0
EQ-0001,2022-02-22,64.785,903.45,2.5625,2.647,91.83500000000001,2457.6000000000004,24.0
EQ-0001,2022-02-23,64.725,896.3,2.5300000000000002,2.571,91.72,2361.1000000000004,24.0
EQ-0001,2022-02-24,64.65,906.6,2.6245,2.663,91.63,2304.2,24.0
EQ-0001,2022-02-25,67.11,899.05,2.567,2.57,90.785,2294.1000000000004,24.0
EQ-0001,2022-02-26,66.81,903.8,2.451,2.515,94.135,2373.8999999999996,24.0
EQ-0001,2022-02-27,67.92,898.55,2.0545,2.125,88.175,2405.2,24.0
EQ-0001,2022-02-28,65.46000000000001,898.0,2.2965,2.316,90.805,2413.5,24.0
EQ-0001,2022-03-01,65.83,903.6,2.015,2.063,91.065,2190.8,24.0
EQ-0001,2022-03-02,64.635,905.55,2.051,2.055,89.85,2433.5,24.0
EQ-0001,2022-03-03,64.16,896.5,2.2895000000000003,2.402,90.225,2413.0,24.0
EQ-0001,2022-03-04,63.44,898.7,2.524,2.569,87.64500000000001,2397.8,24.0
EQ-0001,2022-03-05,64.97,897.45,2.4795,2.511,91.215,2467.8,24.0
EQ-0001,2022-03-06,63.635000000000005,890.95,2.3635,2.387,88.255,2411.1,24.0
EQ-0001,2022-03-07,62.7,887.95,2.3515,2.353,89.0,2326.2,24.0
EQ-0001,2022-03-08,64.91499999999999,889.05,2.1765,2.195,91.11000000000001,2433.8,24.0
EQ-0001,2022-03-09,64.91,910.7,2.1870000000000003,2.25,88.82,2415.8,24.0
EQ-0001,2022-03-10,63.58,905.3,2.285,2.342,92.675,2352.3999999999996,24.0
EQ-0001,2022-03-11,63.400000000000006,876.8,2.2824999999999998,2.412,88.68,2350.0,24.0
EQ-0001,2022-03-12,65.315,908.9000000000001,2.3115,2.451,91.255,2366.2,24.0
EQ-0001,2022-03-13,63.835,878.6500000000001,2.3775,2.42,89.61,2281.7,24.0
EQ-0001,2022-03-14,64.58,909.7,2.1835,2.218,91.58000000000001,2381.3,24.0
EQ-0001,2022-03-15,64.935,907.4,2.1585,2.34,94.08500000000001,2412.2,24.0
EQ-0001,2022-03-16,63.705,900.7,2.217,2.331,91.145,2459.9,24.0
EQ-0001,2022-03-17,63.59,879.1,2.5095,2.55,87.78,2307.5,24.0
EQ-0001,2022-03-18,65.215,903.2,2.2335000000000003,2.313,91.56,2336.4,24.0
EQ-0001,2022-03-19,63.715,902.5,2.387,2.39,87.765,2381.6,24.0
EQ-0001,2022-03-20,62.739999999999995,880.95,2.4035,2.454,87.94,2359.3,24.0
EQ-0001,2022-03-21,65.83,893.8,2.3525,2.442,89.47999999999999,2293.0,24.0
EQ-0001,2022-03-22,65.625,892.1500000000001,2.3855,2.4,89.775,2353.7,24.0
EQ-0001,2022-03-23,66.465,892.85,2.3165,2.352,90.13499999999999,2510.9,24.0
EQ-0001,2022-03-24,67.4,901.55,2.489,2.524,89.935,2491.0,24.0
EQ-0001,2022-03-25,67.955,888.0,2.6719999999999997,2.701,87.815,2378.0,24.0
EQ-0001,2022-03-26,67.22,873.2,2.9065000000000003,3.077,89.35,2412.6,24.0
EQ-0001,2022-03-27,75.01,883.2,3.5985,3.717,44.04,1275.2,12.16
EQ-0001,2022-03-28,71.945,861.1,3.593,3.616,84.34,2528.3999999999996,24.0
EQ-0001,2022-03-29,75.025,845.0999999999999,3.8165,3.829,86.14500000000001,2343.3,24.0
EQ-0001,2022-03-30,45.07,893.65,0.33699999999999997,0.348,9.22,264.6,2.56
EQ-0001,2022-03-31,64.475,892.7,2.1784999999999997,2.218,92.83,2507.8,24.0
EQ-0001,2022-04-01,65.59,906.0999999999999,2.16825,2.2485,90.065,2354.4,24.0
EQ-0001,2022-04-02,64.36,914.2,2.4055,2.409,92.285,2523.9,24.0
EQ-0001,2022-04-03,62.989999999999995,894.4000000000001,2.5549999999999997,2.693,90.41499999999999,2389.6,24.0
EQ-0001,2022-04-04,65.19999999999999,897.2,2.512,2.58,89.245,2301.5,24.0
EQ-0001,2022-04-05,65.61,892.25,2.428,2.564,87.94999999999999,2442.2,24.0
EQ-0001,2022-04-06,64.1,892.2,2.4055,2.407,90.495,2286.0,24.0
EQ-0001,2022-04-07,63.575,903.65,2.4210000000000003,2.536,86.13499999999999,2450.2,24.0
EQ-0001,2022-04-08,62.465,910.35,2.3695000000000004,2.414,90.74000000000001,2380.3,24.0
EQ-0001,2022-04-09,64.6,902.4000000000001,2.069,2.086,91.795,2386.3999999999996,24.0
EQ-0001,2022-04-10,62.705,895.75,2.367,2.379,91.03,2418.6,24.0
EQ-0001,2022-04-11,63.81,902.0999999999999,2.2800000000000002,2.289,88.18,2367.75,24.0
EQ-0001,2022-04-12,66.75,912.5,2.152,2.211,91.53,2453.1,24.0
EQ-0001,2022-04-13,66.565,894.5,2.1945,2.266,90.265,2437.3,24.0
EQ-0001,2022-04-14,67.4,881.05,2.2565,2.261,91.77000000000001,2369.4,24.0
EQ-0001,2022-04-15,65.845,914.8499999999999,2.473,2.507,88.22,2468.3,24.0
EQ-0001,2022-04-16,65.545,900.2,2.4395,2.469,93.47,2450.3,24.0
EQ-0001,2022-04-17,64.76,895.25,2.3525,2.395,91.125,2330.0,24.0
EQ-0001,2022-04-18,62.72,903.15,2.6625,2.742,93.08500000000001,2366.3,24.0
EQ-0001,2022-04-19,64.335,905.45,2.4035,2.451,86.485,2485.1,24.0
EQ-0001,2022-04-20,65.365,907.55,2.2875,2.293,89.24000000000001,2420.6,24.0
EQ-0001,2022-04-21,65.655,895.15,2.3635,2.388,89.84,2378.4,24.0
EQ-0001,2022-04-22,65.605,901.15,2.318,2.388,90.33500000000001,2418.8,24.0
EQ-0001,2022-04-23,64.215,901.9000000000001,2.292,2.313,88.31,2435.1,24.0
EQ-0001,2022-04-24,66.44,905.6,2.317,2.329,89.055,2454.3,24.0
EQ-0001,2022-04-25,68.055,902.75,2.4825,2.52,91.38499999999999,2300.5,24.0
EQ-0001,2022-04-26,66.745,893.45,2.1159999999999997,2.179,88.88,2402.8,24.0
EQ-0001,2022-04-27,63.105000000000004,905.05,2.484,2.636,91.08000000000001,2523.9,24.0
EQ-0001,2022-04-28,65.06,902.55,2.338,2.377,89.75,2360.4,24.0
EQ-0001,2022-04-29,64.39,908.45,2.365,2.45,88.32,2363.5,24.0
EQ-0001,2022-04-30,66.245,889.0,2.297,2.313,89.925,2364.6,24.0
EQ-0001,2022-05-01,66.41499999999999,907.65,2.4055,2.427,94.195,2472.0,24.0
EQ-0001,2022-05-02,64.17,909.3,2.58,2.638,92.245,2311.0,24.0
EQ-0001,2022-05-03,63.16,909.4,2.4825,2.568,89.265,2510.4,24.0
EQ-0001,2022-05-04,64.425,897.3,2.4415,2.531,87.87,2559.3,24.0
EQ-0001,2022-05-05,65.18,896.65,2.2910000000000004,2.305,91.845,2480.7,24.0
EQ-0001,2022-05-06,64.57,910.3,2.301,2.413,90.655,2393.8,24.0
EQ-0001,2022-05-07,64.095,910.45,2.323,2.334,88.09,2293.1000000000004,24.0
EQ-0001,2022-05-08,64.195,909.8,2.359,2.446,88.675,2472.6,24.0
EQ-0001,2022-05-09,63.16,892.55,1.9975,2.108,92.305,2403.6,24.0
EQ-0001,2022-05-10,64.03999999999999,891.55,2.3495,2.457,89.66,2429.5,24.0
EQ-0001,2022-05-11,64.195,887.75,2.59,2.662,90.695,2435.4,24.0
EQ-0001,2022-05-12,64.13499999999999,890.1,2.449,2.478,89.505,2385.0,24.0
EQ-0001,2022-05-13,65.68,888.8,2.3834999999999997,2.518,91.715,2369.4,24.0
EQ-0001,2022-05-14,65.53999999999999,918.2,2.293,2.316,90.285,2411.2,24.0
EQ-0001,2022-05-15,66.475,894.3,2.3914999999999997,2.392,92.10499999999999,2352.2,24.0
EQ-0001,2022-05-16,66.435,907.6500000000001,2.2445000000000004,2.321,90.39,2410.6,24.0
EQ-0001,2022-05-17,65.11,908.95,2.2295,2.23,89.46,2293.3,24.0
EQ-0001,2022-05-18,66.845,902.65,2.0645,2.065,63.6,1706.4,16.7
EQ-0001,2022-05-19,63.93000000000001,898.95,2.189,2.207,90.285,2387.6,24.0
EQ-0001,2022-05-20,66.1,887.45,2.2615,2.371,91.56,2329.1000000000004,24.0
EQ-0001,2022-05-21,64.555,921.65,2.5715000000000003,2.615,91.89,2388.9,24.0
EQ-0001,2022-05-22,62.510000000000005,902.4,2.1345,2.148,89.0,2359.3999999999996,24.0
EQ-0001,2022-05-23,64.0,903.2,2.3165,2.333,89.985,2413.0,24.0
EQ-0001,2022-05-24,65.27000000000001,904.8,2.3605,2.412,92.455,2362.3,24.0
EQ-0001,2022-05-25,65.26,902.55,2.4815,2.551,93.565,2510.8999999999996,24.0
EQ-0001,2022-05-26,63.845,904.5,2.3965,2.415,91.16499999999999,2389.5,24.0
EQ-0001,2022-05-27,65.185,902.45,2.173,2.26,87.91499999999999,2384.2,24.0
EQ-0001,2022-05-28,64.555,902.5,1.98,1.983,91.62,2430.9,24.0
EQ-0001,2022-05-29,67.03,899.3,2.121,2.281,88.735,2352.4,24.0
EQ-0001,2022-05-30,66.525,898.2,1.9460000000000002,2.024,90.45,2298.8,24.0
EQ-0001,2022-05-31,64.54,908.2,2.2154999999999996,2.256,89.84,2471.1,24.0
EQ-0001,2022-06-01,63.754999999999995,913.65,2.2405,2.278,91.36,2382.8,24.0
EQ-0001,2022-06-02,61.615,889.1,2.385,2.401,89.42500000000001,2343.4,24.0
EQ-0001,2022-06-03,62.790000000000006,888.25,2.5125,2.535,92.955,2296.3999999999996,24.0
EQ-0001,2022-06-04,65.565,894.95,2.527,2.594,88.325,2358.7,24.0
EQ-0001,2022-06-05,66.65,880.0,2.2885,2.302,89.53,2395.8,24.0
EQ-0001,2022-06-06,67.34,906.7,2.3285,2.44,89.815,2442.8,24.0
EQ-0001,2022-06-07,67.045,893.95,2.4645,2.579,90.005,2428.3,24.0
EQ-0001,2022-06-08,65.94,915.25,2.3555,2.388,88.345,2344.7,24.0
EQ-0001,2022-06-09,64.83,886.15,2.1980000000000004,2.24,88.31,2387.0,24.0
EQ-0001,2022-06-10,64.275,890.7,2.476,2.528,92.07,2331.9,24.0
EQ-0001,2022-06-11,64.265,906.15,2.2119999999999997,2.278,89.375,2321.7,24.0
EQ-0001,2022-06-12,62.685,897.3,2.386,2.489,87.13,2417.0,24.0
EQ-0001,2022-06-13,65.09,908.5,2.436,2.523,92.26499999999999,2491.3,24.0
EQ-0001,2022-06-14,66.72,902.7,2.178,2.278,89.975,2466.0,24.0
EQ-0001,2022-06-15,66.57,898.25,2.2835,2.408,89.565,2391.8999999999996,24.0
EQ-0001,2022-06-16,65.75999999999999,892.7,2.2435,2.253,92.61500000000001,2425.2,24.0
EQ-0001,2022-06-17,65.19,905.0999999999999,2.537,2.598,92.5,2328.6000000000004,24.0
EQ-0001,2022-06-18,66.65,888.3,2.29,2.318,88.705,2333.5,24.0
EQ-0001,2022-06-19,64.17,893.25,2.339,2.363,88.38,2530.3,24.0
EQ-0001,2022-06-20,65.775,878.65,2.357,2.465,89.065,2424.2,24.0
EQ-0001,2022-06-21,66.625,897.0,2.3899999999999997,2.433,91.825,2349.6,24.0
EQ-0001,2022-06-22,66.305,917.2,2.242,2.408,88.425,2341.6000000000004,24.0
EQ-0001,2022-06-23,66.875,901.25,2.535,2.613,91.6,2456.9,24.0
EQ-0001,2022-06-24,68.37,902.35,2.6825,2.712,85.825,2287.15,24.0
EQ-0001,2022-06-25,66.945,902.25,2.708,2.865,87.46000000000001,2392.5,24.0
EQ-0001,2022-06-26,65.195,897.15,2.293,2.336,89.66,2451.1,24.0
EQ-0001,2022-06-27,65.44,896.4000000000001,2.2584999999999997,2.332,87.97,2392.3,24.0
EQ-0001,2022-06-28,64.795,890.2,2.4025,2.423,92.86500000000001,2422.8999999999996,24.0
EQ-0001,2022-06-29,64.78999999999999,898.55,2.2889999999999997,2.318,92.065,2387.2,24.0
EQ-0001,2022-06-30,64.5,900.7,2.2815000000000003,2.319,87.575,2432.3,24.0
EQ-0001,2022-07-01,65.14,907.8,2.3354999999999997,2.412,87.69,2441.0,24.0
EQ-0001,2022-07-02,64.67500000000001,899.2,2.365,2.402,90.37,2386.6,24.0
EQ-0001,2022-07-03,64.525,899.75,2.5540000000000003,2.559,87.82,2440.3,24.0
EQ-0001,2022-07-04,66.305,920.95,2.567,2.69,90.285,2362.6000000000004,24.0
EQ-0001,2022-07-05,67.19999999999999,899.6500000000001,2.648,2.689,92.22,2424.1,24.0
EQ-0001,2022-07-06,65.53,887.6,2.589,2.617,92.91,2469.6,24.0
EQ-0001,2022-07-07,66.62,898.75,2.394,2.465,93.005,2503.5,24.0
EQ-0001,2022-07-08,67.17,897.05,2.221,2.227,91.815,2445.6,24.0
EQ-0001,2022-07-09,66.52,903.4,2.233,2.333,90.17500000000001,2415.5,24.0
EQ-0001,2022-07-10,66.86,896.0,2.167,2.172,87.80000000000001,2342.0,24.0
EQ-0001,2022-07-11,67.365,899.95,2.307,2.311,91.0,2444.2,24.0
EQ-0001,2022-07-12,65.11,899.0,2.3484999999999996,2.534,90.33,2484.3,24.0
EQ-0001,2022-07-13,63.155,885.7,2.5145,2.726,88.515,2332.9,24.0
EQ-0001,2022-07-14,64.555,900.3499999999999,2.357,2.387,91.84,2423.1000000000004,24.0
EQ-0001,2022-07-15,65.63499999999999,914.8,2.4619999999999997,2.507,87.935,2303.5,24.0
EQ-0001,2022-07-16,67.495,896.95,2.3970000000000002,2.477,91.435,2431.3,24.0
EQ-0001,2022-07-17,68.86000000000001,899.75,2.4435000000000002,2.461,88.645,2484.2,24.0
EQ-0001,2022-07-18,66.975,903.6500000000001,2.429,2.441,89.50999999999999,2437.3,24.0
EQ-0001,2022-07-19,63.935,906.65,2.4975,2.517,87.805,2340.4,24.0
EQ-0001,2022-07-20,65.955,900.5,2.4485,2.493,89.15,2364.1000000000004,24.0
EQ-0001,2022-07-21,64.445,901.05,2.365,2.42,89.045,2446.8999999999996,24.0
EQ-0001,2022-07-22,64.055,896.45,2.444,2.592,90.375,2461.9,24.0
EQ-0001,2022-07-23,61.885,915.9000000000001,2.5595,2.656,88.61500000000001,2418.4,24.0
EQ-0001,2022-07-24,64.71000000000001,905.4,2.3045,2.322,88.765,2441.1,24.0
EQ-0001,2022-07-25,63.8,887.3,2.4145000000000003,2.482,90.525,2430.7,24.0
EQ-0001,2022-07-26,63.480000000000004,894.5,2.6465,2.73,89.4,2451.6000000000004,24.0
EQ-0001,2022-07-27,64.345,900.55,2.5235000000000003,2.584,91.645,2417.0,24.0
EQ-0001,2022-07-28,64.91999999999999,903.8,2.3855,2.42,89.285,2421.2,24.0
EQ-0001,2022-07-29,67.89500000000001,911.0,2.3255,2.397,87.505,2306.2,24.0
EQ-0001,2022-07-30,67.74,901.25,2.325,2.331,90.34,2362.1000000000004,24.0
EQ-0001,2022-07-31,67.48,888.1,2.167,2.263,88.11,2296.8,24.0
EQ-0001,2022-08-01,66.055,910.25,2.1935000000000002,2.264,89.925,2310.3,24.0
EQ-0001,2022-08-02,62.59,901.45,2.156,2.248,92.08000000000001,2515.9,24.0
EQ-0001,2022-08-03,64.55,903.75,2.5755,2.678,91.86,2381.6000000000004,24.0
EQ-0001,2022-08-04,64.49000000000001,902.95,2.3200000000000003,2.337,92.42500000000001,2514.7,24.0
EQ-0001,2022-08-05,62.765,900.65,2.104,2.135,89.43,2397.8999999999996,24.0
EQ-0001,2022-08-06,63.34,892.2,2.1685,2.253,91.12,2386.3,24.0
EQ-0001,2022-08-07,63.754999999999995,895.5999999999999,2.2925,2.303,87.435,2311.3999999999996,24.0
EQ-0001,2022-08-08,63.66,898.9,2.299,2.335,90.63,2470.8,24.0
EQ-0001,2022-08-09,65.505,888.25,2.216,2.329,90.435,2427.8,24.0
EQ-0001,2022-08-10,63.68,914.0,2.3985,2.401,90.285,2221.8,24.0
EQ-0001,2022-08-11,65.125,888.5,2.25225,2.2815,91.965,2337.1,24.0
EQ-0001,2022-08-12,64.755,898.1,2.3545,2.369,91.055,2345.2,24.0
EQ-0001,2022-08-13,64.94,902.55,2.531,2.588,90.28,2382.0,24.0
EQ-0001,2022-08-14,67.00999999999999,889.0,2.6029999999999998,2.671,88.14,2405.0,24.0
EQ-0001,2022-08-15,66.575,892.55,2.4805,2.549,91.785,2481.0,24.0
EQ-0001,2022-08-16,63.185,902.9,2.29,2.456,88.38499999999999,2317.3999999999996,24.0
EQ-0001,2022-08-17,64.075,893.25,2.151,2.167,88.155,2434.8999999999996,24.0
EQ-0001,2022-08-18,64.59,893.4,2.515,2.596,89.73,2403.6000000000004,24.0
EQ-0001,2022-08-19,62.2,899.3499999999999,2.301,2.33,91.49,2249.3,24.0
EQ-0001,2022-08-20,63.015,896.2,2.2915,2.319,89.905,2401.2,24.0
EQ-0001,2022-08-21,63.905,904.35,2.3405,2.392,89.705,2508.2,24.0
EQ-0001,2022-08-22,63.73,913.6,2.3289999999999997,2.35,89.61,2297.4,24.0
EQ-0001,2022-08-23,66.315,895.4000000000001,2.35,2.495,88.995,2408.0,24.0
EQ-0001,2022-08-24,67.785,883.5,2.4425,2.463,74.5,1927.1999999999998,19.86
EQ-0001,2022-08-25,63.55,903.65,2.3834999999999997,2.385,88.44,2312.5,24.0
EQ-0001,2022-08-26,65.06,910.75,2.324,2.351,89.96,2427.0,24.0
EQ-0001,2022-08-27,63.72,911.0,2.391,2.458,89.185,2414.7,24.0
EQ-0001,2022-08-28,63.08,885.9000000000001,2.4055,2.536,89.36,2471.6,24.0
EQ-0001,2022-08-29,66.82,914.8,2.151,2.183,87.625,2334.8,24.0
EQ-0001,2022-08-30,64.76,911.0999999999999,2.314,2.384,88.07499999999999,2285.0,24.0
EQ-0001,2022-08-31,64.94999999999999,893.55,2.33,2.412,86.95,2333.6,24.0
EQ-0001,2022-09-01,64.635,901.8499999999999,2.436,2.535,93.72,2525.5,24.0
EQ-0001,2022-09-02,63.905,893.5,2.2119999999999997,2.371,89.925,2367.4,24.0
EQ-0001,2022-09-03,66.28999999999999,895.8,1.912,1.997,91.38999999999999,2409.6000000000004,24.0
EQ-0001,2022-09-04,65.105,895.05,2.2430000000000003,2.305,88.975,2385.8,24.0
EQ-0001,2022-09-05,66.38499999999999,898.0,2.3465,2.562,92.49000000000001,2376.5,24.0
EQ-0001,2022-09-06,67.785,889.7,2.3225,2.37,87.19,2406.3,24.0
EQ-0001,2022-09-07,66.275,897.3,2.063,2.075,90.65,2427.7,24.0
EQ-0001,2022-09-08,65.64,907.95,2.2535,2.279,94.33500000000001,2326.0,24.0
EQ-0001,2022-09-09,65.47999999999999,891.7,2.226,2.295,89.045,2403.1,24.0
EQ-0001,2022-09-10,65.4,891.9,2.208,2.376,86.955,2555.2,24.0
EQ-0001,2022-09-11,62.74,892.9000000000001,2.1879999999999997,2.334,88.515,2489.8999999999996,24.0
EQ-0001,2022-09-12,64.445,909.5,2.4795,2.493,86.47,2403.3,24.0
EQ-0001,2022-09-13,65.465,898.0,2.3895,2.493,91.35499999999999,2429.0,24.0
EQ-0001,2022-09-14,64.86500000000001,901.05,2.0655,2.141,89.02000000000001,2464.2,24.0
EQ-0001,2022-09-15,66.605,902.15,2.3115,2.442,90.61,2450.7,24.0
EQ-0001,2022-09-16,66.36500000000001,904.65,2.382,2.402,89.72999999999999,2327.5,24.0
EQ-0001,2022-09-17,65.205,907.55,2.4130000000000003,2.469,88.25999999999999,2371.1,24.0
EQ-0001,2022-09-18,64.66499999999999,894.8499999999999,2.403,2.591,91.11,2402.0,24.0
EQ-0001,2022-09-19,65.58500000000001,905.95,2.3985,2.416,84.34,2324.3,24.0
EQ-0001,2022-09-20,64.55,891.3,2.3205,2.432,88.57,2374.3,24.0
EQ-0001,2022-09-21,64.21000000000001,914.7,2.4255,2.499,87.75,2320.4,24.0
EQ-0001,2022-09-22,64.63,901.45,2.392,2.401,86.315,2406.6,24.0
EQ-0001,2022-09-23,64.77,884.95,2.354,2.404,91.49000000000001,2445.0,24.0
EQ-0001,2022-09-24,63.915,911.7,2.316,2.346,92.565,2474.0,24.0
EQ-0001,2022-09-25,64.565,895.5,2.3369999999999997,2.441,89.535,2411.1,24.0
EQ-0001,2022-09-26,65.61,891.9,2.285,2.292,87.61500000000001,2327.0,24.0
EQ-0001,2022-09-27,65.125,928.75,2.331,2.354,88.195,2378.1000000000004,24.0
EQ-0001,2022-09-28,64.225,886.7,2.315,2.389,88.685,2395.1,24.0
EQ-0001,2022-09-29,65.755,906.5,2.3795,2.404,90.5,2408.2,24.0
EQ-0001,2022-09-30,65.935,911.1,2.352,2.452,91.87,2330.7,24.0
EQ-0001,2022-10-01,65.03,895.85,2.5065,2.603,92.33500000000001,2404.0,24.0
EQ-0001,2022-10-02,65.19,905.85,2.5845,2.631,89.63,2486.8999999999996,24.0
EQ-0001,2022-10-03,65.85,888.7,2.4314999999999998,2.438,89.005,2428.4,24.0
EQ-0001,2022-10-04,65.94,923.1,2.3274999999999997,2.376,86.88499999999999,2351.0,24.0
EQ-0001,2022-10-05,64.58000000000001,911.5,2.29,2.295,90.07499999999999,2392.5,24.0
EQ-0001,2022-10-06,64.455,904.55,2.2535,2.308,92.48,2393.8999999999996,24.0
EQ-0001,2022-10-07,64.0,895.4000000000001,2.4619999999999997,2.533,87.765,2410.1,24.0
EQ-0001,2022-10-08,65.065,890.65,2.371,2.395,91.83000000000001,2290.3,24.0
EQ-0001,2022-10-09,63.67,889.15,2.5,2.515,90.535,2449.3,24.0
EQ-0001,2022-10-10,65.365,894.75,2.4005,2.493,87.13,2441.5,24.0
EQ-0001,2022-10-11,65.815,885.35,2.252,2.271,91.95,2497.8,24.0
EQ-0001,2022-10-12,64.335,880.5,2.263,2.383,90.11,2364.7,24.0
EQ-0001,2022-10-13,63.78,911.2,2.213,2.245,87.50999999999999,2425.3,24.0
EQ-0001,2022-10-14,66.44,885.0,2.351,2.401,91.095,2341.4,24.0
EQ-0001,2022-10-15,64.51,896.3,2.1965000000000003,2.245,90.715,2391.5,24.0
EQ-0001,2022-10-16,64.965,918.05,2.2735000000000003,2.347,93.39,2409.5,24.0
EQ-0001,2022-10-17,66.765,908.6,2.564,2.69,89.35499999999999,2388.0,24.0
EQ-0001,2022-10-18,65.175,903.2,2.4779999999999998,2.537,90.47999999999999,2490.5,24.0
EQ-0001,2022-10-19,64.98,921.65,2.1455,2.179,90.975,2412.7,24.0
EQ-0001,2022-10-20,65.13,909.75,2.3915,2.426,91.945,2607.5,24.0
EQ-0001,2022-10-21,66.46000000000001,898.35,2.309,2.315,89.58500000000001,2450.1000000000004,24.0
