equipment_id,month,failures,downtime_hours,maintenance_cost_usd,events,equipment_type,field_id,criticality
EQ-0005,2023-04-01,2,80.34,58625.09,3,Compressor,FIELD-001,High
EQ-0005,2023-07-01,0,16.59,7209.36,1,Compressor,FIELD-001,High
EQ-0005,2023-10-01,0,12.52,5024.61,1,Compressor,FIELD-001,High
EQ-0005,2024-02-01,0,13.04,14251.31,1,Compressor,FIELD-001,High
EQ-0005,2024-04-01,2,58.81,24554.11,2,Compressor,FIELD-001,High
EQ-0005,2024-05-01,1,25.45,20865.36,3,Compressor,FIELD-001,High
EQ-0005,2024-08-01,1,69.47,26784.33,1,Compressor,FIELD-001,High
EQ-0005,2024-09-01,1,48.93,29783.9,2,Compressor,FIELD-001,High
EQ-0005,2024-10-01,1,85.22,41462.11,1,Compressor,FIELD-001,High
EQ-0006,2022-03-01,0,11.97,10644.99,2,Compressor,FIELD-001,High
EQ-0006,2022-05-01,1,24.22,18342.63,1,Compressor,FIELD-001,High
EQ-0006,2022-06-01,0,10.13,5231.0,1,Compressor,FIELD-001,High
EQ-0006,2022-08-01,1,31.71,14923.74,1,Compressor,FIELD-001,High
EQ-0006,2022-09-01,0,6.57,7985.59,1,Compressor,FIELD-001,High
EQ-0006,2022-11-01,1,5.84,6248.76,1,Compressor,FIELD-001,High
EQ-0006,2022-12-01,0,9.52,5141.37,1,Compressor,FIELD-001,High
EQ-0006,2023-03-01,1,94.97,53386.88,2,Compressor,FIELD-001,High
EQ-0006,2023-06-01,0,11.25,9754.51,2,Compressor,FIELD-001,High
EQ-0006,2023-08-01,1,44.46,30533.1,1,Compressor,FIELD-001,High
EQ-0006,2023-10-01,1,74.22,45291.51,3,Compressor,FIELD-001,High
EQ-0006,2023-11-01,1,5.65,6554.88,1,Compressor,FIELD-001,High
EQ-0006,2023-12-01,1,87.0,43423.26,1,Compressor,FIELD-001,High
EQ-0006,2024-02-01,0,9.73,5198.93,1,Compressor,FIELD-001,High
EQ-0006,2024-05-01,0,12.37,8915.130000000001,2,Compressor,FIELD-001,High
EQ-0006,2024-07-01,1,12.09,29183.81,1,Compressor,FIELD-001,High
EQ-0006,2024-08-01,0,10.74,28751.25,2,Compressor,FIELD-001,High
EQ-0006,2024-11-01,1,41.17,17807.8,1,Compressor,FIELD-001,High
EQ-0006,2024-12-01,0,9.86,4608.55,1,Compressor,FIELD-001,High
EQ-0007,2022-01-01,0,7.24,11437.66,1,Separator,FIELD-001,High
EQ-0007,2022-03-01,1,76.87,33855.05,1,Separator,FIELD-001,High
EQ-0007,2022-05-01,1,30.04,30398.120000000003,3,Separator,FIELD-001,High
EQ-0007,2022-07-01,1,16.0,6006.83,1,Separator,FIELD-001,High
EQ-0007,2022-09-01,0,8.13,3722.13,2,Separator,FIELD-001,High
EQ-0007,2022-12-01,0,6.57,2500.61,2,Separator,FIELD-001,High
EQ-0007,2023-03-01,1,4.32,869.2,1,Separator,FIELD-001,High
EQ-0007,2023-04-01,0,8.49,2468.39,1,Separator,FIELD-001,High
EQ-0007,2023-07-01,0,8.1,11655.03,1,Separator,FIELD-001,High
EQ-0007,2023-10-01,0,11.69,3485.5,2,Separator,FIELD-001,High
EQ-0007,2024-01-01,0,5.67,10701.49,2,Separator,FIELD-001,High
EQ-0007,2024-02-01,1,30.34,9924.97,1,Separator,FIELD-001,High
EQ-0007,2024-04-01,0,4.98,6094.63,1,Separator,FIELD-001,High
EQ-0007,2024-08-01,0,6.14,3743.35,1,Separator,FIELD-001,High
EQ-0007,2024-11-01,0,4.83,12403.83,1,Separator,FIELD-001,High
EQ-0008,2022-01-01,1,5.56,4962.23,1,Separator,FIELD-001,Medium
EQ-0008,2022-02-01,0,5.23,21938.0,1,Separator,FIELD-001,Medium
EQ-0008,2022-06-01,1,22.13,21349.37,3,Separator,FIELD-001,Medium
EQ-0008,2022-09-01,0,6.08,1926.44,1,Separator,FIELD-001,Medium
EQ-0008,2022-12-01,1,21.45,23409.53,2,Separator,FIELD-001,Medium
EQ-0008,2023-03-01,0,7.79,2058.77,1,Separator,FIELD-001,Medium
EQ-0008,2023-04-01,1,16.49,23045.66,1,Separator,FIELD-001,Medium
EQ-0008,2023-05-01,2,65.52,23853.67,2,Separator,FIELD-001,Medium
EQ-0008,2023-07-01,0,4.72,1742.65,1,Separator,FIELD-001,Medium
EQ-0008,2023-08-01,1,5.85,11989.14,1,Separator,FIELD-001,Medium
EQ-0008,2023-11-01,0,7.8500000000000005,7330.84,2,Separator,FIELD-001,Medium
EQ-0008,2024-03-01,0,6.48,14796.92,2,Separator,FIELD-001,Medium
EQ-0008,2024-06-01,0,8.58,7192.2,1,Separator,FIELD-001,Medium
EQ-0008,2024-10-01,0,8.55,2482.0,2,Separator,FIELD-001,Medium
EQ-0009,2022-01-01,0,7.25,2492.08,2,Generator,FIELD-001,High
EQ-0009,2022-02-01,1,8.05,5614.94,1,Generator,FIELD-001,High
EQ-0009,2022-04-01,0,7.32,1997.79,1,Generator,FIELD-001,High
EQ-0009,2022-07-01,0,5.52,2084.73,2,Generator,FIELD-001,High
EQ-0009,2022-10-01,0,8.36,6963.3099999999995,2,Generator,FIELD-001,High
EQ-0009,2023-01-01,0,7.76,2557.82,1,Generator,FIELD-001,High
EQ-0009,2023-05-01,0,7.6,2363.82,2,Generator,FIELD-001,High
EQ-0009,2023-07-01,1,9.23,16167.44,1,Generator,FIELD-001,High
EQ-0009,2023-08-01,1,11.39,9782.26,1,Generator,FIELD-001,High
EQ-0009,2023-09-01,0,3.02,1335.69,1,Generator,FIELD-001,High
EQ-0009,2023-11-01,1,5.36,1554.54,1,Generator,FIELD-001,High
EQ-0009,2024-01-01,1,10.73,13399.23,2,Generator,FIELD-001,High
EQ-0009,2024-04-01,1,59.74,38351.61,3,Generator,FIELD-001,High
EQ-0009,2024-07-01,1,19.06,5610.52,2,Generator,FIELD-001,High
EQ-0009,2024-11-01,0,6.26,2159.28,1,Generator,FIELD-001,High
EQ-0010,2022-01-01,0,4.34,2429.4,1,Valve,FIELD-001,Low
EQ-0010,2022-05-01,0,5.85,1738.39,1,Valve,FIELD-001,Low
EQ-0010,2022-08-01,0,4.02,2027.1999999999998,2,Valve,FIELD-001,Low
EQ-0010,2022-12-01,0,7.67,11091.54,2,Valve,FIELD-001,Low
EQ-0010,2023-03-01,0,5.02,1607.33,1,Valve,FIELD-001,Low
EQ-0010,2023-07-01,0,8.67,29277.089999999997,2,Valve,FIELD-001,Low
EQ-0010,2023-10-01,0,10.88,8245.09,1,Valve,FIELD-001,Low
EQ-0010,2023-11-01,1,15.01,16631.73,1,Valve,FIELD-001,Low
EQ-0010,2024-01-01,0,6.92,2819.7000000000003,2,Valve,FIELD-001,Low
EQ-0010,2024-04-01,0,5.79,2118.33,2,Valve,FIELD-001,Low
EQ-0010,2024-07-01,1,14.5,23907.85,2,Valve,FIELD-001,Low
EQ-0010,2024-11-01,1,15.010000000000002,29731.39,2,Valve,FIELD-001,Low
EQ-0011,2022-02-01,0,6.73,6474.77,2,Heat Exchanger,FIELD-001,Medium
EQ-0011,2022-06-01,0,6.05,1643.55,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2022-08-01,0,7.86,2466.91,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2022-12-01,0,8.68,3308.95,2,Heat Exchanger,FIELD-001,Medium
EQ-0011,2023-02-01,1,42.17,13264.21,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2023-04-01,0,5.83,2498.87,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2023-07-01,0,6.62,2726.06,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2023-10-01,0,4.05,7785.9,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2023-11-01,1,34.92,10141.33,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2024-01-01,0,6.65,5842.67,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2024-04-01,0,5.53,2189.39,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2024-08-01,1,106.49,28333.94,3,Heat Exchanger,FIELD-001,Medium
EQ-0011,2024-11-01,0,4.49,3060.71,1,Heat Exchanger,FIELD-001,Medium
EQ-0011,2024-12-01,1,36.8,13170.99,1,Heat Exchanger,FIELD-001,Medium
EQ-0012,2022-01-01,0,7.98,7122.83,2,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2022-05-01,0,5.39,6523.09,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2022-09-01,0,4.3,2992.73,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2023-01-01,0,7.680000000000001,9166.36,2,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2023-04-01,0,9.22,4297.4400000000005,2,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2023-08-01,0,9.47,4379.25,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2023-11-01,0,4.75,3162.63,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2024-01-01,1,23.76,12704.6,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2024-03-01,0,6.23,3912.88,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2024-07-01,0,6.16,10250.11,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2024-10-01,0,2.8,1715.95,1,Pipeline Equipment,FIELD-001,Medium
EQ-0012,2024-12-01,1,24.25,11677.69,1,Pipeline Equipment,FIELD-001,Medium
EQ-0013,2022-01-01,0,6.67,2425.4700000000003,2,Pump,FIELD-002,Low
EQ-0013,2022-02-01,1,25.18,24428.58,1,Pump,FIELD-002,Low
EQ-0013,2022-04-01,1,42.36,16209.4,1,Pump,FIELD-002,Low
EQ-0013,2022-05-01,0,13.09,5466.09,1,Pump,FIELD-002,Low
EQ-0013,2022-06-01,1,41.8,8481.19,1,Pump,FIELD-002,Low
EQ-0013,2022-07-01,1,26.25,20702.94,1,Pump,FIELD-002,Low
EQ-0013,2022-08-01,0,4.89,1061.69,1,Pump,FIELD-002,Low
EQ-0013,2022-10-01,3,33.71,34149.07,3,Pump,FIELD-002,Low
EQ-0013,2022-11-01,0,10.53,3719.84,1,Pump,FIELD-002,Low
EQ-0013,2023-01-01,1,29.75,31214.69,1,Pump,FIELD-002,Low
EQ-0013,2023-03-01,1,30.54,12615.79,3,Pump,FIELD-002,Low
EQ-0013,2023-06-01,1,9.969999999999999,12503.16,2,Pump,FIELD-002,Low
EQ-0013,2023-09-01,0,9.35,2693.57,1,Pump,FIELD-002,Low
EQ-0013,2023-12-01,0,4.9,2403.7799999999997,2,Pump,FIELD-002,Low
EQ-0013,2024-04-01,0,9.28,7880.37,2,Pump,FIELD-002,Low
EQ-0013,2024-07-01,1,50.71,21051.88,1,Pump,FIELD-002,Low
EQ-0013,2024-08-01,0,8.21,3901.4,1,Pump,FIELD-002,Low
EQ-0013,2024-10-01,0,4.66,3827.65,1,Pump,FIELD-002,Low
EQ-0013,2024-12-01,1,12.97,9144.77,1,Pump,FIELD-002,Low
EQ-0014,2022-01-01,1,10.13,3444.33,1,Pump,FIELD-002,Medium
EQ-0014,2022-04-01,1,18.48,8375.52,2,Pump,FIELD-002,Medium
EQ-0014,2022-07-01,0,6.89,2104.21,1,Pump,FIELD-002,Medium
EQ-0014,2022-10-01,1,13.37,16980.48,1,Pump,FIELD-002,Medium
EQ-0014,2022-11-01,0,12.88,5796.129999999999,2,Pump,FIELD-002,Medium
EQ-0014,2023-02-01,1,29.98,11632.56,2,Pump,FIELD-002,Medium
EQ-0014,2023-03-01,1,12.29,5533.89,1,Pump,FIELD-002,Medium
EQ-0014,2023-04-01,1,16.26,10370.88,1,Pump,FIELD-002,Medium
EQ-0014,2023-05-01,0,9.53,5413.62,1,Pump,FIELD-002,Medium
EQ-0014,2023-06-01,2,78.02,25301.4,2,Pump,FIELD-002,Medium
EQ-0014,2023-09-01,0,8.0,3256.5199999999995,2,Pump,FIELD-002,Medium
EQ-0014,2023-10-01,1,20.74,6320.63,1,Pump,FIELD-002,Medium
EQ-0014,2024-01-01,0,6.56,1346.16,1,Pump,FIELD-002,Medium
EQ-0014,2024-03-01,1,24.85,16973.75,3,Pump,FIELD-002,Medium
EQ-0014,2024-07-01,0,8.190000000000001,2257.5699999999997,2,Pump,FIELD-002,Medium
EQ-0014,2024-08-01,1,16.77,14269.25,1,Pump,FIELD-002,Medium
EQ-0014,2024-09-01,1,18.88,18060.45,1,Pump,FIELD-002,Medium
EQ-0014,2024-11-01,1,43.040000000000006,12375.72,2,Pump,FIELD-002,Medium
EQ-0015,2022-01-01,1,6.69,2095.52,1,Pump,FIELD-002,Medium
EQ-0015,2022-02-01,0,5.51,2212.68,1,Pump,FIELD-002,Medium
EQ-0015,2022-03-01,1,30.26,25997.09,1,Pump,FIELD-002,Medium
EQ-0015,2022-05-01,0,5.8,3386.0,2,Pump,FIELD-002,Medium
EQ-0015,2022-09-01,0,7.210000000000001,5412.14,2,Pump,FIELD-002,Medium
EQ-0015,2022-10-01,1,23.83,6496.9,1,Pump,FIELD-002,Medium
EQ-0015,2023-01-01,0,5.11,2781.45,1,Pump,FIELD-002,Medium
EQ-0015,2023-04-01,1,44.48,25645.440000000002,2,Pump,FIELD-002,Medium
EQ-0015,2023-05-01,1,11.44,27104.03,1,Pump,FIELD-002,Medium
EQ-0015,2023-06-01,1,6.24,14538.64,1,Pump,FIELD-002,Medium
EQ-0015,2023-08-01,0,8.46,1971.75,2,Pump,FIELD-002,Medium
EQ-0015,2023-09-01,1,47.75,11449.5,1,Pump,FIELD-002,Medium
EQ-0015,2023-11-01,1,15.45,8647.95,2,Pump,FIELD-002,Medium
EQ-0015,2024-01-01,1,5.9,2260.5,1,Pump,FIELD-002,Medium
EQ-0015,2024-03-01,0,5.449999999999999,6439.37,2,Pump,FIELD-002,Medium
EQ-0015,2024-05-01,2,36.01,38915.78,2,Pump,FIELD-002,Medium
EQ-0015,2024-07-01,2,57.03,15281.46,3,Pump,FIELD-002,Medium
EQ-0015,2024-10-01,0,8.46,6602.67,1,Pump,FIELD-002,Medium
EQ-0015,2024-11-01,1,26.56,10761.31,1,Pump,FIELD-002,Medium
EQ-0015,2024-12-01,1,10.99,48841.62,1,Pump,FIELD-002,Medium
EQ-0016,2022-01-01,0,6.05,2229.63,1,Pump,FIELD-002,Medium
EQ-0016,2022-02-01,1,25.48,7877.75,1,Pump,FIELD-002,Medium
EQ-0016,2022-03-01,1,9.81,3019.69,1,Pump,FIELD-002,Medium
EQ-0016,2022-05-01,0,6.95,2827.88,2,Pump,FIELD-002,Medium
EQ-0016,2022-08-01,1,30.889999999999997,20591.289999999997,3,Pump,FIELD-002,Medium
EQ-0016,2022-09-01,1,6.35,14268.73,1,Pump,FIELD-002,Medium
EQ-0016,2022-11-01,2,39.49,35528.01,2,Pump,FIELD-002,Medium
EQ-0016,2022-12-01,2,50.39,29849.84,4,Pump,FIELD-002,Medium
EQ-0016,2023-02-01,1,11.12,33994.76,1,Pump,FIELD-002,Medium
EQ-0016,2023-03-01,0,9.07,2870.64,1,Pump,FIELD-002,Medium
EQ-0016,2023-06-01,0,6.93,20949.59,1,Pump,FIELD-002,Medium
EQ-0016,2023-08-01,1,24.51,61262.49,1,Pump,FIELD-002,Medium
EQ-0016,2023-09-01,0,6.43,1760.79,1,Pump,FIELD-002,Medium
EQ-0016,2023-11-01,1,13.28,35212.0,1,Pump,FIELD-002,Medium
EQ-0016,2023-12-01,0,4.93,7789.09,1,Pump,FIELD-002,Medium
EQ-0016,2024-01-01,1,8.94,4959.81,1,Pump,FIELD-002,Medium
EQ-0016,2024-04-01,0,7.199999999999999,6292.1900000000005,2,Pump,FIELD-002,Medium
EQ-0016,2024-05-01,2,69.63,27303.66,2,Pump,FIELD-002,Medium
EQ-0016,2024-08-01,0,4.7299999999999995,2212.5299999999997,2,Pump,FIELD-002,Medium
EQ-0016,2024-09-01,1,26.93,10638.49,1,Pump,FIELD-002,Medium
EQ-0016,2024-11-01,0,9.22,2404.92,1,Pump,FIELD-002,Medium
EQ-0016,2024-12-01,1,40.93,13436.43,1,Pump,FIELD-002,Medium
EQ-0017,2022-03-01,1,48.28,67265.94,2,Compressor,FIELD-002,High
EQ-0017,2022-06-01,1,41.08,35597.3,2,Compressor,FIELD-002,High
EQ-0017,2022-10-01,0,8.47,17773.7,1,Compressor,FIELD-002,High
EQ-0017,2022-12-01,2,79.19999999999999,67111.4,2,Compressor,FIELD-002,High
EQ-0017,2023-01-01,0,12.07,15926.63,1,Compressor,FIELD-002,High
EQ-0017,2023-05-01,0,13.18,6931.12,2,Compressor,FIELD-002,High
EQ-0017,2023-07-01,1,33.93,26967.15,1,Compressor,FIELD-002,High
EQ-0017,2023-08-01,0,12.73,34339.770000000004,2,Compressor,FIELD-002,High
EQ-0017,2023-09-01,1,27.63,19901.19,1,Compressor,FIELD-002,High
EQ-0017,2023-11-01,1,47.27,44230.78,1,Compressor,FIELD-002,High
EQ-0017,2023-12-01,0,12.46,24579.29,2,Compressor,FIELD-002,High
EQ-0017,2024-03-01,0,15.32,25657.39,2,Compressor,FIELD-002,High
EQ-0017,2024-07-01,0,14.76,16926.21,2,Compressor,FIELD-002,High
EQ-0017,2024-11-01,0,9.93,5227.47,1,Compressor,FIELD-002,High
EQ-0018,2022-01-01,1,51.510000000000005,25776.71,2,Compressor,FIELD-002,High
EQ-0018,2022-02-01,1,65.23,36814.92,1,Compressor,FIELD-002,High
EQ-0018,2022-03-01,1,97.68,40371.63,1,Compressor,FIELD-002,High
EQ-0018,2022-04-01,0,18.549999999999997,10185.759999999998,2,Compressor,FIELD-002,High
EQ-0018,2022-07-01,0,13.42,7722.0,1,Compressor,FIELD-002,High
EQ-0018,2022-11-01,0,7.48,21507.9,1,Compressor,FIELD-002,High
EQ-0018,2023-02-01,1,17.380000000000003,8599.28,2,Compressor,FIELD-002,High
EQ-0018,2023-03-01,1,38.87,13165.14,1,Compressor,FIELD-002,High
EQ-0018,2023-06-01,0,9.72,5091.82,1,Compressor,FIELD-002,High
EQ-0018,2023-10-01,0,7.38,3387.34,1,Compressor,FIELD-002,High
EQ-0018,2023-11-01,1,109.64,69159.21,1,Compressor,FIELD-002,High
EQ-0018,2023-12-01,1,36.17,25839.35,1,Compressor,FIELD-002,High
EQ-0018,2024-02-01,0,11.54,4536.62,1,Compressor,FIELD-002,High
EQ-0018,2024-03-01,1,14.63,20872.07,1,Compressor,FIELD-002,High
EQ-0018,2024-04-01,1,36.07,18217.47,1,Compressor,FIELD-002,High
EQ-0018,2024-06-01,0,12.72,15419.14,1,Compressor,FIELD-002,High
EQ-0018,2024-07-01,1,27.14,17759.96,1,Compressor,FIELD-002,High
EQ-0018,2024-09-01,1,7.19,3308.98,1,Compressor,FIELD-002,High
EQ-0018,2024-10-01,1,49.54,25121.26,3,Compressor,FIELD-002,High
EQ-0019,2022-01-01,1,14.81,23838.25,1,Separator,FIELD-002,High
EQ-0019,2022-03-01,0,12.28,11120.27,2,Separator,FIELD-002,High
EQ-0019,2022-07-01,0,4.03,9085.57,1,Separator,FIELD-002,High
EQ-0019,2022-08-01,1,70.93,24033.67,1,Separator,FIELD-002,High
EQ-0019,2022-11-01,0,9.01,13690.5,2,Separator,FIELD-002,High
EQ-0019,2023-02-01,0,7.76,3011.52,2,Separator,FIELD-002,High
EQ-0019,2023-05-01,0,11.05,9951.880000000001,2,Separator,FIELD-002,High
EQ-0019,2023-07-01,2,73.78,64043.14,2,Separator,FIELD-002,High
EQ-0019,2023-08-01,1,105.6,44523.18,1,Separator,FIELD-002,High
EQ-0019,2023-09-01,1,18.990000000000002,18841.13,2,Separator,FIELD-002,High
EQ-0019,2023-12-01,0,7.51,8032.9,1,Separator,FIELD-002,High
EQ-0019,2024-03-01,1,33.02,25581.79,1,Separator,FIELD-002,High
EQ-0019,2024-04-01,2,34.019999999999996,42829.66,4,Separator,FIELD-002,High
EQ-0019,2024-07-01,0,6.95,2006.84,1,Separator,FIELD-002,High
EQ-0019,2024-11-01,0,12.48,7971.67,2,Separator,FIELD-002,High
EQ-0020,2022-02-01,0,8.09,11654.27,2,Separator,FIELD-002,High
EQ-0020,2022-06-01,0,7.34,1810.3,1,Separator,FIELD-002,High
EQ-0020,2022-10-01,0,9.03,4459.6,1,Separator,FIELD-002,High
EQ-0020,2023-02-01,0,5.52,8344.71,1,Separator,FIELD-002,High
EQ-0020,2023-04-01,0,5.13,8736.3,2,Separator,FIELD-002,High
EQ-0020,2023-08-01,0,7.109999999999999,10766.15,2,Separator,FIELD-002,High
EQ-0020,2023-10-01,1,28.15,26524.14,1,Separator,FIELD-002,High
EQ-0020,2023-12-01,0,5.27,29101.16,2,Separator,FIELD-002,High
EQ-0020,2024-02-01,1,9.22,18526.43,1,Separator,FIELD-002,High
EQ-0020,2024-04-01,0,5.96,2124.64,1,Separator,FIELD-002,High
EQ-0020,2024-05-01,1,20.8,45103.72,1,Separator,FIELD-002,High
EQ-0020,2024-07-01,0,8.51,4253.58,2,Separator,FIELD-002,High
EQ-0020,2024-10-01,0,10.4,9483.95,1,Separator,FIELD-002,High
EQ-0021,2022-03-01,0,4.85,2197.95,1,Generator,FIELD-002,High
EQ-0021,2022-05-01,1,22.39,5379.36,1,Generator,FIELD-002,High
EQ-0021,2022-06-01,2,36.25,23056.98,2,Generator,FIELD-002,High
EQ-0021,2022-07-01,0,12.32,14175.7,1,Generator,FIELD-002,High
EQ-0021,2022-09-01,1,13.82,10287.29,1,Generator,FIELD-002,High
EQ-0021,2022-10-01,1,28.85,19233.32,2,Generator,FIELD-002,High
EQ-0021,2023-02-01,0,5.91,2174.22,1,Generator,FIELD-002,High
