field_id,month,exposure_hours,incidents,lost_time_incidents,days_lost,recordable_incidents,incident_rate_per_200k_h,ltir_per_200k_h
FIELD-001,2023-12-01,16740.0,6.0,0.0,0.0,1.0,71.68458781362007,0.0
FIELD-001,2024-01-01,16650.0,2.0,1.0,11.0,2.0,24.024024024024023,12.012012012012011
FIELD-001,2024-02-01,15660.0,1.0,0.0,0.0,0.0,12.77139208173691,0.0
FIELD-001,2024-03-01,16740.0,4.0,0.0,0.0,0.0,47.789725209080046,0.0
FIELD-001,2024-04-01,16200.0,3.0,0.0,0.0,1.0,37.03703703703704,0.0
FIELD-001,2024-05-01,16710.0,2.0,0.0,0.0,0.0,23.937761819269898,0.0
FIELD-001,2024-06-01,16200.0,6.0,0.0,0.0,1.0,74.07407407407408,0.0
FIELD-001,2024-07-01,16740.0,3.0,0.0,0.0,0.0,35.842293906810035,0.0
FIELD-001,2024-08-01,16740.0,3.0,0.0,0.0,0.0,35.842293906810035,0.0
FIELD-001,2024-09-01,16200.0,1.0,0.0,0.0,1.0,12.345679012345679,0.0
FIELD-001,2024-10-01,16740.0,6.0,1.0,8.0,5.0,71.68458781362007,11.947431302270012
FIELD-001,2024-11-01,16200.0,1.0,0.0,0.0,1.0,12.345679012345679,0.0
FIELD-001,2024-12-01,16740.0,3.0,0.0,0.0,3.0,35.842293906810035,0.0
FIELD-002,2022-01-01,9300.0,4.0,1.0,5.0,2.0,86.02150537634408,21.50537634408602
FIELD-002,2022-02-01,8700.0,3.0,0.0,0.0,2.0,68.96551724137932,0.0
FIELD-002,2022-03-01,10890.0,2.0,0.0,0.0,1.0,36.73094582185491,0.0
FIELD-002,2022-04-01,10800.0,5.0,1.0,3.0,2.0,92.5925925925926,18.51851851851852
FIELD-002,2022-05-01,11880.0,4.0,1.0,2.0,1.0,67.34006734006734,16.835016835016834
FIELD-002,2022-06-01,11700.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-002,2022-07-01,12090.0,3.0,0.0,0.0,0.0,49.62779156327544,0.0
FIELD-002,2022-08-01,12090.0,5.0,0.0,0.0,0.0,82.71298593879239,0.0
FIELD-002,2022-09-01,11700.0,2.0,0.0,0.0,0.0,34.18803418803419,0.0
FIELD-002,2022-10-01,12330.0,2.0,0.0,0.0,0.0,32.441200324412,0.0
FIELD-002,2022-11-01,12600.0,1.0,0.0,0.0,0.0,15.873015873015873,0.0
FIELD-002,2022-12-01,13350.0,6.0,0.0,0.0,1.0,89.88764044943821,0.0
FIELD-002,2023-01-01,13950.0,2.0,0.0,0.0,0.0,28.67383512544803,0.0
FIELD-002,2023-02-01,12600.0,2.0,0.0,0.0,1.0,31.746031746031747,0.0
FIELD-002,2023-03-01,13950.0,2.0,1.0,4.0,1.0,28.67383512544803,14.336917562724015
FIELD-002,2023-04-01,13500.0,2.0,0.0,0.0,0.0,29.62962962962963,0.0
FIELD-002,2023-05-01,13950.0,4.0,0.0,0.0,3.0,57.34767025089606,0.0
FIELD-002,2023-06-01,14070.0,7.0,0.0,0.0,3.0,99.50248756218906,0.0
FIELD-002,2023-07-01,14850.0,4.0,0.0,0.0,1.0,53.872053872053876,0.0
FIELD-002,2023-08-01,14880.0,6.0,2.0,24.0,3.0,80.64516129032258,26.881720430107528
FIELD-002,2023-09-01,14400.0,4.0,1.0,40.0,2.0,55.55555555555556,13.88888888888889
FIELD-002,2023-10-01,14820.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-002,2023-11-01,14400.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-002,2023-12-01,14850.0,1.0,0.0,0.0,0.0,13.468013468013469,0.0
FIELD-002,2024-01-01,14850.0,2.0,0.0,0.0,1.0,26.936026936026938,0.0
FIELD-002,2024-02-01,13890.0,3.0,0.0,0.0,2.0,43.196544276457885,0.0
FIELD-002,2024-03-01,14850.0,1.0,0.0,0.0,0.0,13.468013468013469,0.0
FIELD-002,2024-04-01,14400.0,3.0,0.0,0.0,0.0,41.666666666666664,0.0
FIELD-002,2024-05-01,14880.0,2.0,1.0,3.0,1.0,26.881720430107528,13.440860215053764
FIELD-002,2024-06-01,14370.0,4.0,0.0,0.0,2.0,55.67153792623521,0.0
FIELD-002,2024-07-01,14880.0,5.0,1.0,2.0,2.0,67.20430107526882,13.440860215053764
FIELD-002,2024-08-01,14880.0,1.0,0.0,0.0,0.0,13.440860215053764,0.0
FIELD-002,2024-09-01,14400.0,2.0,0.0,0.0,1.0,27.77777777777778,0.0
FIELD-002,2024-10-01,14880.0,5.0,0.0,0.0,2.0,67.20430107526882,0.0
FIELD-002,2024-11-01,14400.0,2.0,0.0,0.0,0.0,27.77777777777778,0.0
FIELD-002,2024-12-01,14880.0,7.0,0.0,0.0,0.0,94.08602150537635,0.0
FIELD-003,2022-01-01,6510.0,2.0,0.0,0.0,0.0,61.443932411674346,0.0
FIELD-003,2022-02-01,5880.0,5.0,0.0,0.0,3.0,170.06802721088437,0.0
FIELD-003,2022-03-01,6510.0,2.0,0.0,0.0,0.0,61.443932411674346,0.0
FIELD-003,2022-04-01,6300.0,1.0,0.0,0.0,1.0,31.746031746031747,0.0
FIELD-003,2022-05-01,6510.0,1.0,0.0,0.0,1.0,30.721966205837173,0.0
FIELD-003,2022-06-01,6600.0,3.0,0.0,0.0,1.0,90.9090909090909,0.0
FIELD-003,2022-07-01,7440.0,4.0,0.0,0.0,0.0,107.52688172043011,0.0
FIELD-003,2022-08-01,7440.0,2.0,0.0,0.0,0.0,53.763440860215056,0.0
FIELD-003,2022-09-01,7200.0,3.0,1.0,3.0,1.0,83.33333333333333,27.77777777777778
FIELD-003,2022-10-01,8340.0,1.0,0.0,0.0,0.0,23.980815347721823,0.0
FIELD-003,2022-11-01,8640.0,6.0,0.0,0.0,1.0,138.88888888888889,0.0
FIELD-003,2022-12-01,10230.0,3.0,0.0,0.0,2.0,58.651026392961874,0.0
FIELD-003,2023-01-01,10770.0,1.0,1.0,3.0,1.0,18.570102135561747,18.570102135561747
FIELD-003,2023-02-01,10080.0,5.0,0.0,0.0,2.0,99.2063492063492,0.0
FIELD-003,2023-03-01,11160.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-003,2023-04-01,10800.0,6.0,0.0,0.0,2.0,111.11111111111111,0.0
FIELD-003,2023-05-01,11160.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-003,2023-06-01,10770.0,1.0,0.0,0.0,0.0,18.570102135561747,0.0
FIELD-003,2023-07-01,11160.0,3.0,0.0,0.0,0.0,53.763440860215056,0.0
FIELD-003,2023-08-01,11130.0,1.0,0.0,0.0,1.0,17.969451931716083,0.0
FIELD-003,2023-09-01,11520.0,2.0,0.0,0.0,0.0,34.72222222222222,0.0
FIELD-003,2023-10-01,12120.0,4.0,0.0,0.0,1.0,66.00660066006601,0.0
FIELD-003,2023-11-01,12570.0,3.0,0.0,0.0,0.0,47.7326968973747,0.0
FIELD-003,2023-12-01,12990.0,1.0,0.0,0.0,0.0,15.396458814472672,0.0
FIELD-003,2024-01-01,12960.0,1.0,0.0,0.0,0.0,15.432098765432098,0.0
FIELD-003,2024-02-01,12180.0,1.0,0.0,0.0,0.0,16.420361247947454,0.0
FIELD-003,2024-03-01,13020.0,4.0,1.0,2.0,1.0,61.443932411674346,15.360983102918587
FIELD-003,2024-04-01,12600.0,4.0,1.0,5.0,1.0,63.492063492063494,15.873015873015873
FIELD-003,2024-05-01,13020.0,4.0,0.0,0.0,0.0,61.443932411674346,0.0
FIELD-003,2024-06-01,12600.0,1.0,0.0,0.0,1.0,15.873015873015873,0.0
FIELD-003,2024-07-01,13020.0,6.0,0.0,0.0,2.0,92.16589861751152,0.0
FIELD-003,2024-08-01,13020.0,2.0,0.0,0.0,2.0,30.721966205837173,0.0
FIELD-003,2024-09-01,12600.0,2.0,1.0,4.0,1.0,31.746031746031747,15.873015873015873
FIELD-003,2024-10-01,12990.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-003,2024-11-01,12600.0,4.0,0.0,0.0,2.0,63.492063492063494,0.0
FIELD-003,2024-12-01,13020.0,1.0,0.0,0.0,0.0,15.360983102918587,0.0
FIELD-004,2022-01-01,8340.0,3.0,0.0,0.0,1.0,71.94244604316546,0.0
FIELD-004,2022-02-01,7560.0,3.0,0.0,0.0,2.0,79.36507936507937,0.0
FIELD-004,2022-03-01,8310.0,3.0,0.0,0.0,2.0,72.20216606498195,0.0
FIELD-004,2022-04-01,8070.0,1.0,0.0,0.0,0.0,24.783147459727385,0.0
FIELD-004,2022-05-01,8370.0,2.0,0.0,0.0,0.0,47.789725209080046,0.0
FIELD-004,2022-06-01,8100.0,3.0,0.0,0.0,2.0,74.07407407407408,0.0
FIELD-004,2022-07-01,8340.0,2.0,0.0,0.0,0.0,47.961630695443645,0.0
FIELD-004,2022-08-01,8370.0,2.0,0.0,0.0,1.0,47.789725209080046,0.0
FIELD-004,2022-09-01,8040.0,1.0,0.0,0.0,0.0,24.875621890547265,0.0
FIELD-004,2022-10-01,8370.0,3.0,0.0,0.0,0.0,71.68458781362007,0.0
FIELD-004,2022-11-01,8730.0,4.0,0.0,0.0,1.0,91.63802978235968,0.0
FIELD-004,2022-12-01,9300.0,3.0,0.0,0.0,0.0,64.51612903225806,0.0
FIELD-004,2023-01-01,9300.0,2.0,1.0,3.0,1.0,43.01075268817204,21.50537634408602
FIELD-004,2023-02-01,8400.0,1.0,0.0,0.0,0.0,23.80952380952381,0.0
FIELD-004,2023-03-01,9270.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-004,2023-04-01,9000.0,6.0,0.0,0.0,2.0,133.33333333333334,0.0
FIELD-004,2023-05-01,9300.0,2.0,1.0,10.0,1.0,43.01075268817204,21.50537634408602
FIELD-004,2023-06-01,9000.0,3.0,0.0,0.0,2.0,66.66666666666667,0.0
FIELD-004,2023-07-01,9270.0,3.0,0.0,0.0,0.0,64.72491909385113,0.0
FIELD-004,2023-08-01,9300.0,1.0,0.0,0.0,1.0,21.50537634408602,0.0
FIELD-004,2023-09-01,9000.0,4.0,0.0,0.0,2.0,88.88888888888889,0.0
FIELD-004,2023-10-01,10860.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-004,2023-11-01,10770.0,2.0,0.0,0.0,0.0,37.140204271123494,0.0
FIELD-004,2023-12-01,11160.0,1.0,0.0,0.0,0.0,17.921146953405017,0.0
FIELD-004,2024-01-01,11160.0,4.0,1.0,4.0,3.0,71.68458781362007,17.921146953405017
FIELD-004,2024-02-01,10410.0,1.0,0.0,0.0,0.0,19.21229586935639,0.0
FIELD-004,2024-03-01,11160.0,0.0,0.0,0.0,0.0,0.0,0.0
FIELD-004,2024-04-01,10800.0,2.0,0.0,0.0,0.0,37.03703703703704,0.0
FIELD-004,2024-05-01,11160.0,2.0,0.0,0.0,0.0,35.842293906810035,0.0
FIELD-004,2024-06-01,10800.0,2.0,0.0,0.0,0.0,37.03703703703704,0.0
FIELD-004,2024-07-01,11160.0,5.0,0.0,0.0,0.0,89.60573476702508,0.0
FIELD-004,2024-08-01,11130.0,1.0,0.0,0.0,1.0,17.969451931716083,0.0
FIELD-004,2024-09-01,10800.0,2.0,0.0,0.0,0.0,37.03703703703704,0.0
FIELD-004,2024-10-01,11130.0,2.0,0.0,0.0,1.0,35.93890386343217,0.0
FIELD-004,2024-11-01,10800.0,2.0,1.0,5.0,1.0,37.03703703703704,18.51851851851852
FIELD-004,2024-12-01,11160.0,3.0,0.0,0.0,0.0,53.763440860215056,0.0
