date,field_id,oil_volume_bbl,gas_volume_mcf,oil_price_usd,gas_price_usd,revenue_usd
2022-01-16,FIELD-001,4413.9,3760.8,66.8,3.003,306142.2
2022-01-16,FIELD-002,1627.7,1434.1,66.63,3.038,112810.45
2022-01-16,FIELD-003,449.7,613.8,63.52,3.003,30408.19
2022-01-16,FIELD-004,1500.2,1966.1,67.03,2.999,106454.74
2022-01-17,FIELD-001,4140.6,3591.0,65.34,2.984,281262.35
2022-01-17,FIELD-002,1594.1,1441.9,67.0,2.995,111123.19
2022-01-17,FIELD-003,461.4,675.1,62.76,3.028,31001.67
2022-01-17,FIELD-004,1460.8,1905.6,67.04,2.997,103643.12
2022-01-18,FIELD-001,4362.7,3741.8,67.17,3.061,304496.21
2022-01-18,FIELD-002,1605.5,1523.9,67.07,3.018,112280.02
2022-01-18,FIELD-003,462.2,673.7,62.66,2.993,30977.84
2022-01-18,FIELD-004,1469.0,1897.8,65.75,2.981,102244.09
2022-01-19,FIELD-001,4445.4,3749.8,65.59,2.953,302646.95
2022-01-19,FIELD-002,1048.8,960.4,67.26,2.974,73398.52
2022-01-19,FIELD-003,450.0,674.9,64.12,2.945,30841.58
2022-01-19,FIELD-004,1504.1,1982.1,66.97,3.01,106695.7
2022-01-20,FIELD-001,3958.0,3504.7,65.77,3.01,270866.81
2022-01-20,FIELD-002,1561.7,1418.6,67.31,3.058,109456.11
2022-01-20,FIELD-003,327.5,459.2,62.92,3.004,21985.74
2022-01-20,FIELD-004,1132.9,1446.8,66.88,3.003,80113.09
2022-01-21,FIELD-001,4304.5,3726.9,65.46,3.037,293091.17
2022-01-21,FIELD-002,1613.3,1474.8,66.33,2.92,111316.6
2022-01-21,FIELD-003,468.7,688.1,63.43,2.978,31778.8
2022-01-21,FIELD-004,1531.6,1980.5,66.42,3.017,107704.04
2022-01-22,FIELD-001,4360.9,3751.8,65.52,3.0,296981.57
2022-01-22,FIELD-002,1603.3,1397.0,67.45,2.982,112308.44
2022-01-22,FIELD-003,453.3,641.2,62.9,2.982,30424.63
2022-01-22,FIELD-004,1514.5,1930.4,66.89,2.973,107043.98
2022-01-23,FIELD-001,4035.2,3425.6,66.46,2.971,278356.85
2022-01-23,FIELD-002,1682.0,1535.7,66.77,2.983,116888.13
2022-01-23,FIELD-003,468.3,678.2,64.33,2.979,32146.1
2022-01-23,FIELD-004,1516.6,1959.0,66.12,3.014,106182.02
2022-01-24,FIELD-001,4249.8,3772.8,66.74,2.957,294787.82
2022-01-24,FIELD-002,1683.4,1553.2,67.72,3.0,118659.45
2022-01-24,FIELD-003,434.5,605.6,63.68,2.973,29469.41
2022-01-24,FIELD-004,1523.7,1877.9,66.29,2.978,106598.46
2022-01-25,FIELD-001,4343.6,3745.2,66.45,2.94,299643.11
2022-01-25,FIELD-002,1680.2,1552.0,67.44,3.0,117968.69
2022-01-25,FIELD-003,418.2,613.5,63.51,3.0,28400.38
2022-01-25,FIELD-004,1493.3,1950.5,65.8,2.971,104054.08
2022-01-26,FIELD-001,4330.5,3677.3,65.14,2.954,292951.51
2022-01-26,FIELD-002,1617.6,1546.6,67.28,3.009,113485.85
2022-01-26,FIELD-003,453.4,647.6,63.31,3.004,30650.14
2022-01-26,FIELD-004,0.0,0.0,66.17,3.046,0.0
2022-01-27,FIELD-001,3562.2,2989.7,65.89,3.033,243781.12
2022-01-27,FIELD-002,1511.8,1338.5,67.38,3.012,105896.65
2022-01-27,FIELD-003,407.7,600.7,63.64,2.978,27734.91
2022-01-27,FIELD-004,1385.5,1803.3,65.86,2.957,96581.39
2022-01-28,FIELD-001,4341.9,3889.9,65.33,2.969,295205.44
2022-01-28,FIELD-002,1270.3,1108.8,67.24,2.994,88734.72
2022-01-28,FIELD-003,461.4,676.2,63.17,2.982,31163.07
2022-01-28,FIELD-004,1443.9,1867.8,65.27,2.988,99824.34
2022-01-29,FIELD-001,3829.4,3235.3,66.04,3.024,262677.12
2022-01-29,FIELD-002,1656.7,1477.8,67.66,3.025,116562.67
2022-01-29,FIELD-003,469.8,654.0,63.52,2.979,31789.96
2022-01-29,FIELD-004,1482.2,1905.7,66.58,3.001,104403.88
2022-01-30,FIELD-001,3330.2,2861.9,65.69,3.045,227475.32
2022-01-30,FIELD-002,1602.8,1490.4,67.38,3.017,112493.2
2022-01-30,FIELD-003,455.7,663.5,63.53,2.992,30935.81
2022-01-30,FIELD-004,1446.8,1871.8,65.86,3.0,100901.65
2022-01-31,FIELD-001,4192.0,3609.5,66.58,3.048,290105.12
2022-01-31,FIELD-002,1628.6,1439.1,67.67,2.998,114521.78
2022-01-31,FIELD-003,458.1,660.0,64.39,3.019,31489.6
2022-01-31,FIELD-004,1506.4,1981.2,65.71,2.982,104893.48
2022-02-01,FIELD-001,4418.1,3660.1,64.43,3.73,298310.36
2022-02-01,FIELD-002,1650.0,1484.4,65.23,3.722,113154.44
2022-02-01,FIELD-003,465.3,654.1,61.93,3.773,31283.95
2022-02-01,FIELD-004,1468.1,1855.9,64.4,3.716,101442.16
2022-02-02,FIELD-001,1735.2,1573.4,63.68,3.684,116293.94
2022-02-02,FIELD-002,1697.0,1540.6,65.52,3.77,116995.5
2022-02-02,FIELD-003,454.6,663.0,61.72,3.703,30513.0
2022-02-02,FIELD-004,1359.5,1752.2,65.17,3.76,95186.89
2022-02-03,FIELD-001,4382.2,3795.8,63.44,3.663,291910.78
2022-02-03,FIELD-002,1607.1,1467.1,65.2,3.784,110334.43
2022-02-03,FIELD-003,460.0,651.2,61.47,3.718,30697.36
2022-02-03,FIELD-004,1489.9,1904.9,63.89,3.712,102260.7
2022-02-04,FIELD-001,4398.3,3537.9,64.86,3.747,298530.25
2022-02-04,FIELD-002,1602.0,1433.4,65.65,3.71,110489.21
2022-02-04,FIELD-003,420.4,613.8,61.99,3.752,28363.57
2022-02-04,FIELD-004,1495.5,2011.0,65.77,3.737,105874.14
2022-02-05,FIELD-001,4452.0,3734.9,63.58,3.804,297265.72
2022-02-05,FIELD-002,1648.4,1509.5,64.84,3.73,112512.69
2022-02-05,FIELD-003,462.2,652.7,61.67,3.815,30993.92
2022-02-05,FIELD-004,1498.4,1883.3,64.39,3.735,103516.1
2022-02-06,FIELD-001,4236.9,3538.8,64.07,3.699,284548.2
2022-02-06,FIELD-002,1641.5,1442.9,66.53,3.685,114526.08
2022-02-06,FIELD-003,444.2,652.7,62.11,3.763,30045.37
2022-02-06,FIELD-004,1441.1,1896.4,63.6,3.683,98638.4
2022-02-07,FIELD-001,4385.1,3658.1,63.91,3.705,293805.0
2022-02-07,FIELD-002,675.6,609.2,64.64,3.759,45960.77
2022-02-07,FIELD-003,469.9,683.7,61.7,3.709,31528.67
2022-02-07,FIELD-004,1517.3,1928.7,65.34,3.763,106398.08
2022-02-08,FIELD-001,4376.6,3579.0,63.91,3.764,293179.86
2022-02-08,FIELD-002,577.1,551.4,65.96,3.748,40132.16
2022-02-08,FIELD-003,449.3,649.7,61.38,3.747,30012.46
2022-02-08,FIELD-004,668.6,852.4,63.79,3.78,45872.07
2022-02-09,FIELD-001,4385.0,3777.1,64.26,3.609,295411.65
2022-02-09,FIELD-002,807.8,708.7,65.39,3.782,55502.35
2022-02-09,FIELD-003,421.0,599.3,61.93,3.735,28310.92
2022-02-09,FIELD-004,725.0,956.3,64.58,3.739,50396.11
2022-02-10,FIELD-001,4246.9,3783.9,64.26,3.707,286932.71
2022-02-10,FIELD-002,1632.9,1499.7,65.08,3.722,111851.02
2022-02-10,FIELD-003,277.4,402.9,61.45,3.756,18559.52
2022-02-10,FIELD-004,1063.5,1328.9,64.28,3.635,73192.33
2022-02-11,FIELD-001,3188.6,2782.7,63.48,3.757,212866.93
2022-02-11,FIELD-002,1672.1,1408.8,65.53,3.728,114824.72
2022-02-11,FIELD-003,424.9,595.8,61.94,3.745,28549.58
2022-02-11,FIELD-004,1464.7,1884.3,65.24,3.729,102583.58
2022-02-12,FIELD-001,4370.8,3720.0,63.61,3.746,291961.71
2022-02-12,FIELD-002,1588.5,1453.7,65.89,3.616,109922.84
2022-02-12,FIELD-003,226.0,322.6,61.23,3.819,15069.99
2022-02-12,FIELD-004,1475.6,1901.4,64.6,3.729,102414.08
2022-02-13,FIELD-001,4223.3,3619.1,63.86,3.732,283206.42
2022-02-13,FIELD-002,1606.2,1505.0,65.2,3.718,110319.83
2022-02-13,FIELD-003,452.4,637.4,62.09,3.671,30429.41
2022-02-13,FIELD-004,1405.1,1883.9,65.62,3.688,99150.49
2022-02-14,FIELD-001,4271.7,3788.8,64.59,3.715,289984.5
2022-02-14,FIELD-002,983.6,1155.2,65.56,3.74,68805.26
2022-02-14,FIELD-003,457.5,627.5,61.98,3.721,30690.78
2022-02-14,FIELD-004,1330.6,1737.2,64.37,3.738,92144.38
2022-02-15,FIELD-001,4191.6,3652.0,63.84,3.757,281312.31
2022-02-15,FIELD-002,1561.6,1467.6,66.19,3.732,108839.39
2022-02-15,FIELD-003,446.7,636.0,62.57,3.685,30293.68
2022-02-15,FIELD-004,1436.6,1965.8,64.59,3.673,100010.38
2022-02-16,FIELD-001,3831.6,3229.7,64.94,3.721,260841.82
2022-02-16,FIELD-002,1629.3,1477.3,66.52,3.733,113895.8
2022-02-16,FIELD-003,446.8,662.0,61.97,3.748,30169.37
2022-02-16,FIELD-004,930.5,1170.8,64.77,3.761,64671.86
2022-02-17,FIELD-001,4383.6,3791.5,63.68,3.739,293324.07
2022-02-17,FIELD-002,1616.0,1443.8,65.42,3.755,111140.19
2022-02-17,FIELD-003,446.6,627.7,62.42,3.697,30197.38
2022-02-17,FIELD-004,1473.1,1854.8,64.1,3.795,101464.68
2022-02-18,FIELD-001,4446.5,3823.9,64.16,3.725,299531.47
2022-02-18,FIELD-002,1608.5,1470.3,65.74,3.681,111154.96
2022-02-18,FIELD-003,445.5,653.1,61.62,3.706,29872.1
2022-02-18,FIELD-004,1435.5,1898.2,64.12,3.701,99069.5
2022-02-19,FIELD-001,4282.0,3774.6,64.82,3.722,291608.3
2022-02-19,FIELD-002,2238.3,1915.1,65.06,3.718,152744.14
2022-02-19,FIELD-003,450.0,648.8,62.16,3.754,30407.6
2022-02-19,FIELD-004,1455.4,1839.3,64.71,3.748,101072.63
2022-02-20,FIELD-001,4249.2,3780.4,64.41,3.675,287583.94
2022-02-20,FIELD-002,2141.3,1825.5,65.93,3.722,147970.42
2022-02-20,FIELD-003,460.8,663.5,62.86,3.782,31475.24
2022-02-20,FIELD-004,1456.9,1907.2,63.75,3.672,99880.61
2022-02-21,FIELD-001,4226.3,3585.6,63.91,3.741,283516.56
2022-02-21,FIELD-002,1817.9,1516.9,64.79,3.737,123450.4
2022-02-21,FIELD-003,444.8,656.4,60.69,3.75,29456.41
2022-02-21,FIELD-004,1476.1,1910.9,64.32,3.727,102064.68
2022-02-22,FIELD-001,4423.2,3634.4,65.07,3.764,301497.51
2022-02-22,FIELD-002,2215.6,1762.5,65.26,3.782,151255.83
2022-02-22,FIELD-003,452.3,633.0,62.4,3.736,30588.41
2022-02-22,FIELD-004,1483.2,1865.9,64.2,3.738,102196.17
2022-02-23,FIELD-001,4188.8,3542.1,63.89,3.747,280894.68
2022-02-23,FIELD-002,1585.7,1483.2,64.7,3.735,108134.54
2022-02-23,FIELD-003,464.6,668.4,61.88,3.763,31264.64
2022-02-23,FIELD-004,1484.2,1891.8,63.81,3.735,101772.68
2022-02-24,FIELD-001,4553.0,3766.2,64.37,3.678,306928.69
2022-02-24,FIELD-002,1776.2,1620.5,66.26,3.786,123826.23
2022-02-24,FIELD-003,434.5,636.7,61.06,3.773,28932.84
2022-02-24,FIELD-004,1397.7,1865.1,65.69,3.73,98771.74
2022-02-25,FIELD-001,4153.7,3699.1,63.86,3.691,278908.66
2022-02-25,FIELD-002,1974.2,1741.3,64.9,3.691,134552.72
2022-02-25,FIELD-003,448.4,665.8,61.01,3.731,29840.98
2022-02-25,FIELD-004,1462.0,1859.7,63.37,3.737,99596.64
2022-02-26,FIELD-001,4376.7,3675.2,63.55,3.703,291748.55
2022-02-26,FIELD-002,2305.4,1891.1,64.7,3.73,156213.18
2022-02-26,FIELD-003,451.3,649.9,62.52,3.733,30641.35
2022-02-26,FIELD-004,1466.1,1882.4,63.76,3.777,100588.36
2022-02-27,FIELD-001,4390.1,3732.6,64.27,3.724,296051.93
2022-02-27,FIELD-002,2216.8,1945.8,65.43,3.688,152221.33
2022-02-27,FIELD-003,449.4,632.9,62.99,3.692,30644.37
2022-02-27,FIELD-004,1478.3,1911.4,64.41,3.715,102318.15
2022-02-28,FIELD-001,4329.1,3689.0,63.99,3.732,290786.46
2022-02-28,FIELD-002,1474.8,1265.8,66.12,3.7,102197.24
2022-02-28,FIELD-003,451.8,615.6,61.74,3.692,30166.93
2022-02-28,FIELD-004,1417.1,1817.6,64.63,3.721,98350.46
2022-03-01,FIELD-001,4230.3,3614.2,65.99,4.021,293690.2
2022-03-01,FIELD-002,2249.8,1899.7,67.54,4.002,159554.09
2022-03-01,FIELD-003,410.8,602.8,62.4,4.022,28058.38
2022-03-01,FIELD-004,1434.9,1855.7,65.21,4.098,101174.49
2022-03-02,FIELD-001,4425.2,3777.1,64.69,4.079,301672.98
2022-03-02,FIELD-002,2238.2,1898.6,66.07,4.044,155555.81
2022-03-02,FIELD-003,450.6,660.4,62.24,4.055,30723.27
2022-03-02,FIELD-004,1435.3,1872.3,65.7,4.064,101908.24
2022-03-03,FIELD-001,4290.1,3667.4,65.18,4.065,294536.7
2022-03-03,FIELD-002,2190.9,1907.3,66.76,4.058,154004.31
2022-03-03,FIELD-003,455.0,664.3,62.83,4.042,31272.75
2022-03-03,FIELD-004,1162.5,1519.7,65.02,4.066,81764.85
2022-03-04,FIELD-001,4159.1,3652.5,66.04,4.049,289455.94
2022-03-04,FIELD-002,848.5,698.5,66.33,4.095,59141.36
2022-03-04,FIELD-003,446.7,653.9,63.37,4.129,31007.33
2022-03-04,FIELD-004,1301.6,1685.8,65.7,4.063,92364.53
2022-03-05,FIELD-001,4234.9,3567.9,64.88,4.108,289417.25
2022-03-05,FIELD-002,1433.4,1208.7,67.2,4.012,101173.78
2022-03-05,FIELD-003,448.4,647.7,62.72,3.991,30708.62
2022-03-05,FIELD-004,1434.8,1875.6,65.88,4.052,102124.56
2022-03-06,FIELD-001,2528.4,2147.9,65.88,4.071,175315.09
2022-03-06,FIELD-002,2134.1,1839.0,67.33,4.07,151173.68
2022-03-06,FIELD-003,452.5,649.6,63.88,4.046,31533.98
2022-03-06,FIELD-004,1445.4,1921.4,66.96,4.097,104655.96
2022-03-07,FIELD-001,4471.8,3720.7,65.82,4.06,309439.92
2022-03-07,FIELD-002,1798.2,1482.0,67.08,4.075,126662.41
2022-03-07,FIELD-003,437.0,643.3,63.35,4.069,30301.54
2022-03-07,FIELD-004,1466.9,1894.0,65.98,4.056,104468.13
2022-03-08,FIELD-001,2937.5,2479.2,65.48,4.044,202373.38
2022-03-08,FIELD-002,2196.9,1888.4,66.99,4.062,154841.01
2022-03-08,FIELD-003,442.6,659.0,63.2,4.028,30626.77
2022-03-08,FIELD-004,1488.9,1927.5,65.77,4.049,105729.4
2022-03-09,FIELD-001,4473.4,3922.6,66.18,4.036,311881.23
2022-03-09,FIELD-002,2175.1,1923.8,66.67,4.028,152762.98
2022-03-09,FIELD-003,454.0,656.9,63.58,4.103,31560.58
2022-03-09,FIELD-004,1344.3,1705.5,65.26,4.116,94748.86
2022-03-10,FIELD-001,4387.8,3780.2,65.26,4.11,301884.45
2022-03-10,FIELD-002,2973.6,2454.4,66.84,4.043,208678.56
2022-03-10,FIELD-003,458.2,701.6,63.25,4.045,31819.12
2022-03-10,FIELD-004,1414.5,1848.4,65.51,4.121,100281.15
2022-03-11,FIELD-001,4233.0,3771.3,64.51,4.065,288401.16
2022-03-11,FIELD-002,2526.2,2082.4,66.78,3.989,177006.33
2022-03-11,FIELD-003,446.8,620.2,61.97,4.112,30238.46
2022-03-11,FIELD-004,1449.1,1850.2,66.57,3.994,103856.29
2022-03-12,FIELD-001,4414.2,3807.9,65.69,4.045,305371.75
2022-03-12,FIELD-002,2847.6,2348.8,67.31,4.012,201095.34
2022-03-12,FIELD-003,453.8,639.1,62.11,4.07,30786.66
2022-03-12,FIELD-004,1389.7,1789.7,65.77,4.035,98622.01
2022-03-13,FIELD-001,4304.7,3725.3,64.52,4.087,292964.55
2022-03-13,FIELD-002,2039.4,1694.8,66.94,4.054,143388.16
2022-03-13,FIELD-003,352.7,502.3,63.03,4.032,24255.95
2022-03-13,FIELD-004,1478.6,1967.1,65.37,4.025,104573.66
2022-03-14,FIELD-001,4253.5,3653.6,65.69,4.042,294180.27
2022-03-14,FIELD-002,2894.4,2369.6,65.75,4.054,199913.16
2022-03-14,FIELD-003,448.6,634.8,61.65,4.02,30208.09
2022-03-14,FIELD-004,1453.2,1833.3,65.93,4.018,103175.68
2022-03-15,FIELD-001,4146.4,3622.8,66.18,4.061,289120.94
2022-03-15,FIELD-002,2970.8,2453.4,66.91,4.017,208631.54
2022-03-15,FIELD-003,470.4,708.8,62.07,4.099,32103.1
2022-03-15,FIELD-004,1436.7,1854.8,65.26,4.08,101326.63
2022-03-16,FIELD-001,4219.4,3700.4,65.79,3.939,292170.2
2022-03-16,FIELD-002,2222.4,1834.0,67.41,4.011,157168.16
2022-03-16,FIELD-003,449.8,663.4,62.62,4.069,30865.85
2022-03-16,FIELD-004,1091.3,1475.0,65.14,4.045,77053.66
2022-03-17,FIELD-001,4376.5,3666.4,65.88,4.049,303169.07
2022-03-17,FIELD-002,2977.2,2444.8,65.34,4.032,204387.68
2022-03-17,FIELD-003,438.0,638.0,62.65,4.063,30032.89
2022-03-17,FIELD-004,1347.1,1722.2,64.8,4.044,94256.66
2022-03-18,FIELD-001,4239.9,3720.0,65.4,3.995,292150.86
2022-03-18,FIELD-002,2871.9,2399.3,67.08,4.036,202330.63
2022-03-18,FIELD-003,459.1,674.2,63.2,4.002,31713.27
2022-03-18,FIELD-004,1450.6,1899.2,65.49,4.04,102672.56
2022-03-19,FIELD-001,3973.3,3337.2,64.06,4.025,267961.83
2022-03-19,FIELD-002,2872.5,2398.9,65.76,4.041,198589.55
2022-03-19,FIELD-003,438.1,656.7,63.57,4.055,30512.94
2022-03-19,FIELD-004,1442.5,1864.4,66.03,4.008,102720.79
2022-03-20,FIELD-001,4133.4,3575.0,64.79,4.062,282324.64
2022-03-20,FIELD-002,2940.0,2414.1,66.7,4.047,205867.86
2022-03-20,FIELD-003,435.4,649.7,62.63,4.048,29899.09
2022-03-20,FIELD-004,1431.5,1857.0,66.49,4.066,102731.0
2022-03-21,FIELD-001,4259.3,3723.2,66.95,4.007,300079.0
2022-03-21,FIELD-002,2869.0,2400.8,66.52,4.027,200513.9
2022-03-21,FIELD-003,435.8,622.2,63.31,4.038,30102.94
2022-03-21,FIELD-004,1418.5,1892.7,65.46,4.028,100478.81
2022-03-22,FIELD-001,1695.2,1461.9,64.74,4.035,115646.01
2022-03-22,FIELD-002,2704.4,2397.7,67.05,4.062,191069.48
2022-03-22,FIELD-003,443.4,635.0,62.95,3.975,30436.16
2022-03-22,FIELD-004,1445.5,1883.5,66.19,4.042,103290.75
2022-03-23,FIELD-001,1710.6,1446.6,65.67,4.009,118134.52
2022-03-23,FIELD-002,2827.7,2344.7,67.18,4.053,199467.96
2022-03-23,FIELD-003,388.7,566.8,62.42,4.041,26553.09
2022-03-23,FIELD-004,1480.6,1902.5,65.56,4.046,104765.65
2022-03-24,FIELD-001,1731.0,1493.8,65.39,3.962,119108.53
2022-03-24,FIELD-002,2875.5,2353.3,66.69,4.107,201432.1
2022-03-24,FIELD-003,444.4,610.4,62.71,3.996,30307.48
2022-03-24,FIELD-004,1257.8,1713.3,65.56,4.083,89456.77
2022-03-25,FIELD-001,3750.2,3140.5,65.49,4.018,258219.13
2022-03-25,FIELD-002,2893.6,2343.4,66.9,4.027,203018.71
2022-03-25,FIELD-003,445.6,669.2,62.96,4.042,30759.88
2022-03-25,FIELD-004,1045.5,1517.7,65.26,4.013,74319.86
2022-03-26,FIELD-001,4082.4,3485.9,64.64,4.058,278032.12
2022-03-26,FIELD-002,2853.4,2362.1,66.47,3.952,199000.52
2022-03-26,FIELD-003,455.4,672.5,63.39,4.042,31586.05
2022-03-26,FIELD-004,1107.0,1622.8,65.17,4.026,78676.58
2022-03-27,FIELD-001,3760.7,3323.4,65.84,4.06,261097.49
2022-03-27,FIELD-002,1147.1,930.2,67.18,4.013,80795.07
2022-03-27,FIELD-003,400.7,594.9,63.58,4.088,27908.46
2022-03-27,FIELD-004,1356.6,1833.1,65.19,4.118,95985.46
2022-03-28,FIELD-001,4359.0,3784.8,65.43,4.044,300515.1
2022-03-28,FIELD-002,1203.9,977.7,65.69,4.024,83018.46
2022-03-28,FIELD-003,455.8,653.5,64.4,4.11,32039.41
2022-03-28,FIELD-004,1429.8,1825.8,64.82,3.99,99964.58
2022-03-29,FIELD-001,3549.2,3061.8,64.63,4.095,241922.87
2022-03-29,FIELD-002,1100.5,905.8,66.07,3.986,76320.55
2022-03-29,FIELD-003,300.1,435.9,62.34,4.08,20486.71
2022-03-29,FIELD-004,1407.2,1819.4,65.02,3.989,98753.73
2022-03-30,FIELD-001,3645.8,3067.6,64.66,4.107,248336.06
2022-03-30,FIELD-002,1189.5,942.9,66.15,4.054,82507.94
2022-03-30,FIELD-003,446.7,656.8,62.89,4.042,30747.75
2022-03-30,FIELD-004,1449.5,1896.9,65.49,4.0,102515.36
2022-03-31,FIELD-001,4153.3,3641.3,66.01,4.079,289012.2
2022-03-31,FIELD-002,2772.1,2267.9,67.24,4.114,195726.14
2022-03-31,FIELD-003,433.1,620.0,62.2,4.023,29433.08
2022-03-31,FIELD-004,1491.7,1918.3,66.3,4.051,106670.74
2022-04-01,FIELD-001,4320.7,3668.9,74.3,3.832,335087.23
2022-04-01,FIELD-002,2855.9,2458.2,75.39,3.762,224554.05
2022-04-01,FIELD-003,442.9,668.4,71.78,3.756,34301.87
2022-04-01,FIELD-004,1430.8,1828.6,74.97,3.75,114124.33
2022-04-02,FIELD-001,4226.7,3566.9,74.58,3.743,328578.19
2022-04-02,FIELD-002,2646.0,2068.1,74.98,3.786,206226.91
2022-04-02,FIELD-003,453.4,685.1,71.37,3.754,34931.02
2022-04-02,FIELD-004,1412.1,1764.6,74.61,3.71,111903.45
2022-04-03,FIELD-001,4284.7,3672.9,74.25,3.721,331805.84
2022-04-03,FIELD-002,2888.8,2321.3,76.19,3.774,228858.26
2022-04-03,FIELD-003,388.9,561.8,72.65,3.684,30323.26
2022-04-03,FIELD-004,1081.2,1306.8,75.0,3.653,85863.74
2022-04-04,FIELD-001,3293.5,3045.8,74.6,3.736,257074.21
2022-04-04,FIELD-002,2834.2,2355.5,75.42,3.743,222572.0
2022-04-04,FIELD-003,458.8,672.4,72.37,3.739,35717.46
2022-04-04,FIELD-004,1456.0,1911.3,75.3,3.737,116779.33
2022-04-05,FIELD-001,4203.1,3694.0,74.2,3.786,325855.5
2022-04-05,FIELD-002,2688.9,2191.6,75.2,3.729,210377.76
2022-04-05,FIELD-003,444.8,672.0,72.42,3.716,34709.57
2022-04-05,FIELD-004,1417.4,1852.6,75.15,3.714,113398.17
2022-04-06,FIELD-001,3770.5,3374.4,73.62,3.735,290187.59
