date,well_id,operating_hours,downtime_hours,oil_production_bbl,gas_production_mcf,water_production_bbl,pressure_psi,temperature_c,water_cut_pct,potential_production_bbl,dq_flag
2022-02-01,WELL-0001,24.0,0.0,40.3,62.8,54.3,2352.7,75.6,57.4,40.3,
2022-02-02,WELL-0001,10.35,13.65,16.9,25.9,24.0,2383.1,72.6,58.68,41.7,
2022-02-03,WELL-0001,24.0,0.0,36.4,59.9,52.6,2284.5,73.4,59.1,40.0,
2022-02-04,WELL-0001,24.0,0.0,36.6,52.4,47.8,2318.7,73.2,56.64,39.3,
2022-02-05,WELL-0001,24.0,0.0,37.5,54.7,53.4,2374.9,73.2,58.75,39.1,
2022-02-06,WELL-0001,24.0,0.0,40.1,59.3,55.4,2338.2,72.1,58.01,40.1,
2022-02-07,WELL-0001,24.0,0.0,40.8,62.1,60.6,2361.4,73.9,59.76,41.7,
2022-02-08,WELL-0001,24.0,0.0,39.7,62.0,55.6,2328.4,72.0,58.34,40.0,
2022-02-09,WELL-0001,24.0,0.0,39.4,59.4,57.4,2406.0,73.2,59.3,40.3,
2022-02-10,WELL-0001,24.0,0.0,39.0,62.4,54.7,2311.7,76.3,58.38,39.7,
2022-02-11,WELL-0001,17.56,6.44,30.8,46.1,44.6,2410.6,72.3,59.15,42.3,
2022-02-12,WELL-0001,24.0,0.0,41.4,61.9,57.9,2365.8,73.6,58.31,41.4,
2022-02-13,WELL-0001,24.0,0.0,40.0,61.6,58.7,2345.2,74.0,59.47,42.3,
2022-02-14,WELL-0001,24.0,0.0,40.7,59.3,59.0,2358.2,73.3,59.18,40.7,
2022-02-15,WELL-0001,24.0,0.0,38.2,55.0,54.0,2375.8,71.7,58.57,39.2,
2022-02-16,WELL-0001,20.86,3.14,34.6,52.0,48.0,2332.1,74.6,58.11,41.0,oil_imputed
2022-02-17,WELL-0001,24.0,0.0,40.2,59.1,55.0,2317.1,72.1,57.77,40.2,
2022-02-18,WELL-0001,24.0,0.0,39.1,62.9,55.4,2358.5,72.3,58.62,40.6,
2022-02-19,WELL-0001,24.0,0.0,38.5,57.5,54.5,2334.6,72.8,58.6,41.0,
2022-02-20,WELL-0001,24.0,0.0,41.0,62.4,57.2,2379.5,76.6,58.25,41.0,
2022-02-21,WELL-0001,24.0,0.0,38.8,59.3,56.6,2345.2,73.5,59.33,40.0,
2022-02-22,WELL-0001,24.0,0.0,39.7,62.5,55.2,2380.1,71.6,58.17,40.7,
2022-02-23,WELL-0001,24.0,0.0,39.8,60.3,57.3,2419.8,72.3,59.01,41.8,
2022-02-24,WELL-0001,24.0,0.0,39.1,61.0,53.3,2340.3,73.5,57.68,39.1,
2022-02-25,WELL-0001,24.0,0.0,38.5,60.5,51.2,2289.4,72.7,57.08,39.8,
2022-02-26,WELL-0001,24.0,0.0,39.4,54.4,56.7,2331.3,73.4,59.0,40.2,
2022-02-27,WELL-0001,24.0,0.0,38.3,60.3,51.8,2449.0,72.2,57.49,42.2,
2022-02-28,WELL-0001,24.0,0.0,38.1,55.4,56.8,2324.0,72.4,59.85,39.4,
2022-03-01,WELL-0001,24.0,0.0,41.8,67.5,61.7,2464.4,73.3,59.61,41.8,
2022-03-02,WELL-0001,24.0,0.0,39.8,65.5,59.8,2457.2,72.9,60.04,39.8,
2022-03-03,WELL-0001,24.0,0.0,38.6,61.0,56.3,2416.1,72.3,59.33,41.0,
2022-03-04,WELL-0001,24.0,0.0,37.1,56.9,53.7,2309.2,73.7,59.14,38.8,
2022-03-05,WELL-0001,24.0,0.0,37.9,60.4,49.8,2313.5,74.4,56.78,38.3,
2022-03-06,WELL-0001,14.2,9.8,23.0,35.5,32.3,2345.1,72.5,58.41,40.0,
2022-03-07,WELL-0001,24.0,0.0,36.9,57.3,54.2,2312.4,73.4,59.5,39.7,
2022-03-08,WELL-0001,16.82,7.18,28.4,45.9,41.3,2281.0,72.2,59.25,42.0,
2022-03-09,WELL-0001,24.0,0.0,40.1289878,61.3,53.8,2397.9,72.4,57.29,41.7,
2022-03-10,WELL-0001,24.0,0.0,38.0,63.5,50.2,2329.1,70.3,56.92,40.9,
2022-03-11,WELL-0001,24.0,0.0,38.0,53.9,50.4,2403.2,74.2,57.01,38.0,
2022-03-12,WELL-0001,24.0,0.0,38.1,56.5,54.4,2321.8,73.9,58.81,40.6,
2022-03-13,WELL-0001,24.0,0.0,40.5,62.9,57.7,2431.4,72.4,58.76,40.5,
2022-03-14,WELL-0001,24.0,0.0,40.1,60.6,58.5,2315.6,70.8,59.33,40.1,
2022-03-15,WELL-0001,24.0,0.0,40.0,69.2,57.3,2352.7,73.4,58.89,40.8,
2022-03-16,WELL-0001,24.0,0.0,40.3,62.1,61.0,2347.8,72.9,60.22,40.8,
2022-03-17,WELL-0001,24.0,0.0,37.9,54.9,53.3,2305.7,72.6,58.44,39.8,
2022-03-18,WELL-0001,24.0,0.0,40.4,70.1,59.8,2388.0,72.3,59.68,41.7,
2022-03-19,WELL-0001,19.64,4.36,31.5,49.2,48.9,2419.9,72.4,60.82,40.7,
2022-03-20,WELL-0001,24.0,0.0,40.2,67.0,54.9,2250.2,73.8,57.73,40.6,
2022-03-21,WELL-0001,24.0,0.0,41.0,64.7,57.7,2402.5,75.1,58.46,41.0,
2022-03-22,WELL-0001,9.6,14.4,15.2,23.9,19.9,2350.8,72.3,56.7,39.9,
2022-03-23,WELL-0001,9.6,14.4,16.5,26.2,23.7,2366.8,74.0,58.96,41.3,pressure_psi_imputed
2022-03-24,WELL-0001,9.6,14.4,14.9,23.8,20.6,2382.8,73.6,58.03,39.8,
2022-03-25,WELL-0001,21.08,2.92,33.6,50.7,50.0,2378.6,75.1,59.81,41.4,
2022-03-26,WELL-0001,24.0,0.0,40.9,59.3,56.7,2338.2,72.3,58.09,41.9,
2022-03-28,WELL-0001,24.0,0.0,35.7,55.9,49.7,2317.2,75.2,58.2,39.6,
2022-03-29,WELL-0001,19.99,4.01,31.8,46.5,47.2,2400.1,73.5,59.75,39.1,
2022-03-30,WELL-0001,2.55,21.45,3.9,6.1,5.3,2326.2,74.8,57.61,37.5,
2022-03-31,WELL-0001,24.0,0.0,39.5,61.1,55.4,2344.9,72.8,58.38,40.8,
2022-04-01,WELL-0001,24.0,0.0,37.6,56.5,51.0,2324.0,73.3,57.56,38.9,
2022-04-02,WELL-0001,24.0,0.0,40.9,60.1,59.7,2341.0,72.4,59.34,40.9,
2022-04-03,WELL-0001,24.0,0.0,36.6,55.3,55.6,2352.7,70.1,60.3,36.6,
2022-04-04,WELL-0001,24.0,0.0,41.6,63.3,55.5,2321.1,71.0,57.16,41.7,
2022-04-05,WELL-0001,24.0,0.0,37.3,62.4,54.1,2420.2,74.3,59.19,37.3,
2022-04-06,WELL-0001,24.0,0.0,39.7,58.1,57.2,2394.0,73.0,59.03,40.9,
2022-04-07,WELL-0001,24.0,0.0,38.7,62.8,53.1,2390.8,71.6,57.84,40.3,
2022-04-08,WELL-0001,24.0,0.0,35.2,52.3,52.8,2355.5,72.3,60.0,39.6,
2022-04-09,WELL-0001,24.0,0.0,39.9,66.3,59.4,2284.3,74.8,59.82,40.0,
2022-04-10,WELL-0001,24.0,0.0,39.0,59.3,60.1,2409.6,73.4,60.65,39.0,
2022-04-11,WELL-0001,24.0,0.0,39.3,59.4,57.2,2357.2,75.5,59.27,39.5,
2022-04-12,WELL-0001,24.0,0.0,37.8,62.1,56.2,2404.8,73.7,59.79,40.8,
2022-04-13,WELL-0001,24.0,0.0,35.5,56.5,51.7,2302.5,74.3,59.29,39.2,
2022-04-14,WELL-0001,24.0,0.0,40.0,72.8,60.6,2279.2,74.2,60.24,40.2,
2022-04-15,WELL-0001,24.0,0.0,38.8,60.1,55.7,2327.2,74.9,58.94,38.9,
2022-04-16,WELL-0001,24.0,0.0,37.3,61.0,57.6,2286.0,73.7,60.7,40.0,
2022-04-17,WELL-0001,24.0,0.0,38.6,64.2,54.0,2314.3,72.5,58.32,40.1,
2022-04-18,WELL-0001,24.0,0.0,37.2,59.2,52.3,2294.3,73.1,58.44,40.3,
2022-04-19,WELL-0001,24.0,0.0,36.8,58.9,57.6,2400.8,75.1,61.02,40.2,
2022-04-20,WELL-0001,24.0,0.0,39.0,56.9,55.3,2312.0,74.1,58.64,39.0,
2022-04-21,WELL-0001,24.0,0.0,39.5,58.8,55.2,2318.4,71.3,58.29,40.4,
2022-04-22,WELL-0001,24.0,0.0,37.9,59.4,54.7,2360.9,73.9,59.07,39.1,
2022-04-23,WELL-0001,24.0,0.0,36.2,59.2,54.8,2387.4,72.5,60.22,38.9,
2022-04-24,WELL-0001,24.0,0.0,38.1,53.5,51.6,2323.4,73.4,57.53,40.1,
2022-04-25,WELL-0001,24.0,0.0,38.9,59.3,57.9,2320.0,73.8,59.81,39.6,
2022-04-26,WELL-0001,18.14,5.86,30.2,45.5,44.7,2308.3,73.1,59.68,39.9,
2022-04-27,WELL-0001,24.0,0.0,38.8,57.3,53.0,2258.5,73.2,57.73,40.5,
2022-04-28,WELL-0001,24.0,0.0,38.1,62.2,53.5,2330.2,75.3,58.41,39.0,
2022-04-29,WELL-0001,24.0,0.0,35.2,56.3,48.4,2316.7,74.6,57.89,36.2,
2022-04-30,WELL-0001,24.0,0.0,40.1,64.4,56.1,2300.0,74.1,58.32,41.7,
2022-05-01,WELL-0001,24.0,0.0,37.7,63.0,52.7,2358.8,72.5,58.3,38.7,
2022-05-02,WELL-0001,24.0,0.0,36.2,59.5,53.7,2295.3,74.8,59.73,37.1,
2022-05-03,WELL-0001,24.0,0.0,37.4,56.2,52.0,2290.3,74.7,58.17,38.8,
2022-05-04,WELL-0001,24.0,0.0,38.2,62.7,54.9,2325.0,72.9,58.97,39.5,
2022-05-05,WELL-0001,24.0,0.0,38.6,59.6,56.3,2267.4,74.7,59.33,39.2,
2022-05-06,WELL-0001,24.0,0.0,39.4,64.0,56.7,2316.8,72.9,59.0,39.4,
2022-05-07,WELL-0001,24.0,0.0,34.6,52.7,51.4,2330.3,72.4,59.77,37.0,
2022-05-08,WELL-0001,10.91,13.09,16.9,26.7,22.8,2420.6,72.1,57.43,38.9,
2022-05-09,WELL-0001,24.0,0.0,38.2,59.0,54.7,2386.3,74.4,58.88,38.7,
2022-05-10,WELL-0001,24.0,0.0,36.4,57.5,54.4,2419.2,73.1,59.91,36.4,
2022-05-11,WELL-0001,19.07,4.93,28.4,44.3,38.5,2332.7,73.2,57.55,37.5,
2022-05-12,WELL-0001,24.0,0.0,38.1,56.0,59.1,2360.3,75.1,60.8,38.1,
2022-05-13,WELL-0001,9.6,14.4,13.7,22.0,20.1,2370.8,72.2,59.47,36.1,
2022-05-14,WELL-0001,23.87,0.13,38.5,60.8,57.5,2343.3,72.8,59.9,40.0,
2022-05-15,WELL-0001,24.0,0.0,38.3,56.3,57.7,2313.8,74.3,60.1,38.3,
2022-05-16,WELL-0001,24.0,0.0,37.2,57.7,56.4,2412.8,71.9,60.26,40.6,
2022-05-17,WELL-0001,24.0,0.0,33.8,53.4,51.6,2368.6,71.3,60.42,36.2,
2022-05-18,WELL-0001,16.69,7.31,26.9,38.5,39.9,2338.5,71.2,59.73,40.2,
2022-05-19,WELL-0001,24.0,0.0,35.4,54.9,50.7,2312.1,73.8,58.89,35.4,
2022-05-20,WELL-0001,24.0,0.0,37.5,52.9,53.0,2283.1,72.7,58.56,38.3,
2022-05-21,WELL-0001,24.0,0.0,38.9,57.5,53.5,2335.6,72.1,57.9,40.8,
2022-05-22,WELL-0001,24.0,0.0,35.1,54.6,53.0,2329.9,73.5,60.16,38.7,
2022-05-23,WELL-0001,24.0,0.0,39.6,61.5,55.5,2361.9,72.5,58.36,40.3,
2022-05-24,WELL-0001,24.0,0.0,35.9,54.9,53.3,2350.8,72.8,59.75,39.5,
2022-05-25,WELL-0001,24.0,0.0,35.8,52.3,49.8,2385.5,73.0,58.18,37.8,
2022-05-26,WELL-0001,24.0,0.0,35.1,60.2,51.9,2256.9,69.6,59.66,38.7,
2022-05-27,WELL-0001,24.0,0.0,37.5,56.0,52.5,2298.1,74.0,58.33,37.8,
2022-05-28,WELL-0001,21.3,2.7,31.9,49.1,43.6,2249.4,73.0,57.75,38.5,
2022-05-29,WELL-0001,24.0,0.0,39.2,56.5,54.4,2382.5,73.7,58.12,40.2,
2022-05-30,WELL-0001,24.0,0.0,36.4,55.9,49.5,2384.0,72.9,57.63,38.8,
2022-05-31,WELL-0001,24.0,0.0,37.5,63.8,53.7,2330.3,74.6,58.88,38.6,
2022-06-01,WELL-0001,24.0,0.0,36.6,58.0,50.6,2272.9,73.2,58.03,38.6,
2022-06-02,WELL-0001,20.05,3.95,32.7,49.5,51.0,2408.7,72.8,60.93,39.5,
2022-06-03,WELL-0001,24.0,0.0,35.3,54.5,55.4,2345.2,73.0,61.08,37.4,
2022-06-04,WELL-0001,24.0,0.0,36.5,58.4,50.7,2313.3,72.6,58.14,38.6,
2022-06-05,WELL-0001,24.0,0.0,37.3,61.2,49.1,2378.5,72.7,56.83,38.7,
2022-06-06,WELL-0001,24.0,0.0,37.4,59.0,54.4,2311.1,72.2,59.26,40.3,
2022-06-07,WELL-0001,20.54,3.46,31.5,54.5,46.6,2335.4,74.6,59.67,38.2,
2022-06-08,WELL-0001,17.92,6.08,29.3,44.6,43.5,2423.6,71.7,59.75,39.8,
2022-06-09,WELL-0001,24.0,0.0,36.8,58.9,51.2,2361.3,73.0,58.18,37.2,
2022-06-10,WELL-0001,24.0,0.0,37.0,58.7,51.6,2320.3,73.0,58.24,38.9,
2022-06-11,WELL-0001,24.0,0.0,34.6,54.6,49.5,2307.0,73.2,58.86,36.6,
2022-06-12,WELL-0001,24.0,0.0,35.8,60.0,51.2,2309.6,74.0,58.85,37.8,
2022-06-13,WELL-0001,24.0,0.0,37.7,64.2,51.8,2311.9,74.1,57.88,38.0,
2022-06-14,WELL-0001,24.0,0.0,38.3,60.7,54.4,2341.3,74.4,58.68,38.9,
2022-06-15,WELL-0001,24.0,0.0,38.4,58.7,55.5,2367.2,73.2,59.11,39.0,
2022-06-16,WELL-0001,14.68,9.32,22.6,36.8,31.4,2316.0,73.4,58.15,39.5,
2022-06-17,WELL-0001,24.0,0.0,36.0,54.1,52.2,2306.0,73.9,59.18,38.3,
2022-06-18,WELL-0001,24.0,0.0,35.7,57.3,56.9,2311.3,74.2,61.45,37.9,
2022-06-19,WELL-0001,24.0,0.0,35.3,49.7,52.9,2386.0,72.1,59.98,37.5,
2022-06-20,WELL-0001,24.0,0.0,40.2,65.5,56.0,2296.6,73.3,58.21,40.2,
2022-06-21,WELL-0001,24.0,0.0,37.3,59.4,52.5,2386.3,73.1,58.46,37.7,
2022-06-22,WELL-0001,24.0,0.0,34.5,53.4,48.4,2438.0,71.7,58.38,37.0,
2022-06-23,WELL-0001,24.0,0.0,34.7,54.4,48.9,2310.0,72.4,58.49,37.5,
2022-06-24,WELL-0001,24.0,0.0,33.5,58.0,47.1,2364.4,75.6,58.44,36.4,
2022-06-25,WELL-0001,24.0,0.0,35.4,50.9,52.2,2278.7,72.6,59.59,38.0,
2022-06-26,WELL-0001,24.0,0.0,37.6,56.3,49.9,2372.3,74.0,57.03,38.2,
2022-06-27,WELL-0001,24.0,0.0,39.4,59.0,56.4,2354.9,72.3,58.87,39.4,
2022-06-28,WELL-0001,17.69,6.31,27.0,42.0,38.9,2259.4,74.7,59.03,37.0,
2022-06-29,WELL-0001,24.0,0.0,37.5,53.7,53.4,2362.0,74.4,58.75,38.9,
2022-06-30,WELL-0001,24.0,0.0,36.8,56.4,53.8,2289.6,72.4,59.38,38.0,
2022-07-01,WELL-0001,24.0,0.0,36.5,52.3,55.9,2353.4,70.9,60.5,38.4,
2022-07-02,WELL-0001,24.0,0.0,35.6,58.0,51.5,2373.9,73.1,59.13,38.2,
2022-07-03,WELL-0001,24.0,0.0,38.1,59.0,58.7,2345.7,74.2,60.64,38.1,
2022-07-04,WELL-0001,24.0,0.0,33.7,55.6,50.3,2363.6,70.7,59.88,35.4,
2022-07-05,WELL-0001,24.0,0.0,37.5,59.8,55.6,2384.7,73.3,59.72,39.7,
2022-07-06,WELL-0001,24.0,0.0,37.6,58.5,57.9,2480.4,72.8,60.63,40.2,
2022-07-07,WELL-0001,24.0,0.0,34.5,55.9,47.2,2246.9,72.4,57.77,35.8,
2022-07-08,WELL-0001,24.0,0.0,39.7,63.7,57.4,2279.6,72.5,59.11,39.8,
2022-07-09,WELL-0001,24.0,0.0,35.4,56.2,52.6,2339.3,73.0,59.77,37.8,
2022-07-10,WELL-0001,24.0,0.0,38.2,59.7,55.3,2292.8,72.7,59.14,38.2,
2022-07-11,WELL-0001,24.0,0.0,38.8,66.9,60.2,2376.1,71.9,60.81,38.8,
2022-07-12,WELL-0001,24.0,0.0,35.6,56.7,52.5,2286.9,71.9,59.59,36.5,
2022-07-13,WELL-0001,24.0,0.0,36.9,54.3,53.9,2311.1,73.2,59.36,37.4,
2022-07-14,WELL-0001,24.0,0.0,36.9,58.7,51.8,2351.3,74.4,58.4,37.7,
2022-07-15,WELL-0001,21.12,2.88,34.5,51.9,54.2,2382.0,74.9,61.1,39.9,
2022-07-16,WELL-0001,24.0,0.0,37.1,57.9,55.2,2372.6,72.8,59.8,37.9,
2022-07-17,WELL-0001,14.4,9.6,21.3,35.2,31.0,2248.5,73.1,59.27,37.7,
2022-07-18,WELL-0001,24.0,0.0,34.0,51.5,46.3,2355.7,71.0,57.66,36.7,
2022-07-19,WELL-0001,24.0,0.0,36.7,56.7,56.5,2357.3,72.0,60.62,38.1,
2022-07-20,WELL-0001,24.0,0.0,36.3,54.7,55.2,2331.8,73.5,60.33,39.0,
2022-07-21,WELL-0001,24.0,0.0,37.2,59.3,52.6,2298.4,71.4,58.57,37.4,
2022-07-22,WELL-0001,24.0,0.0,36.0,53.2,54.7,2219.3,74.1,60.31,38.1,
2022-07-23,WELL-0001,19.58,4.42,29.1,44.5,46.5,2351.7,71.2,61.51,36.5,
2022-07-24,WELL-0001,24.0,0.0,35.1,53.4,46.4,2275.0,75.1,56.93,39.1,
2022-07-25,WELL-0001,24.0,0.0,36.1,51.3,49.5,2291.3,73.9,57.83,37.8,
2022-07-26,WELL-0001,24.0,0.0,33.7,50.1,46.5,2321.1,72.3,57.98,36.9,
2022-07-27,WELL-0001,24.0,0.0,34.8,55.2,51.2,2342.8,75.4,59.53,37.3,
2022-07-28,WELL-0001,24.0,0.0,37.6,68.5,53.9,2347.1,73.0,58.91,37.9,
2022-07-29,WELL-0001,24.0,0.0,35.2,53.7,47.8,2315.9,73.4,57.59,36.5,
2022-07-30,WELL-0001,24.0,0.0,36.9,58.6,54.1,2288.6,72.5,59.45,37.3,
2022-07-31,WELL-0001,24.0,0.0,37.1,58.0,53.3,2429.7,73.2,58.96,38.2,
2022-08-01,WELL-0001,24.0,0.0,36.2,59.7,53.0,2319.7,72.4,59.42,37.8,
2022-08-02,WELL-0001,24.0,0.0,35.1,57.5,50.4,2400.4,72.8,58.95,37.2,
2022-08-03,WELL-0001,24.0,0.0,36.5,57.5,50.4,2265.7,75.8,58.0,38.1,
2022-08-04,WELL-0001,24.0,0.0,36.0,53.9,55.2,2326.4,71.5,60.53,37.7,
2022-08-05,WELL-0001,24.0,0.0,37.9,58.4,57.3,2370.1,75.0,60.19,38.7,
2022-08-06,WELL-0001,24.0,0.0,35.6,53.6,56.0,2369.3,72.4,61.14,37.3,
2022-08-08,WELL-0001,17.31,6.69,25.5,37.4,35.9,2294.6,73.9,58.47,36.4,
2022-08-09,WELL-0001,24.0,0.0,35.2,55.0,52.1,2338.3,72.2,59.68,36.2,
2022-08-10,WELL-0001,24.0,0.0,36.2,60.2,51.7,2203.3,72.9,58.82,37.4,
2022-08-11,WELL-0001,24.0,0.0,39.0,58.1,59.9,2273.9,74.7,60.57,39.4,
2022-08-12,WELL-0001,24.0,0.0,37.0,61.1,55.6,2301.1,71.7,60.04,37.0,
2022-08-13,WELL-0001,24.0,0.0,36.1,53.6,54.4,2328.5,72.9,60.11,36.8,
2022-08-14,WELL-0001,24.0,0.0,38.3,56.1,55.6,2327.0,73.7,59.21,38.3,
2022-08-15,WELL-0001,24.0,0.0,36.7,58.5,54.3,2278.6,72.9,59.67,38.6,
2022-08-16,WELL-0001,24.0,0.0,36.2,54.2,52.1,2338.6,71.6,59.0,37.3,
2022-08-17,WELL-0001,24.0,0.0,35.2,49.9,51.7,2289.1,72.7,59.49,37.2,
2022-08-18,WELL-0001,24.0,0.0,35.5,56.4,49.7,2388.0,74.8,58.33,38.1,
2022-08-19,WELL-0001,24.0,0.0,35.4,56.0,50.8,2372.4,75.4,58.93,37.3,
2022-08-20,WELL-0001,24.0,0.0,39.4,68.4,61.5,2268.2,74.1,60.95,39.5,
2022-08-21,WELL-0001,24.0,0.0,35.6,56.7,53.3,2313.7,74.6,59.96,37.0,
2022-08-22,WELL-0001,24.0,0.0,36.6,52.0,50.6,2311.0,70.2,58.03,37.2,
2022-08-23,WELL-0001,24.0,0.0,35.3,56.0,47.9,2259.5,70.2,57.57,36.4,
2022-08-24,WELL-0001,19.87,4.13,28.7,40.6,46.8,2271.8,72.5,61.99,35.1,
2022-08-25,WELL-0001,24.0,0.0,35.6,55.4,56.2,2401.9,74.5,61.22,36.1,
2022-08-26,WELL-0001,24.0,0.0,34.6,56.0,50.8,2333.5,74.3,59.48,36.2,
2022-08-27,WELL-0001,9.6,14.4,14.1,20.9,21.5,2330.7,72.1,60.39,35.2,
2022-08-28,WELL-0001,19.37,4.63,28.6,42.5,39.5,2353.2,74.2,58.0,37.2,
2022-08-29,WELL-0001,24.0,0.0,33.4,56.6,47.9,2380.6,73.8,58.92,35.5,
2022-08-30,WELL-0001,24.0,0.0,34.7,52.3,46.9,2350.3,72.8,57.48,35.7,
2022-08-31,WELL-0001,24.0,0.0,37.9,62.2,57.6,2356.9,73.8,60.31,38.8,
2022-09-01,WELL-0001,24.0,0.0,38.2,56.8,55.0,2340.9,70.6,59.01,38.2,
2022-09-02,WELL-0001,24.0,0.0,36.1,51.8,55.4,2326.2,74.8,60.55,36.9,
2022-09-03,WELL-0001,24.0,0.0,35.4,60.8,55.8,2356.5,71.7,61.18,37.4,
2022-09-04,WELL-0001,24.0,0.0,32.5,52.6,47.3,2302.8,70.4,59.27,34.1,
2022-09-05,WELL-0001,24.0,0.0,34.1,52.1,48.9,2289.7,72.0,58.92,36.5,
2022-09-06,WELL-0001,24.0,0.0,32.2,51.1,50.9,2301.3,75.4,61.25,35.0,
2022-09-07,WELL-0001,24.0,0.0,36.4,52.0,53.5,2298.4,71.2,59.51,38.2,
2022-09-08,WELL-0001,19.12,4.88,29.3,43.5,45.5,2302.8,74.5,60.83,37.2,
2022-09-09,WELL-0001,24.0,0.0,36.8,56.3,53.8,2319.0,73.7,59.38,36.8,
2022-09-10,WELL-0001,24.0,0.0,35.5,53.2,50.8,2331.3,72.7,58.86,36.6,
2022-09-11,WELL-0001,24.0,0.0,32.1,50.2,46.4,2379.7,73.4,59.11,34.7,
2022-09-12,WELL-0001,24.0,0.0,37.8,57.0,55.1,2357.1,72.8,59.31,37.8,
2022-09-13,WELL-0001,24.0,0.0,37.7,57.6,59.9,2456.1,71.1,61.37,37.7,
2022-09-14,WELL-0001,24.0,0.0,36.7,57.0,52.9,2294.3,73.6,59.04,37.1,
2022-09-15,WELL-0001,20.06,3.94,32.0,48.5,47.9,2330.0,73.7,59.95,38.3,
2022-09-16,WELL-0001,24.0,0.0,35.2,55.7,56.4,2352.2,72.0,61.57,35.2,
2022-09-17,WELL-0001,20.35,3.65,30.8,47.9,49.1,2329.4,74.5,61.45,36.4,
2022-09-18,WELL-0001,24.0,0.0,34.3,57.8,53.0,2351.0,71.5,60.71,34.5,
2022-09-19,WELL-0001,21.85,2.15,33.6,50.4,53.5,2323.9,72.8,61.42,37.5,
2022-09-20,WELL-0001,24.0,0.0,35.8,51.0,50.6,2336.1,72.7,58.56,37.5,
2022-09-21,WELL-0001,24.0,0.0,36.8,53.1,60.1,2347.0,72.0,62.02,36.8,
2022-09-22,WELL-0001,14.52,9.48,21.7,32.5,33.4,2330.0,72.1,60.62,36.5,
2022-09-23,WELL-0001,24.0,0.0,33.7,56.1,52.1,2357.0,73.9,60.72,36.0,
2022-09-24,WELL-0001,24.0,0.0,36.9,61.4,52.7,2300.1,72.7,58.82,36.9,
