po_id,order_date,material_id,supplier_id,warehouse_id,quantity,quoted_lead_time_days,promised_date,received_date,unit_cost,status
PO-000037,2022-02-07,MAT-024,SUP-005,WH-004,22,12,2022-02-19,2022-02-17,176.74,Received
PO-000038,2022-02-09,MAT-022,SUP-005,WH-001,14,11,2022-02-20,2022-02-22,115.12,Received
PO-000039,2022-02-09,MAT-022,SUP-005,WH-002,15,11,2022-02-20,2022-02-20,115.12,Received
PO-000040,2022-02-09,MAT-035,SUP-007,WH-002,6,28,2022-03-09,2022-03-08,1653.49,Received
PO-000041,2022-02-09,MAT-003,SUP-002,WH-002,13,12,2022-02-21,2022-02-19,250.33,Received
PO-000042,2022-02-10,MAT-030,SUP-006,WH-004,9,21,2022-03-03,2022-03-02,609.7,Received
PO-000043,2022-02-10,MAT-024,SUP-005,WH-003,12,12,2022-02-22,2022-02-21,176.74,Received
PO-000044,2022-02-11,MAT-010,SUP-002,WH-001,5,13,2022-02-24,2022-02-23,856.73,Received
PO-000045,2022-02-11,MAT-028,SUP-006,WH-001,7,20,2022-03-03,2022-03-02,1167.46,Received
PO-000046,2022-02-11,MAT-021,SUP-005,WH-004,19,13,2022-02-24,2022-02-23,208.55,Received
PO-000047,2022-02-11,MAT-023,SUP-005,WH-003,23,11,2022-02-22,2022-02-22,129.58,Received
PO-000048,2022-02-11,MAT-001,SUP-001,WH-004,12,17,2022-02-28,2022-03-06,104.84,Received
PO-000049,2022-02-14,MAT-034,SUP-007,WH-002,6,28,2022-03-14,2022-03-14,783.28,Received
PO-000050,2022-02-14,MAT-004,SUP-002,WH-002,19,12,2022-02-26,2022-02-26,108.45,Received
PO-000051,2022-02-14,MAT-016,SUP-003,WH-004,4,26,2022-03-12,2022-03-22,1875.37,Received
PO-000052,2022-02-14,MAT-019,SUP-003,WH-004,5,26,2022-03-12,2022-03-11,2922.43,Received
PO-000053,2022-02-16,MAT-029,SUP-006,WH-003,7,20,2022-03-08,2022-03-07,511.8,Received
PO-000054,2022-02-16,MAT-004,SUP-002,WH-003,14,12,2022-02-28,2022-02-26,108.45,Received
PO-000055,2022-02-16,MAT-017,SUP-003,WH-001,5,24,2022-03-12,2022-03-21,3463.71,Received
PO-000056,2022-02-19,MAT-025,SUP-005,WH-004,21,12,2022-03-03,2022-03-02,127.95,Received
PO-000057,2022-02-19,MAT-005,SUP-001,WH-003,11,16,2022-03-07,2022-03-07,187.34,Received
PO-000058,2022-02-19,MAT-005,SUP-001,WH-004,19,16,2022-03-07,2022-03-07,187.34,Received
PO-000059,2022-02-20,MAT-014,SUP-004,WH-001,246,5,2022-02-25,2022-02-25,50.38,Received
PO-000060,2022-02-22,MAT-035,SUP-007,WH-003,7,28,2022-03-22,2022-03-22,1653.49,Received
PO-000061,2022-02-23,MAT-033,SUP-007,WH-004,6,25,2022-03-20,2022-03-19,1179.71,Received
PO-000062,2022-02-24,MAT-006,SUP-001,WH-002,7,18,2022-03-14,2022-03-12,630.77,Received
PO-000063,2022-02-25,MAT-029,SUP-006,WH-002,8,20,2022-03-17,2022-03-17,511.8,Received
PO-000064,2022-02-25,MAT-033,SUP-007,WH-001,5,25,2022-03-22,2022-03-22,1179.71,Received
PO-000065,2022-02-26,MAT-021,SUP-005,WH-001,14,13,2022-03-11,2022-03-10,208.55,Received
PO-000066,2022-02-26,MAT-031,SUP-007,WH-002,6,25,2022-03-23,2022-03-22,1350.5,Received
PO-000067,2022-02-28,MAT-009,SUP-002,WH-004,8,13,2022-03-13,2022-03-13,677.13,Received
PO-000068,2022-02-28,MAT-037,SUP-004,WH-004,114,6,2022-03-06,2022-03-05,108.65,Received
PO-000069,2022-02-28,MAT-012,SUP-004,WH-002,190,5,2022-03-05,2022-03-04,50.61,Received
PO-000070,2022-03-01,MAT-037,SUP-004,WH-003,180,6,2022-03-07,2022-03-07,108.65,Received
PO-000071,2022-03-01,MAT-012,SUP-004,WH-003,138,5,2022-03-06,2022-03-06,50.61,Received
PO-000072,2022-03-01,MAT-015,SUP-004,WH-001,195,5,2022-03-06,2022-03-05,46.55,Received
PO-000073,2022-03-02,MAT-026,SUP-006,WH-004,6,20,2022-03-22,2022-03-21,433.64,Received
PO-000074,2022-03-02,MAT-028,SUP-006,WH-001,7,20,2022-03-22,2022-03-20,1167.46,Received
PO-000075,2022-03-02,MAT-013,SUP-004,WH-003,275,7,2022-03-09,2022-03-13,111.4,Received
PO-000076,2022-03-02,MAT-034,SUP-007,WH-001,7,28,2022-03-30,2022-03-28,783.28,Received
PO-000077,2022-03-03,MAT-011,SUP-004,WH-002,180,8,2022-03-11,2022-03-10,56.76,Received
PO-000078,2022-03-03,MAT-020,SUP-003,WH-004,5,23,2022-03-26,2022-04-04,1627.96,Received
PO-000079,2022-03-04,MAT-036,SUP-008,WH-003,192,7,2022-03-11,2022-03-22,75.97,Received
PO-000080,2022-03-05,MAT-006,SUP-001,WH-001,10,18,2022-03-23,2022-03-27,630.77,Received
PO-000081,2022-03-05,MAT-040,SUP-008,WH-002,104,7,2022-03-12,2022-03-11,97.48,Received
PO-000082,2022-03-05,MAT-011,SUP-004,WH-001,212,8,2022-03-13,2022-03-12,56.76,Received
PO-000083,2022-03-05,MAT-013,SUP-004,WH-004,151,7,2022-03-12,2022-03-15,111.4,Received
PO-000084,2022-03-05,MAT-014,SUP-004,WH-004,180,5,2022-03-10,2022-03-24,50.38,Received
PO-000085,2022-03-06,MAT-009,SUP-002,WH-001,8,13,2022-03-19,2022-03-17,677.13,Received
PO-000086,2022-03-06,MAT-039,SUP-008,WH-002,160,9,2022-03-15,2022-03-28,95.74,Received
PO-000087,2022-03-06,MAT-040,SUP-008,WH-003,154,7,2022-03-13,2022-03-24,97.48,Received
PO-000088,2022-03-06,MAT-027,SUP-006,WH-001,7,23,2022-03-29,2022-03-27,657.37,Received
PO-000089,2022-03-06,MAT-002,SUP-002,WH-001,16,12,2022-03-18,2022-03-16,241.37,Received
PO-000090,2022-03-06,MAT-016,SUP-003,WH-001,6,26,2022-04-01,2022-03-31,1875.37,Received
PO-000091,2022-03-07,MAT-039,SUP-008,WH-001,193,9,2022-03-16,2022-03-15,95.74,Received
PO-000092,2022-03-07,MAT-023,SUP-005,WH-002,13,11,2022-03-18,2022-03-18,129.58,Received
PO-000093,2022-03-08,MAT-030,SUP-006,WH-003,8,21,2022-03-29,2022-04-09,609.7,Received
PO-000094,2022-03-08,MAT-034,SUP-007,WH-002,6,28,2022-04-05,2022-04-04,783.28,Received
PO-000095,2022-03-08,MAT-002,SUP-002,WH-004,16,12,2022-03-20,2022-03-20,241.37,Received
PO-000096,2022-03-09,MAT-038,SUP-008,WH-004,101,8,2022-03-17,2022-03-24,70.54,Received
PO-000097,2022-03-11,MAT-036,SUP-008,WH-002,126,7,2022-03-18,2022-03-17,75.97,Received
PO-000098,2022-03-13,MAT-015,SUP-004,WH-002,209,5,2022-03-18,2022-03-18,46.55,Received
PO-000099,2022-03-13,MAT-017,SUP-003,WH-002,7,24,2022-04-06,2022-04-04,3463.71,Received
PO-000100,2022-03-14,MAT-022,SUP-005,WH-001,14,11,2022-03-25,2022-03-31,115.12,Received
PO-000101,2022-03-15,MAT-022,SUP-005,WH-002,15,11,2022-03-26,2022-03-25,115.12,Received
PO-000102,2022-03-16,MAT-007,SUP-001,WH-002,7,15,2022-03-31,2022-03-29,1810.3,Received
PO-000103,2022-03-16,MAT-008,SUP-001,WH-003,9,18,2022-04-03,2022-04-01,636.55,Received
PO-000104,2022-03-16,MAT-030,SUP-006,WH-004,9,21,2022-04-06,2022-04-04,609.7,Received
PO-000105,2022-03-17,MAT-025,SUP-005,WH-001,19,12,2022-03-29,2022-03-29,127.95,Received
PO-000106,2022-03-18,MAT-027,SUP-006,WH-004,7,23,2022-04-10,2022-04-20,657.37,Received
PO-000107,2022-03-19,MAT-038,SUP-008,WH-001,144,8,2022-03-27,2022-03-27,70.54,Received
PO-000108,2022-03-20,MAT-024,SUP-005,WH-004,22,12,2022-04-01,2022-03-31,176.74,Received
PO-000109,2022-03-20,MAT-001,SUP-001,WH-003,12,17,2022-04-06,2022-04-17,104.84,Received
PO-000110,2022-03-22,MAT-010,SUP-002,WH-002,9,13,2022-04-04,2022-04-02,856.73,Received
PO-000111,2022-03-22,MAT-033,SUP-007,WH-001,5,25,2022-04-16,2022-04-14,1179.71,Received
PO-000112,2022-03-23,MAT-007,SUP-001,WH-003,10,15,2022-04-07,2022-04-19,1810.3,Received
PO-000113,2022-03-23,MAT-028,SUP-006,WH-002,8,20,2022-04-12,2022-04-10,1167.46,Received
PO-000114,2022-03-23,MAT-032,SUP-007,WH-004,6,28,2022-04-20,2022-04-18,1238.66,Received
PO-000115,2022-03-23,MAT-033,SUP-007,WH-004,6,25,2022-04-17,2022-04-15,1179.71,Received
PO-000116,2022-03-24,MAT-018,SUP-003,WH-002,5,26,2022-04-19,2022-04-17,2366.63,Received
PO-000117,2022-03-25,MAT-026,SUP-006,WH-003,7,20,2022-04-14,2022-04-14,433.64,Received
PO-000118,2022-03-25,MAT-026,SUP-006,WH-004,6,20,2022-04-14,2022-04-14,433.64,Received
PO-000119,2022-03-25,MAT-032,SUP-007,WH-003,5,28,2022-04-22,2022-04-26,1238.66,Received
PO-000120,2022-03-25,MAT-035,SUP-007,WH-002,6,28,2022-04-22,2022-04-27,1653.49,Received
PO-000121,2022-03-25,MAT-005,SUP-001,WH-004,19,16,2022-04-10,2022-04-20,187.34,Received
PO-000122,2022-03-26,MAT-014,SUP-004,WH-001,246,5,2022-03-31,2022-04-07,50.38,Received
PO-000123,2022-03-27,MAT-023,SUP-005,WH-003,23,11,2022-04-07,2022-04-07,129.58,Received
PO-000124,2022-03-27,MAT-003,SUP-002,WH-001,20,12,2022-04-08,2022-04-08,250.33,Received
PO-000125,2022-03-28,MAT-021,SUP-005,WH-004,19,13,2022-04-10,2022-04-09,208.55,Received
PO-000126,2022-03-29,MAT-018,SUP-003,WH-002,5,26,2022-04-24,2022-04-23,2366.63,Received
PO-000127,2022-03-30,MAT-004,SUP-002,WH-002,19,12,2022-04-11,2022-04-09,108.45,Received
PO-000128,2022-03-31,MAT-028,SUP-006,WH-001,7,20,2022-04-20,2022-04-24,1167.46,Received
PO-000129,2022-03-31,MAT-025,SUP-005,WH-004,21,12,2022-04-12,2022-04-14,127.95,Received
PO-000130,2022-03-31,MAT-004,SUP-002,WH-003,14,12,2022-04-12,2022-04-10,108.45,Received
PO-000131,2022-04-01,MAT-012,SUP-004,WH-002,190,5,2022-04-06,2022-04-05,50.61,Received
PO-000132,2022-04-01,MAT-001,SUP-001,WH-004,12,17,2022-04-18,2022-04-18,104.84,Received
PO-000133,2022-04-01,MAT-003,SUP-002,WH-002,13,12,2022-04-13,2022-04-11,250.33,Received
PO-000134,2022-04-02,MAT-007,SUP-001,WH-002,7,15,2022-04-17,2022-04-15,1810.3,Received
PO-000135,2022-04-02,MAT-037,SUP-004,WH-004,114,6,2022-04-08,2022-04-08,108.65,Received
PO-000136,2022-04-02,MAT-023,SUP-005,WH-002,13,11,2022-04-13,2022-04-13,129.58,Received
PO-000137,2022-04-03,MAT-037,SUP-004,WH-003,180,6,2022-04-09,2022-04-21,108.65,Received
PO-000138,2022-04-04,MAT-024,SUP-005,WH-003,12,12,2022-04-16,2022-04-15,176.74,Received
PO-000139,2022-04-04,MAT-011,SUP-004,WH-002,180,8,2022-04-12,2022-04-10,56.76,Received
PO-000140,2022-04-04,MAT-013,SUP-004,WH-003,275,7,2022-04-11,2022-04-10,111.4,Received
PO-000141,2022-04-04,MAT-015,SUP-004,WH-001,195,5,2022-04-09,2022-04-21,46.55,Received
PO-000142,2022-04-05,MAT-012,SUP-004,WH-003,138,5,2022-04-10,2022-04-10,50.61,Received
PO-000143,2022-04-05,MAT-035,SUP-007,WH-003,7,28,2022-05-03,2022-05-01,1653.49,Received
PO-000144,2022-04-05,MAT-005,SUP-001,WH-003,11,16,2022-04-21,2022-04-21,187.34,Received
PO-000145,2022-04-05,MAT-016,SUP-003,WH-004,4,26,2022-05-01,2022-04-30,1875.37,Received
PO-000146,2022-04-06,MAT-018,SUP-003,WH-003,5,26,2022-05-02,2022-05-01,2366.63,Received
PO-000147,2022-04-07,MAT-029,SUP-006,WH-002,8,20,2022-04-27,2022-04-27,511.8,Received
PO-000148,2022-04-07,MAT-011,SUP-004,WH-001,212,8,2022-04-15,2022-04-13,56.76,Received
PO-000149,2022-04-07,MAT-018,SUP-003,WH-003,5,26,2022-05-03,2022-05-02,2366.63,Received
PO-000150,2022-04-07,MAT-020,SUP-003,WH-001,4,23,2022-04-30,2022-05-11,1627.96,Received
PO-000151,2022-04-08,MAT-009,SUP-002,WH-004,8,13,2022-04-21,2022-04-21,677.13,Received
PO-000152,2022-04-08,MAT-040,SUP-008,WH-002,104,7,2022-04-15,2022-04-17,97.48,Received
PO-000153,2022-04-09,MAT-021,SUP-005,WH-001,14,13,2022-04-22,2022-04-22,208.55,Received
PO-000154,2022-04-10,MAT-013,SUP-004,WH-004,151,7,2022-04-17,2022-04-17,111.4,Received
PO-000155,2022-04-13,MAT-039,SUP-008,WH-002,160,9,2022-04-22,2022-05-06,95.74,Received
PO-000156,2022-04-13,MAT-002,SUP-002,WH-004,16,12,2022-04-25,2022-04-24,241.37,Received
PO-000157,2022-04-14,MAT-031,SUP-007,WH-003,6,25,2022-05-09,2022-05-20,1350.5,Received
PO-000158,2022-04-15,MAT-039,SUP-008,WH-001,193,9,2022-04-24,2022-04-24,95.74,Received
PO-000159,2022-04-17,MAT-025,SUP-005,WH-001,19,12,2022-04-29,2022-05-05,127.95,Received
PO-000160,2022-04-17,MAT-015,SUP-004,WH-002,209,5,2022-04-22,2022-04-24,46.55,Received
PO-000161,2022-04-18,MAT-036,SUP-008,WH-002,126,7,2022-04-25,2022-04-28,75.97,Received
PO-000162,2022-04-18,MAT-036,SUP-008,WH-003,192,7,2022-04-25,2022-04-30,75.97,Received
PO-000163,2022-04-18,MAT-002,SUP-002,WH-001,16,12,2022-04-30,2022-04-29,241.37,Received
PO-000164,2022-04-20,MAT-027,SUP-006,WH-004,7,23,2022-05-13,2022-05-23,657.37,Received
PO-000165,2022-04-20,MAT-031,SUP-007,WH-003,6,25,2022-05-15,2022-05-14,1350.5,Received
PO-000166,2022-04-21,MAT-027,SUP-006,WH-001,7,23,2022-05-14,2022-05-25,657.37,Received
PO-000167,2022-04-22,MAT-038,SUP-008,WH-004,101,8,2022-04-30,2022-04-30,70.54,Received
PO-000168,2022-04-22,MAT-038,SUP-008,WH-001,144,8,2022-04-30,2022-05-04,70.54,Received
PO-000169,2022-04-23,MAT-040,SUP-008,WH-003,154,7,2022-04-30,2022-04-30,97.48,Received
PO-000170,2022-04-23,MAT-030,SUP-006,WH-003,8,21,2022-05-14,2022-05-21,609.7,Received
PO-000171,2022-04-23,MAT-022,SUP-005,WH-002,15,11,2022-05-04,2022-05-03,115.12,Received
PO-000172,2022-04-23,MAT-014,SUP-004,WH-004,180,5,2022-04-28,2022-04-28,50.38,Received
PO-000173,2022-04-24,MAT-001,SUP-001,WH-003,12,17,2022-05-11,2022-05-11,104.84,Received
PO-000174,2022-04-26,MAT-022,SUP-005,WH-001,14,11,2022-05-07,2022-05-05,115.12,Received
PO-000175,2022-04-27,MAT-030,SUP-006,WH-004,9,21,2022-05-18,2022-05-17,609.7,Received
PO-000176,2022-04-28,MAT-028,SUP-006,WH-002,8,20,2022-05-18,2022-05-16,1167.46,Received
PO-000177,2022-04-28,MAT-001,SUP-001,WH-004,12,17,2022-05-15,2022-05-15,104.84,Received
PO-000178,2022-04-30,MAT-020,SUP-003,WH-001,4,23,2022-05-23,2022-05-23,1627.96,Received
PO-000179,2022-05-03,MAT-006,SUP-001,WH-002,7,18,2022-05-21,2022-05-20,630.77,Received
PO-000180,2022-05-03,MAT-020,SUP-003,WH-004,5,23,2022-05-26,2022-05-24,1627.96,Received
PO-000181,2022-05-04,MAT-006,SUP-001,WH-001,10,18,2022-05-22,2022-05-26,630.77,Received
PO-000182,2022-05-04,MAT-003,SUP-002,WH-001,20,12,2022-05-16,2022-05-14,250.33,Received
PO-000183,2022-05-04,MAT-016,SUP-003,WH-001,6,26,2022-05-30,2022-05-30,1875.37,Received
PO-000184,2022-05-05,MAT-026,SUP-006,WH-003,7,20,2022-05-25,2022-06-03,433.64,Received
PO-000185,2022-05-05,MAT-019,SUP-003,WH-003,5,26,2022-05-31,2022-05-30,2922.43,Received
PO-000186,2022-05-06,MAT-029,SUP-006,WH-002,8,20,2022-05-26,2022-05-25,511.8,Received
PO-000187,2022-05-06,MAT-024,SUP-005,WH-003,12,12,2022-05-18,2022-05-18,176.74,Received
PO-000188,2022-05-06,MAT-012,SUP-004,WH-003,138,5,2022-05-11,2022-05-11,50.61,Received
PO-000189,2022-05-06,MAT-014,SUP-004,WH-001,246,5,2022-05-11,2022-05-09,50.38,Received
PO-000190,2022-05-06,MAT-035,SUP-007,WH-003,7,28,2022-06-03,2022-06-02,1653.49,Received
PO-000191,2022-05-07,MAT-023,SUP-005,WH-003,23,11,2022-05-18,2022-05-18,129.58,Received
PO-000192,2022-05-07,MAT-017,SUP-003,WH-001,5,24,2022-05-31,2022-05-31,3463.71,Received
PO-000193,2022-05-08,MAT-037,SUP-004,WH-004,114,6,2022-05-14,2022-05-13,108.65,Received
PO-000194,2022-05-08,MAT-023,SUP-005,WH-002,13,11,2022-05-19,2022-05-17,129.58,Received
PO-000195,2022-05-08,MAT-025,SUP-005,WH-004,21,12,2022-05-20,2022-05-20,127.95,Received
PO-000196,2022-05-08,MAT-005,SUP-001,WH-004,19,16,2022-05-24,2022-06-02,187.34,Received
PO-000197,2022-05-09,MAT-007,SUP-001,WH-003,10,15,2022-05-24,2022-05-22,1810.3,Received
PO-000198,2022-05-09,MAT-008,SUP-001,WH-003,9,18,2022-05-27,2022-05-31,636.55,Received
PO-000199,2022-05-09,MAT-029,SUP-006,WH-003,7,20,2022-05-29,2022-05-28,511.8,Received
PO-000200,2022-05-09,MAT-021,SUP-005,WH-004,19,13,2022-05-22,2022-05-20,208.55,Received
PO-000201,2022-05-09,MAT-024,SUP-005,WH-004,22,12,2022-05-21,2022-05-21,176.74,Received
PO-000202,2022-05-09,MAT-013,SUP-004,WH-003,275,7,2022-05-16,2022-05-24,111.4,Received
PO-000203,2022-05-10,MAT-009,SUP-002,WH-001,8,13,2022-05-23,2022-05-22,677.13,Received
PO-000204,2022-05-10,MAT-012,SUP-004,WH-002,190,5,2022-05-15,2022-05-15,50.61,Received
PO-000205,2022-05-11,MAT-011,SUP-004,WH-001,212,8,2022-05-19,2022-05-19,56.76,Received
PO-000206,2022-05-11,MAT-011,SUP-004,WH-002,180,8,2022-05-19,2022-05-17,56.76,Received
PO-000207,2022-05-11,MAT-034,SUP-007,WH-001,7,28,2022-06-08,2022-06-21,783.28,Received
PO-000208,2022-05-12,MAT-007,SUP-001,WH-002,7,15,2022-05-27,2022-05-25,1810.3,Received
PO-000209,2022-05-12,MAT-009,SUP-002,WH-004,8,13,2022-05-25,2022-05-25,677.13,Received
PO-000210,2022-05-12,MAT-013,SUP-004,WH-004,151,7,2022-05-19,2022-05-19,111.4,Received
PO-000211,2022-05-13,MAT-010,SUP-002,WH-002,9,13,2022-05-26,2022-05-24,856.73,Received
PO-000212,2022-05-13,MAT-032,SUP-007,WH-003,5,28,2022-06-10,2022-06-09,1238.66,Received
PO-000213,2022-05-14,MAT-040,SUP-008,WH-002,104,7,2022-05-21,2022-05-20,97.48,Received
PO-000214,2022-05-16,MAT-032,SUP-007,WH-004,6,28,2022-06-13,2022-06-12,1238.66,Received
PO-000215,2022-05-16,MAT-035,SUP-007,WH-002,6,28,2022-06-13,2022-06-12,1653.49,Received
PO-000216,2022-05-17,MAT-039,SUP-008,WH-001,193,9,2022-05-26,2022-06-09,95.74,Received
PO-000217,2022-05-17,MAT-032,SUP-007,WH-003,5,28,2022-06-14,2022-06-14,1238.66,Received
PO-000218,2022-05-17,MAT-033,SUP-007,WH-004,6,25,2022-06-11,2022-06-10,1179.71,Received
PO-000219,2022-05-18,MAT-037,SUP-004,WH-003,180,6,2022-05-24,2022-05-24,108.65,Received
PO-000220,2022-05-19,MAT-015,SUP-004,WH-001,195,5,2022-05-24,2022-06-02,46.55,Received
PO-000221,2022-05-19,MAT-004,SUP-002,WH-002,19,12,2022-05-31,2022-05-31,108.45,Received
PO-000222,2022-05-20,MAT-021,SUP-005,WH-001,14,13,2022-06-02,2022-06-02,208.55,Received
PO-000223,2022-05-20,MAT-031,SUP-007,WH-002,6,25,2022-06-14,2022-06-12,1350.5,Received
PO-000224,2022-05-22,MAT-022,SUP-005,WH-002,15,11,2022-06-02,2022-06-01,115.12,Received
PO-000225,2022-05-22,MAT-025,SUP-005,WH-001,19,12,2022-06-03,2022-06-02,127.95,Received
PO-000226,2022-05-23,MAT-036,SUP-008,WH-003,192,7,2022-05-30,2022-05-30,75.97,Received
PO-000227,2022-05-24,MAT-036,SUP-008,WH-002,126,7,2022-05-31,2022-05-30,75.97,Received
PO-000228,2022-05-24,MAT-038,SUP-008,WH-004,101,8,2022-06-01,2022-06-03,70.54,Received
PO-000229,2022-05-25,MAT-010,SUP-002,WH-001,5,13,2022-06-07,2022-06-06,856.73,Received
PO-000230,2022-05-25,MAT-030,SUP-006,WH-004,9,21,2022-06-15,2022-06-13,609.7,Received
PO-000231,2022-05-25,MAT-003,SUP-002,WH-002,13,12,2022-06-06,2022-06-05,250.33,Received
PO-000232,2022-05-25,MAT-004,SUP-002,WH-003,14,12,2022-06-06,2022-06-06,108.45,Received
PO-000233,2022-05-25,MAT-005,SUP-001,WH-003,11,16,2022-06-10,2022-06-08,187.34,Received
PO-000234,2022-05-25,MAT-017,SUP-003,WH-002,7,24,2022-06-18,2022-06-18,3463.71,Received
PO-000235,2022-05-26,MAT-040,SUP-008,WH-003,154,7,2022-06-02,2022-06-01,97.48,Received
PO-000236,2022-05-27,MAT-038,SUP-008,WH-001,144,8,2022-06-04,2022-06-03,70.54,Received
PO-000237,2022-05-28,MAT-028,SUP-006,WH-001,7,20,2022-06-17,2022-06-16,1167.46,Received
PO-000238,2022-05-28,MAT-015,SUP-004,WH-002,209,5,2022-06-02,2022-06-13,46.55,Received
PO-000239,2022-05-28,MAT-033,SUP-007,WH-001,5,25,2022-06-22,2022-06-22,1179.71,Received
PO-000240,2022-05-29,MAT-027,SUP-006,WH-001,7,23,2022-06-21,2022-06-20,657.37,Received
PO-000241,2022-05-29,MAT-014,SUP-004,WH-004,180,5,2022-06-03,2022-06-15,50.38,Received
PO-000242,2022-05-29,MAT-019,SUP-003,WH-004,5,26,2022-06-24,2022-07-04,2922.43,Received
PO-000243,2022-05-31,MAT-007,SUP-001,WH-003,10,15,2022-06-15,2022-06-13,1810.3,Received
PO-000244,2022-05-31,MAT-008,SUP-001,WH-004,5,18,2022-06-18,2022-06-16,636.55,Received
PO-000245,2022-05-31,MAT-027,SUP-006,WH-004,7,23,2022-06-23,2022-06-23,657.37,Received
PO-000246,2022-05-31,MAT-030,SUP-006,WH-003,8,21,2022-06-21,2022-06-19,609.7,Received
PO-000247,2022-06-02,MAT-039,SUP-008,WH-002,160,9,2022-06-11,2022-06-10,95.74,Received
PO-000248,2022-06-02,MAT-026,SUP-006,WH-004,6,20,2022-06-22,2022-06-20,433.64,Received
PO-000249,2022-06-02,MAT-033,SUP-007,WH-001,5,25,2022-06-27,2022-06-26,1179.71,Received
PO-000250,2022-06-02,MAT-002,SUP-002,WH-004,16,12,2022-06-14,2022-06-12,241.37,Received
PO-000251,2022-06-03,MAT-028,SUP-006,WH-002,8,20,2022-06-23,2022-06-22,1167.46,Received
