maintenance_id,equipment_id,date,maintenance_type,failure_type,downtime_hours,labor_cost,material_cost,contractor_cost,total_cost,priority,work_order_status
MNT-000043,EQ-0029,2022-02-10,Inspection,,1.98,793.13,0.0,0.0,793.13,Low,Completed
MNT-000044,EQ-0045,2022-02-10,Preventive,,7.49,2007.41,2438.8,0.0,4446.21,Medium,Completed
MNT-000045,EQ-0009,2022-02-11,Corrective,Fuel System Fault,8.05,1856.66,3758.28,0.0,5614.94,High,Completed
MNT-000046,EQ-0035,2022-02-11,Preventive,,7.95,2075.22,6752.5,0.0,8827.72,Medium,Completed
MNT-000047,EQ-0036,2022-02-12,Corrective,Pressure Fault,25.03,8475.41,216.9,9606.97,18299.28,High,Completed
MNT-000048,EQ-0040,2022-02-13,Preventive,,7.4,2153.94,482.74,0.0,2636.68,Medium,Completed
MNT-000049,EQ-0013,2022-02-14,Corrective,Bearing Failure,25.18,7978.28,433.8,16016.5,24428.58,High,Completed
MNT-000050,EQ-0046,2022-02-14,Corrective,Seat Leakage,5.3,947.58,23989.0,0.0,24936.58,High,Completed
MNT-000051,EQ-0008,2022-02-16,Preventive,,5.23,1155.74,20782.26,0.0,21938.0,Medium,Completed
MNT-000052,EQ-0041,2022-02-16,Preventive,,12.23,5111.64,3385.65,0.0,8497.29,Medium,Completed
MNT-000053,EQ-0041,2022-02-16,Inspection,,2.73,810.83,0.0,0.0,810.83,Low,Completed
MNT-000054,EQ-0020,2022-02-21,Preventive,,6.79,2074.31,6927.42,0.0,9001.73,Medium,Completed
MNT-000055,EQ-0020,2022-02-21,Inspection,,1.3,285.91,2366.63,0.0,2652.54,Low,Completed
MNT-000056,EQ-0023,2022-02-23,Corrective,Gasket Failure,60.38,15291.08,4051.5,16357.42,35700.0,Critical,Completed
MNT-000057,EQ-0011,2022-02-25,Preventive,,5.07,1314.67,4718.84,0.0,6033.51,Medium,Completed
MNT-000058,EQ-0011,2022-02-25,Inspection,,1.66,441.26,0.0,0.0,441.26,Low,Completed
MNT-000059,EQ-0024,2022-02-28,Corrective,Pressure Fault,16.93,6626.94,2349.84,7052.75,16029.53,High,Completed
MNT-000060,EQ-0028,2022-03-01,Corrective,Motor Overheating,8.08,2297.62,101.22,0.0,2398.84,High,Completed
MNT-000061,EQ-0044,2022-03-03,Corrective,Valve Failure,8.82,1680.37,4954.64,13975.91,20610.92,High,Completed
MNT-000062,EQ-0017,2022-03-04,Corrective,Seal Leak,38.22,16761.33,14199.78,19830.66,50791.77,High,Completed
MNT-000063,EQ-0047,2022-03-04,Preventive,,10.42,2192.79,1124.04,0.0,3316.83,Medium,Completed
MNT-000064,EQ-0005,2022-03-06,Corrective,Valve Failure,16.34,7246.63,11564.26,0.0,18810.89,High,Completed
MNT-000065,EQ-0016,2022-03-07,Corrective,Motor Overheating,9.81,1935.19,1084.5,0.0,3019.69,High,Completed
MNT-000066,EQ-0021,2022-03-07,Preventive,,4.85,1161.31,1036.64,0.0,2197.95,Medium,Completed
MNT-000067,EQ-0006,2022-03-08,Preventive,,10.63,3574.96,6511.84,0.0,10086.8,Medium,Completed
MNT-000068,EQ-0006,2022-03-08,Inspection,,1.34,558.19,0.0,0.0,558.19,Low,Completed
MNT-000069,EQ-0046,2022-03-09,Preventive,,5.2,755.58,965.48,0.0,1721.06,Medium,Completed
MNT-000070,EQ-0024,2022-03-11,Preventive,,6.12,2350.59,455.82,0.0,2806.41,Medium,Completed
MNT-000071,EQ-0019,2022-03-13,Preventive,,11.04,3424.47,487.4,0.0,3911.87,Medium,Completed
MNT-000072,EQ-0019,2022-03-13,Inspection,,1.24,280.98,6927.42,0.0,7208.4,Low,Completed
MNT-000073,EQ-0031,2022-03-13,Preventive,,4.8,836.2,3306.98,0.0,4143.18,Medium,Completed
MNT-000074,EQ-0031,2022-03-13,Inspection,,2.85,800.37,0.0,0.0,800.37,Low,Completed
MNT-000075,EQ-0017,2022-03-16,Preventive,,10.06,3802.07,12672.1,0.0,16474.17,Medium,Completed
MNT-000076,EQ-0043,2022-03-16,Preventive,,6.7,1348.23,423.24,0.0,1771.47,Medium,Completed
MNT-000077,EQ-0043,2022-03-16,Inspection,,1.7,528.12,3750.74,0.0,4278.86,Low,Completed
MNT-000078,EQ-0038,2022-03-17,Preventive,,5.11,995.89,100.76,0.0,1096.65,Medium,Completed
MNT-000080,EQ-0004,2022-03-19,Inspection,,1.73,480.7,0.0,0.0,480.7,Low,Completed
MNT-000081,EQ-0007,2022-03-22,Corrective,Fouling,76.87,22171.59,2359.42,9324.04,33855.05,Critical,Completed
MNT-000082,EQ-0015,2022-03-22,Corrective,Impeller Wear,30.26,5957.14,5140.38,14899.57,25997.09,High,Completed
MNT-000083,EQ-0025,2022-03-23,Corrective,Motor Overheating,32.13,7561.41,5430.9,10399.25,23391.56,High,Completed
MNT-000084,EQ-0048,2022-03-24,Preventive,,5.06,1735.51,869.2,0.0,2604.71,Medium,Completed
MNT-000085,EQ-0039,2022-03-25,Corrective,Motor Overheating,53.97,15391.07,100.76,0.0,15491.83,Critical,Completed
MNT-000086,EQ-0001,2022-03-27,Corrective,Seal Leak,11.83,3008.62,910.31,11744.41,15663.34,High,Completed
MNT-000087,EQ-0018,2022-03-27,Corrective,Overheating,97.68,36907.92,3463.71,0.0,40371.63,Critical,Completed
MNT-000088,EQ-0027,2022-03-27,Corrective,Impeller Wear,14.49,3395.05,7352.6,0.0,10747.65,High,Completed
MNT-000089,EQ-0005,2022-03-29,Preventive,,6.68,2915.47,767.7,0.0,3683.17,Medium,Completed
MNT-000090,EQ-0022,2022-03-29,Preventive,,3.86,683.22,14199.78,0.0,14883.0,Medium,Completed
MNT-000091,EQ-0022,2022-03-29,Inspection,,1.46,318.24,0.0,0.0,318.24,Low,Completed
MNT-000092,EQ-0033,2022-03-29,Preventive,,6.55,1608.64,222.8,0.0,1831.44,Medium,Completed
MNT-000093,EQ-0033,2022-03-29,Inspection,,2.15,488.36,101.22,0.0,589.58,Low,Completed
MNT-000094,EQ-0001,2022-03-30,Corrective,Impeller Wear,21.45,4054.72,279.3,0.0,4334.02,High,Completed
MNT-000095,EQ-0014,2022-04-02,Preventive,,10.49,2083.18,3620.6,0.0,5703.78,Medium,Completed
MNT-000096,EQ-0026,2022-04-03,Preventive,,7.16,1953.98,629.04,0.0,2583.02,Medium,Completed
MNT-000097,EQ-0038,2022-04-03,Corrective,Motor Overheating,21.62,5032.19,524.2,23701.15,29257.54,High,Completed
MNT-000098,EQ-0002,2022-04-04,Preventive,,8.09,2046.87,1001.32,0.0,3048.19,Medium,Completed
MNT-000099,EQ-0002,2022-04-04,Inspection,,1.19,351.42,250.33,0.0,601.75,Low,Completed
MNT-000100,EQ-0014,2022-04-05,Corrective,Impeller Wear,7.99,2129.49,542.25,0.0,2671.74,High,Completed
MNT-000101,EQ-0034,2022-04-07,Corrective,Stuck Valve,7.47,1195.33,17122.21,9556.32,27873.86,High,Completed
MNT-000102,EQ-0037,2022-04-08,Preventive,,4.83,1335.16,4062.78,0.0,5397.94,Medium,Completed
MNT-000103,EQ-0023,2022-04-09,Preventive,,4.05,1182.96,574.44,0.0,1757.4,Medium,Completed
MNT-000104,EQ-0042,2022-04-10,Corrective,Seal Leak,55.93,21013.1,525.08,0.0,21538.18,Critical,Completed
MNT-000105,EQ-0027,2022-04-16,Preventive,,8.23,2000.6,9051.5,0.0,11052.1,Medium,Completed
MNT-000106,EQ-0027,2022-04-16,Inspection,,2.46,769.06,0.0,0.0,769.06,Low,Completed
MNT-000107,EQ-0028,2022-04-16,Corrective,Impeller Wear,9.63,2146.79,404.88,0.0,2551.67,High,Completed
MNT-000108,EQ-0013,2022-04-17,Corrective,Motor Overheating,42.36,10778.5,5430.9,0.0,16209.4,High,Completed
MNT-000109,EQ-0031,2022-04-18,Corrective,Valve Failure,8.64,2424.6,6752.5,0.0,9177.1,High,Completed
MNT-000110,EQ-0018,2022-04-23,Preventive,,16.72,8501.17,920.96,0.0,9422.13,Medium,Completed
MNT-000111,EQ-0018,2022-04-23,Inspection,,1.83,763.63,0.0,0.0,763.63,Low,Completed
MNT-000112,EQ-0009,2022-04-26,Preventive,,7.32,1767.55,230.24,0.0,1997.79,Medium,Completed
MNT-000113,EQ-0026,2022-04-26,Corrective,Seal Leak,35.69,9617.54,445.6,0.0,10063.14,High,Completed
MNT-000114,EQ-0039,2022-04-26,Preventive,,4.34,1434.8,779.8,0.0,2214.6,Medium,Completed
MNT-000115,EQ-0039,2022-04-26,Inspection,,2.29,616.98,636.55,0.0,1253.53,Low,Completed
MNT-000116,EQ-0039,2022-04-28,Corrective,Impeller Wear,11.48,3110.45,557.0,0.0,3667.45,High,Completed
MNT-000117,EQ-0027,2022-04-30,Corrective,Seal Leak,18.39,4593.15,506.1,0.0,5099.25,High,Completed
MNT-000118,EQ-0013,2022-05-03,Preventive,,13.09,2943.01,2523.08,0.0,5466.09,Medium,Completed
MNT-000119,EQ-0042,2022-05-03,Preventive,,5.36,2165.77,352.66,0.0,2518.43,Medium,Completed
MNT-000120,EQ-0003,2022-05-04,Preventive,,3.35,835.71,3153.85,0.0,3989.56,Medium,Completed
MNT-000121,EQ-0034,2022-05-05,Preventive,,6.2,697.54,5844.86,0.0,6542.4,Medium,Completed
MNT-000122,EQ-0034,2022-05-05,Inspection,,2.73,617.15,0.0,0.0,617.15,Low,Completed
MNT-000123,EQ-0007,2022-05-08,Corrective,Fouling,21.82,5274.95,13854.84,0.0,19129.79,High,Completed
MNT-000124,EQ-0010,2022-05-09,Preventive,,5.85,987.4,750.99,0.0,1738.39,Medium,Completed
MNT-000125,EQ-0025,2022-05-09,Preventive,,5.12,1394.64,4455.85,0.0,5850.49,Medium,Completed
MNT-000126,EQ-0028,2022-05-09,Preventive,,3.59,837.18,445.6,0.0,1282.78,Medium,Completed
MNT-000127,EQ-0028,2022-05-09,Inspection,,2.07,601.14,1810.3,0.0,2411.44,Low,Completed
MNT-000128,EQ-0004,2022-05-10,Corrective,Seal Leak,7.84,2113.03,3970.06,0.0,6083.09,High,Completed
MNT-000129,EQ-0030,2022-05-10,Preventive,,8.87,3794.84,5430.9,0.0,9225.74,Medium,Completed
MNT-000130,EQ-0007,2022-05-11,Preventive,,6.58,1624.69,2349.84,0.0,3974.53,Medium,Completed
MNT-000131,EQ-0007,2022-05-11,Inspection,,1.64,366.38,6927.42,0.0,7293.8,Low,Completed
MNT-000132,EQ-0045,2022-05-11,Corrective,Electrical Fault,27.7,7567.51,445.6,0.0,8013.11,High,Completed
MNT-000133,EQ-0006,2022-05-13,Corrective,Valve Failure,24.22,14418.93,3923.7,0.0,18342.63,High,Completed
MNT-000134,EQ-0036,2022-05-13,Corrective,Pressure Fault,20.69,8470.49,6649.12,0.0,15119.61,High,Completed
MNT-000135,EQ-0036,2022-05-16,Preventive,,6.08,2260.05,314.52,0.0,2574.57,Medium,Completed
MNT-000136,EQ-0032,2022-05-17,Preventive,,4.38,1372.17,6193.3,0.0,7565.47,Medium,Completed
MNT-000137,EQ-0032,2022-05-17,Inspection,,2.1,495.91,194.96,0.0,690.87,Low,Completed
MNT-000138,EQ-0001,2022-05-18,Preventive,,7.31,1674.48,372.4,0.0,2046.88,Medium,Completed
MNT-000139,EQ-0043,2022-05-19,Corrective,Level Control Fault,34.13,8644.64,9767.76,0.0,18412.4,High,Completed
MNT-000140,EQ-0016,2022-05-24,Preventive,,4.87,1245.27,454.08,0.0,1699.35,Medium,Completed
MNT-000141,EQ-0016,2022-05-24,Inspection,,2.08,627.87,500.66,0.0,1128.53,Low,Completed
MNT-000142,EQ-0015,2022-05-25,Preventive,,4.18,1207.38,1752.31,0.0,2959.69,Medium,Completed
MNT-000143,EQ-0015,2022-05-25,Inspection,,1.62,312.79,113.52,0.0,426.31,Low,Completed
MNT-000144,EQ-0035,2022-05-25,Preventive,,5.2,1507.85,867.6,0.0,2375.45,Medium,Completed
MNT-000145,EQ-0035,2022-05-25,Inspection,,1.29,319.17,0.0,0.0,319.17,Low,Completed
MNT-000146,EQ-0045,2022-05-25,Corrective,Electrical Fault,16.21,4329.73,3078.55,0.0,7408.28,High,Completed
MNT-000147,EQ-0012,2022-05-28,Preventive,,5.39,1804.25,4718.84,0.0,6523.09,Medium,Completed
MNT-000148,EQ-0037,2022-05-29,Corrective,Impeller Wear,5.23,1217.49,950.88,14344.79,16513.16,High,Completed
MNT-000149,EQ-0021,2022-05-30,Corrective,Overheating,22.39,5282.2,97.16,0.0,5379.36,High,Completed
MNT-000150,EQ-0045,2022-05-31,Preventive,,8.73,2378.26,2629.48,0.0,5007.74,Medium,Completed
MNT-000151,EQ-0025,2022-06-01,Corrective,Motor Overheating,21.33,6037.62,9051.5,0.0,15089.12,High,Completed
MNT-000152,EQ-0008,2022-06-02,Preventive,,5.08,1224.38,4718.84,0.0,5943.22,Medium,Completed
MNT-000153,EQ-0008,2022-06-02,Inspection,,1.51,353.94,0.0,0.0,353.94,Low,Completed
MNT-000154,EQ-0021,2022-06-03,Corrective,Overheating,17.38,3968.82,5930.4,0.0,9899.22,High,Completed
MNT-000155,EQ-0044,2022-06-05,Preventive,,7.72,1740.24,2359.42,0.0,4099.66,Medium,Completed
MNT-000156,EQ-0044,2022-06-05,Inspection,,1.35,339.78,1238.66,0.0,1578.44,Low,Completed
MNT-000157,EQ-0011,2022-06-06,Preventive,,6.05,1452.07,191.48,0.0,1643.55,Medium,Completed
MNT-000158,EQ-0013,2022-06-06,Corrective,Impeller Wear,41.8,8047.39,433.8,0.0,8481.19,High,Completed
MNT-000159,EQ-0030,2022-06-06,Corrective,Valve Failure,40.44,20225.03,11833.15,0.0,32058.18,High,Completed
MNT-000160,EQ-0024,2022-06-07,Preventive,,14.11,5383.12,1001.32,0.0,6384.44,Medium,Completed
MNT-000161,EQ-0046,2022-06-07,Corrective,Actuator Failure,4.26,704.85,11395.72,0.0,12100.57,High,Completed
MNT-000162,EQ-0006,2022-06-08,Preventive,,10.13,4813.9,417.1,0.0,5231.0,Medium,Completed
MNT-000163,EQ-0002,2022-06-10,Corrective,Bearing Failure,13.88,5737.89,872.14,36769.74,43379.77,High,Completed
MNT-000164,EQ-0040,2022-06-11,Preventive,,6.34,1512.76,209.68,0.0,1722.44,Medium,Completed
MNT-000165,EQ-0004,2022-06-12,Corrective,Seal Leak,10.46,2492.85,1001.32,0.0,3494.17,High,Completed
MNT-000166,EQ-0029,2022-06-12,Preventive,,9.22,3608.05,9051.5,6660.96,19320.51,Medium,Completed
MNT-000167,EQ-0041,2022-06-15,Preventive,,11.84,6225.23,891.2,0.0,7116.43,Medium,Completed
MNT-000168,EQ-0041,2022-06-15,Inspection,,2.04,878.36,255.9,0.0,1134.26,Low,Completed
MNT-000169,EQ-0008,2022-06-16,Corrective,Fouling,15.54,3799.99,11252.22,0.0,15052.21,High,Completed
MNT-000170,EQ-0020,2022-06-19,Preventive,,7.34,1523.08,287.22,0.0,1810.3,Medium,Completed
MNT-000171,EQ-0047,2022-06-19,Preventive,,8.83,2333.75,2477.32,0.0,4811.07,Medium,Completed
MNT-000172,EQ-0017,2022-06-21,Corrective,Overheating,34.19,17442.24,13854.84,0.0,31297.08,High,Completed
MNT-000173,EQ-0048,2022-06-25,Preventive,,7.52,3579.47,2359.42,0.0,5938.89,Medium,Completed
MNT-000174,EQ-0048,2022-06-25,Inspection,,2.99,890.87,0.0,0.0,890.87,Low,Completed
MNT-000175,EQ-0017,2022-06-26,Preventive,,6.89,3393.16,907.06,0.0,4300.22,Medium,Completed
MNT-000176,EQ-0021,2022-06-26,Corrective,Overheating,18.87,6153.0,7004.76,0.0,13157.76,High,Completed
MNT-000177,EQ-0033,2022-06-27,Preventive,,4.95,963.43,668.4,0.0,1631.83,Medium,Completed
MNT-000178,EQ-0033,2022-06-27,Inspection,,2.75,637.4,0.0,0.0,637.4,Low,Completed
MNT-000179,EQ-0005,2022-06-28,Preventive,,10.52,4881.05,15002.96,0.0,19884.01,Medium,Completed
MNT-000180,EQ-0039,2022-07-02,Corrective,Impeller Wear,16.38,4503.1,419.36,18096.9,23019.36,High,Completed
MNT-000181,EQ-0043,2022-07-03,Preventive,,6.35,1603.11,11689.72,0.0,13292.83,Medium,Completed
MNT-000182,EQ-0013,2022-07-04,Corrective,Motor Overheating,26.25,6220.54,14482.4,0.0,20702.94,High,Completed
MNT-000183,EQ-0029,2022-07-06,Corrective,Overheating,12.49,5127.53,3182.75,18070.33,26380.61,High,Completed
MNT-000184,EQ-0021,2022-07-07,Preventive,,12.32,2984.13,253.05,10938.52,14175.7,Medium,Completed
MNT-000185,EQ-0022,2022-07-07,Preventive,,6.39,892.99,1752.31,0.0,2645.3,Medium,Completed
MNT-000186,EQ-0019,2022-07-09,Preventive,,4.03,982.57,8103.0,0.0,9085.57,Medium,Completed
MNT-000187,EQ-0022,2022-07-09,Corrective,Stuck Valve,9.25,1662.12,12757.76,8100.78,22520.66,High,Completed
MNT-000188,EQ-0046,2022-07-10,Preventive,,8.64,1545.16,749.36,0.0,2294.52,Medium,Completed
MNT-000189,EQ-0046,2022-07-10,Inspection,,1.75,272.35,0.0,0.0,272.35,Low,Completed
MNT-000190,EQ-0004,2022-07-13,Preventive,,10.58,2754.38,965.48,0.0,3719.86,Medium,Completed
MNT-000191,EQ-0004,2022-07-13,Inspection,,2.01,378.24,677.13,0.0,1055.37,Low,Completed
MNT-000192,EQ-0031,2022-07-13,Preventive,,7.14,1812.68,4954.64,0.0,6767.32,Medium,Completed
MNT-000193,EQ-0031,2022-07-13,Inspection,,1.19,249.75,0.0,0.0,249.75,Low,Completed
MNT-000194,EQ-0027,2022-07-15,Preventive,,6.47,1398.03,3182.75,0.0,4580.78,Medium,Completed
MNT-000195,EQ-0024,2022-07-16,Corrective,Pressure Fault,166.15,51103.34,6906.4,9678.39,67688.13,Critical,Completed
MNT-000196,EQ-0039,2022-07-16,Corrective,Bearing Failure,24.47,4833.32,823.89,5895.87,11553.08,High,Completed
MNT-000197,EQ-0007,2022-07-17,Corrective,Fouling,16.0,4827.12,1179.71,0.0,6006.83,High,Completed
MNT-000198,EQ-0014,2022-07-17,Preventive,,6.89,1933.93,170.28,0.0,2104.21,Medium,Completed
MNT-000200,EQ-0042,2022-07-18,Corrective,Seal Leak,10.47,5237.27,417.1,0.0,5654.37,High,Completed
MNT-000201,EQ-0023,2022-07-21,Preventive,,7.86,2129.5,750.99,0.0,2880.49,Medium,Completed
MNT-000202,EQ-0039,2022-07-22,Corrective,Motor Overheating,5.66,1495.32,352.66,0.0,1847.98,High,Completed
MNT-000203,EQ-0009,2022-07-23,Preventive,,2.89,742.51,372.4,0.0,1114.91,Medium,Completed
MNT-000204,EQ-0009,2022-07-23,Inspection,,2.63,713.92,255.9,0.0,969.82,Low,Completed
MNT-000205,EQ-0029,2022-07-23,Corrective,Valve Failure,29.75,12211.18,12944.75,0.0,25155.93,High,Completed
MNT-000206,EQ-0026,2022-07-24,Preventive,,7.24,2011.91,216.9,0.0,2228.81,Medium,Completed
MNT-000207,EQ-0026,2022-07-24,Inspection,,2.13,725.51,108.45,0.0,833.96,Low,Completed
MNT-000208,EQ-0022,2022-07-26,Corrective,Seat Leakage,11.69,2072.8,3964.37,0.0,6037.17,High,Completed
MNT-000209,EQ-0018,2022-07-28,Preventive,,13.42,6944.52,777.48,0.0,7722.0,Medium,Completed
MNT-000210,EQ-0016,2022-08-02,Corrective,Motor Overheating,23.49,7160.98,903.75,0.0,8064.73,High,Completed
MNT-000211,EQ-0034,2022-08-02,Preventive,,8.64,1020.18,14612.15,0.0,15632.33,Medium,Completed
MNT-000212,EQ-0034,2022-08-02,Inspection,,2.13,353.42,0.0,0.0,353.42,Low,Completed
MNT-000213,EQ-0002,2022-08-03,Preventive,,8.09,1979.99,186.2,4934.62,7100.81,Medium,Completed
MNT-000214,EQ-0028,2022-08-03,Corrective,Seal Leak,44.79,9153.29,1011.23,9555.6,19720.12,High,Completed
MNT-000215,EQ-0003,2022-08-04,Preventive,,5.44,1758.53,113.52,0.0,1872.05,Medium,Completed
MNT-000217,EQ-0037,2022-08-06,Inspection,,1.9,540.46,50.38,0.0,590.84,Low,Completed
MNT-000218,EQ-0025,2022-08-08,Preventive,,5.71,992.4,209.68,0.0,1202.08,Medium,Completed
MNT-000219,EQ-0010,2022-08-10,Preventive,,2.71,596.23,724.11,0.0,1320.34,Medium,Completed
MNT-000220,EQ-0010,2022-08-10,Inspection,,1.31,206.2,500.66,0.0,706.86,Low,Completed
MNT-000221,EQ-0028,2022-08-12,Preventive,,5.91,1387.31,12672.1,0.0,14059.41,Medium,Completed
MNT-000222,EQ-0028,2022-08-12,Corrective,Motor Overheating,54.11,12781.59,3405.55,0.0,16187.14,Critical,Completed
MNT-000223,EQ-0036,2022-08-15,Preventive,,8.57,2966.52,542.25,0.0,3508.77,Medium,Completed
MNT-000224,EQ-0039,2022-08-16,Preventive,,5.74,1293.12,1930.96,0.0,3224.08,Medium,Completed
MNT-000225,EQ-0039,2022-08-16,Inspection,,1.6,342.85,0.0,0.0,342.85,Low,Completed
MNT-000226,EQ-0016,2022-08-17,Preventive,,4.97,1173.91,10861.8,0.0,12035.71,Medium,Completed
MNT-000227,EQ-0016,2022-08-17,Inspection,,2.43,490.85,0.0,0.0,490.85,Low,Completed
MNT-000228,EQ-0019,2022-08-18,Corrective,Level Control Fault,70.93,17419.71,6613.96,0.0,24033.67,Critical,Completed
MNT-000229,EQ-0032,2022-08-18,Preventive,,5.52,1460.19,10804.0,0.0,12264.19,Medium,Completed
MNT-000230,EQ-0013,2022-08-19,Preventive,,4.89,922.04,139.65,0.0,1061.69,Medium,Completed
MNT-000231,EQ-0030,2022-08-19,Corrective,Overheating,54.33,24882.14,11084.6,9250.9,45217.64,Critical,Completed
MNT-000232,EQ-0042,2022-08-20,Preventive,,9.96,5009.63,9376.85,0.0,14386.48,Medium,Completed
MNT-000233,EQ-0045,2022-08-22,Corrective,Electrical Fault,7.82,1898.98,657.37,7266.39,9822.74,High,Completed
MNT-000234,EQ-0001,2022-08-24,Preventive,,4.13,876.89,3385.65,0.0,4262.54,Medium,Completed
MNT-000235,EQ-0030,2022-08-24,Preventive,,9.61,3631.46,17534.58,0.0,21166.04,Medium,Completed
MNT-000236,EQ-0006,2022-08-27,Corrective,Valve Failure,31.71,13833.64,1090.1,0.0,14923.74,High,Completed
MNT-000237,EQ-0035,2022-08-28,Preventive,,5.58,1794.98,374.68,0.0,2169.66,Medium,Completed
MNT-000238,EQ-0035,2022-08-28,Inspection,,1.21,318.64,0.0,0.0,318.64,Low,Completed
MNT-000239,EQ-0011,2022-08-30,Preventive,,7.86,2184.75,282.16,0.0,2466.91,Medium,Completed
