timestamp,equipment_id,temperature_c,pressure_psi,vibration_mm_s,flow_rate,energy_consumption_kwh,operating_hours
2022-01-12 06:00:00,EQ-0001,65.06,899.5,2.659,85.17,1163.9,12.0
2022-01-12 18:00:00,EQ-0001,65.77,894.4,2.7,92.96,1248.0,12.0
2022-01-13 06:00:00,EQ-0001,65.7,933.2,2.626,86.39,1179.1,12.0
2022-01-13 18:00:00,EQ-0001,65.6,909.3,2.771,90.25,1149.1,12.0
2022-01-14 06:00:00,EQ-0001,65.89,867.9,2.444,90.4,1128.2,12.0
2022-01-14 18:00:00,EQ-0001,65.09,903.8,2.626,,1172.7,12.0
2022-01-15 06:00:00,EQ-0001,62.15,895.7,2.364,92.17,1160.5,12.0
2022-01-15 18:00:00,EQ-0001,61.98,894.1,2.523,88.97,1209.3,12.0
2022-01-16 06:00:00,EQ-0001,,903.7,2.171,90.14,1194.4,12.0
2022-01-16 18:00:00,EQ-0001,62.89,882.6,2.434,92.39,1219.5,12.0
2022-01-17 06:00:00,EQ-0001,64.84,899.4,2.322,85.66,1253.2,12.0
2022-01-17 18:00:00,EQ-0001,65.08,880.6,2.323,91.37,1239.5,12.0
2022-01-18 06:00:00,EQ-0001,65.12,896.5,2.431,89.32,1170.0,12.0
2022-01-18 18:00:00,EQ-0001,64.68,879.5,2.277,90.48,1128.9,12.0
2022-01-19 06:00:00,EQ-0001,63.5,909.3,2.423,89.97,1202.9,12.0
2022-01-19 18:00:00,EQ-0001,64.36,876.3,2.291,84.46,1221.3,12.0
2022-01-20 06:00:00,EQ-0001,66.66,910.9,2.284,73.36,978.5,9.7
2022-01-20 18:00:00,EQ-0001,67.74,895.5,2.57,73.31,959.7,9.7
2022-01-21 06:00:00,EQ-0001,64.58,892.4,2.492,86.5,1299.7,12.0
2022-01-21 18:00:00,EQ-0001,66.84,898.9,2.361,91.94,1222.8,12.0
2022-01-22 06:00:00,EQ-0001,67.41,894.8,2.236,90.94,1254.3,12.0
2022-01-22 18:00:00,EQ-0001,64.78,906.4,2.198,93.81,1119.1,12.0
2022-01-23 06:00:00,EQ-0001,65.13,903.6,2.018,87.36,1217.7,12.0
2022-01-23 18:00:00,EQ-0001,65.81,911.8,1.767,92.8,1222.8,12.0
2022-01-24 06:00:00,EQ-0001,67.02,907.4,2.093,90.21,1236.6,12.0
2022-01-24 18:00:00,EQ-0001,65.92,901.7,1.933,92.77,1216.1,12.0
2022-01-25 06:00:00,EQ-0001,67.35,893.8,2.19,87.81,1199.1,12.0
2022-01-25 18:00:00,EQ-0001,65.84,923.2,2.056,89.27,1182.1,12.0
2022-01-26 06:00:00,EQ-0001,66.12,922.7,1.981,92.67,1260.5,12.0
2022-01-26 18:00:00,EQ-0001,66.39,894.5,2.025,90.67,1237.6,12.0
2022-01-27 06:00:00,EQ-0001,66.59,900.4,2.198,93.5,1241.1,12.0
2022-01-27 18:00:00,EQ-0001,66.74,874.9,2.576,92.27,1144.1,12.0
2022-01-28 06:00:00,EQ-0001,65.19,905.8,2.494,94.24,1232.9,12.0
2022-01-28 18:00:00,EQ-0001,64.07,901.1,2.489,90.02,1243.7,12.0
2022-01-29 06:00:00,EQ-0001,63.64,902.7,2.489,89.65,1234.7,12.0
2022-01-29 18:00:00,EQ-0001,62.8,887.0,2.606,92.88,1200.1,12.0
2022-01-30 06:00:00,EQ-0001,62.65,900.8,2.563,95.28,1208.9,12.0
2022-01-30 18:00:00,EQ-0001,64.7,925.5,2.443,88.92,1152.7,12.0
2022-01-31 06:00:00,EQ-0001,63.44,903.8,2.248,86.53,1258.0,12.0
2022-01-31 18:00:00,EQ-0001,64.17,891.5,2.19,91.19,1287.8,12.0
2022-02-01 06:00:00,EQ-0001,65.04,897.3,2.07,93.84,1230.2,12.0
2022-02-01 18:00:00,EQ-0001,64.66,894.3,2.498,86.96,1170.8,12.0
2022-02-02 06:00:00,EQ-0001,66.11,903.8,2.533,88.11,1179.4,12.0
2022-02-02 18:00:00,EQ-0001,63.74,895.6,2.442,90.56,1158.7,12.0
2022-02-03 06:00:00,EQ-0001,63.28,920.1,2.289,86.59,1250.0,12.0
2022-02-03 18:00:00,EQ-0001,65.66,905.9,2.294,90.34,1163.4,12.0
2022-02-04 06:00:00,EQ-0001,65.15,895.6,2.442,90.68,1233.9,12.0
2022-02-04 18:00:00,EQ-0001,65.16,889.2,2.566,94.34,1212.5,12.0
2022-02-05 06:00:00,EQ-0001,63.39,882.8,2.504,88.66,1257.5,12.0
2022-02-05 18:00:00,EQ-0001,62.33,907.3,2.328,83.91,1269.1,12.0
06-Feb-2022 06:00,EQ-0001,63.63,899.7,2.237,95.06,1224.1,12.0
2022-02-06 18:00:00,EQ-0001,65.75,920.0,2.281,91.43,1144.2,12.0
2022-02-07 06:00:00,EQ-0001,63.97,881.6,2.386,92.1,1233.6,12.0
2022-02-07 18:00:00,EQ-0001,64.97,919.5,2.127,89.88,1127.7,12.0
2022-02-08 06:00:00,EQ-0001,66.07,911.4,2.469,92.95,1186.7,12.0
2022-02-08 18:00:00,EQ-0001,64.52,890.4,2.325,92.61,1262.3,12.0
2022-02-09 06:00:00,EQ-0001,65.54,908.3,2.412,88.97,1215.5,12.0
2022-02-09 18:00:00,EQ-0001,67.22,908.8,2.366,92.01,1136.4,12.0
2022-02-10 06:00:00,EQ-0001,67.45,914.2,2.283,87.1,1215.5,12.0
2022-02-10 18:00:00,EQ-0001,65.65,934.1,2.306,80.09,1255.0,12.0
2022-02-11 06:00:00,EQ-0001,64.77,912.7,2.386,91.55,1196.6,12.0
2022-02-11 18:00:00,EQ-0001,66.0,907.9,2.386,87.43,1272.0,12.0
2022-02-12 06:00:00,EQ-0001,67.09,905.3,2.605,83.68,1214.6,12.0
2022-02-12 18:00:00,EQ-0001,64.58,915.2,2.353,92.88,1222.2,12.0
2022-02-13 06:00:00,EQ-0001,65.64,897.7,2.492,88.34,1251.5,12.0
2022-02-13 18:00:00,EQ-0001,64.29,909.4,2.521,92.98,1158.8,12.0
2022-02-14 06:00:00,EQ-0001,62.33,902.8,2.521,88.52,1195.9,12.0
2022-02-14 18:00:00,EQ-0001,61.92,899.1,2.299,90.48,1240.2,12.0
2022-02-15 06:00:00,EQ-0001,63.93,895.5,2.334,86.36,1121.6,12.0
2022-02-15 18:00:00,EQ-0001,62.72,891.9,2.302,88.11,1248.8,12.0
2022-02-16 06:00:00,EQ-0001,63.88,903.9,2.478,88.97,1233.0,12.0
2022-02-16 18:00:00,EQ-0001,63.64,902.8,2.43,84.19,1221.1,12.0
2022-02-17 06:00:00,EQ-0001,62.72,898.5,2.387,94.34,1264.0,12.0
2022-02-17 18:00:00,EQ-0001,64.31,901.7,2.313,86.28,1184.3,12.0
2022-02-18 06:00:00,EQ-0001,63.06,906.7,2.307,87.77,1148.1,12.0
2022-02-18 18:00:00,EQ-0001,64.72,887.9,2.395,93.31,1280.3,12.0
2022-02-19 06:00:00,EQ-0001,65.26,908.8,2.21,91.04,1144.6,12.0
2022-02-19 18:00:00,EQ-0001,63.53,900.4,2.244,92.49,1257.4,12.0
2022-02-20 06:00:00,EQ-0001,65.25,920.0,2.088,93.12,1205.8,12.0
2022-02-20 18:00:00,EQ-0001,64.03,891.3,2.296,92.28,1237.7,12.0
2022-02-21 06:00:00,EQ-0001,66.15,905.2,2.463,91.29,1143.9,12.0
2022-02-21 18:00:00,EQ-0001,67.09,908.0,2.33,89.12,1167.1,12.0
2022-02-22 06:00:00,EQ-0001,64.77,898.2,2.478,88.41,1234.4,12.0
2022-02-22 18:00:00,EQ-0001,64.8,908.7,2.647,95.26,1223.2,12.0
2022-02-23 06:00:00,EQ-0001,64.01,882.3,2.571,91.74,1161.9,12.0
2022-02-23 18:00:00,EQ-0001,65.44,910.3,2.489,91.7,1199.2,12.0
2022-02-24 06:00:00,EQ-0001,63.91,899.6,2.663,90.05,1142.8,12.0
2022-02-24 18:00:00,EQ-0001,65.39,913.6,2.586,93.21,1161.4,12.0
2022-02-25 06:00:00,EQ-0001,66.3,901.6,2.57,93.47,1168.2,12.0
2022-02-25 18:00:00,EQ-0001,67.92,896.5,2.564,88.1,1125.9,12.0
2022-02-26 06:00:00,EQ-0001,67.84,895.4,2.515,94.43,1193.8,12.0
2022-02-26 18:00:00,EQ-0001,65.78,912.2,2.387,93.84,1180.1,12.0
2022-02-27 06:00:00,EQ-0001,67.65,909.2,1.984,83.78,1262.2,12.0
2022-02-27 18:00:00,EQ-0001,68.19,887.9,2.125,92.57,1143.0,12.0
2022-02-28 06:00:00,EQ-0001,66.08,895.9,2.277,93.85,1206.9,12.0
2022-02-28 18:00:00,EQ-0001,64.84,900.1,2.316,87.76,1206.6,12.0
2022-03-01 06:00:00,EQ-0001,65.14,915.0,2.063,94.21,1128.4,12.0
2022-03-01 18:00:00,EQ-0001,66.52,892.2,1.967,87.92,1062.4,12.0
2022-03-02 06:00:00,EQ-0001,65.31,910.0,2.055,88.66,1164.8,12.0
2022-03-02 18:00:00,EQ-0001,63.96,901.1,2.047,91.04,1268.7,12.0
2022-03-03 06:00:00,EQ-0001,63.51,919.7,2.177,90.1,1228.7,12.0
2022-03-03 18:00:00,EQ-0001,64.81,873.3,2.402,90.35,1184.3,12.0
2022-03-04 06:00:00,EQ-0001,62.93,893.8,2.569,88.87,1175.2,12.0
2022-03-04 18:00:00,EQ-0001,63.95,903.6,2.479,86.42,1222.6,12.0
2022-03-05 06:00:00,EQ-0001,63.58,903.5,2.511,89.95,1195.8,12.0
2022-03-05 18:00:00,EQ-0001,66.36,891.4,2.448,92.48,1272.0,12.0
2022-03-06 06:00:00,EQ-0001,64.09,884.1,2.387,86.59,1202.8,12.0
2022-03-06 18:00:00,EQ-0001,63.18,897.8,2.34,89.92,1208.3,12.0
2022-03-07 06:00:00,EQ-0001,61.4,904.2,2.35,89.78,1180.6,12.0
2022-03-07 18:00:00,EQ-0001,64.0,871.7,2.353,88.22,1145.6,12.0
2022-03-08 06:00:00,EQ-0001,63.2,890.3,2.195,91.04,1239.0,12.0
2022-03-08 18:00:00,EQ-0001,66.63,887.8,2.158,91.18,1194.8,12.0
2022-03-09 06:00:00,EQ-0001,66.36,916.9,2.25,87.53,1224.6,12.0
2022-03-09 18:00:00,EQ-0001,63.46,904.5,2.124,90.11,1191.2,12.0
2022-03-10 06:00:00,EQ-0001,63.55,897.9,2.228,91.86,1151.8,12.0
2022-03-10 18:00:00,EQ-0001,63.61,912.7,2.342,93.49,1200.6,12.0
2022-03-11 06:00:00,EQ-0001,62.02,888.2,2.412,84.68,1210.4,12.0
2022-03-11 18:00:00,EQ-0001,64.78,865.4,2.153,92.68,1139.6,12.0
2022-03-12 06:00:00,EQ-0001,64.28,904.7,2.172,93.18,1205.6,12.0
2022-03-12 18:00:00,EQ-0001,66.35,913.1,2.451,89.33,1160.6,12.0
2022-03-13 06:00:00,EQ-0001,63.3,884.7,2.42,91.25,1079.1,12.0
2022-03-13 18:00:00,EQ-0001,64.37,872.6,2.335,87.97,1202.6,12.0
2022-03-14 06:00:00,EQ-0001,65.31,923.7,2.218,90.65,1193.8,12.0
2022-03-14 18:00:00,EQ-0001,63.85,895.7,2.149,92.51,1187.5,12.0
2022-03-15 06:00:00,EQ-0001,64.7,918.0,1.977,94.78,1195.1,12.0
2022-03-15 18:00:00,EQ-0001,65.17,896.8,2.34,93.39,1217.1,12.0
2022-03-16 06:00:00,EQ-0001,63.98,903.0,2.103,90.33,1287.4,12.0
2022-03-16 18:00:00,EQ-0001,63.43,898.4,2.331,91.96,1172.5,12.0
2022-03-17 06:00:00,EQ-0001,63.18,879.6,2.469,85.32,1118.1,12.0
2022-03-17 18:00:00,EQ-0001,64.0,878.6,2.55,90.24,1189.4,12.0
2022-03-18 06:00:00,EQ-0001,63.84,873.5,2.313,92.47,1145.7,12.0
2022-03-18 18:00:00,EQ-0001,66.59,932.9,2.154,90.65,1190.7,12.0
2022-03-19 06:00:00,EQ-0001,64.12,901.4,2.39,88.53,1115.0,12.0
2022-03-19 18:00:00,EQ-0001,63.31,903.6,2.384,87.0,1266.6,12.0
2022-03-20 06:00:00,EQ-0001,62.26,882.7,2.353,89.31,1167.3,12.0
2022-03-20 18:00:00,EQ-0001,63.22,879.2,2.454,86.57,1192.0,12.0
2022-03-21 06:00:00,EQ-0001,65.38,885.3,2.263,94.63,1154.6,12.0
2022-03-21 18:00:00,EQ-0001,66.28,902.3,2.442,84.33,1138.4,12.0
2022-03-22 06:00:00,EQ-0001,65.92,883.2,2.4,88.09,1223.4,12.0
22-Mar-2022 18:00,EQ-0001,65.33,901.1,2.371,91.46,1130.3,12.0
2022-03-23 06:00:00,EQ-0001,65.32,898.6,2.281,86.55,1240.5,12.0
2022-03-23 18:00:00,EQ-0001,67.61,887.1,2.352,93.72,1270.4,12.0
2022-03-24 06:00:00,EQ-0001,68.53,902.3,2.454,88.94,1289.3,12.0
2022-03-24 18:00:00,EQ-0001,66.27,900.8,2.524,90.93,1201.7,12.0
2022-03-25 06:00:00,EQ-0001,67.78,884.0,2.643,85.36,1198.5,12.0
2022-03-25 18:00:00,EQ-0001,68.13,892.0,2.701,90.27,1179.5,12.0
2022-03-26 06:00:00,EQ-0001,66.67,887.7,2.736,89.53,1238.5,12.0
2022-03-26 18:00:00,EQ-0001,67.77,858.7,3.077,89.17,1174.1,12.0
2022-03-27 06:00:00,EQ-0001,74.48,885.2,3.48,44.33,662.2,6.08
2022-03-27 18:00:00,EQ-0001,75.54,881.2,3.717,43.75,613.0,6.08
2022-03-28 06:00:00,EQ-0001,70.64,854.5,3.616,84.96,1258.6,12.0
2022-03-28 18:00:00,EQ-0001,73.25,867.7,3.57,83.72,1269.8,12.0
2022-03-29 06:00:00,EQ-0001,74.26,855.9,3.829,87.2,1184.2,12.0
2022-03-29 18:00:00,EQ-0001,75.79,834.3,3.804,85.09,1159.1,12.0
2022-03-30 06:00:00,EQ-0001,45.35,895.3,0.348,9.14,132.0,1.28
2022-03-30 18:00:00,EQ-0001,44.79,892.0,0.326,9.3,132.6,1.28
2022-03-31 06:00:00,EQ-0001,64.35,901.6,2.139,93.44,1304.5,12.0
2022-03-31 18:00:00,EQ-0001,64.6,883.8,2.218,92.22,1203.3,12.0
2022-04-01 06:00:00,EQ-0001,65.65,908.4,2.088,92.34,1137.9,12.0
2022-04-01 18:00:00,EQ-0001,65.53,903.8,999.0,87.79,1216.5,12.0
2022-04-02 06:00:00,EQ-0001,66.24,902.7,2.409,94.84,1242.4,12.0
2022-04-02 18:00:00,EQ-0001,62.48,925.7,2.402,89.73,1281.5,12.0
2022-04-03 06:00:00,EQ-0001,62.58,898.7,2.417,90.64,1230.5,12.0
2022-04-03 18:00:00,EQ-0001,63.4,890.1,2.693,90.19,1159.1,12.0
2022-04-04 06:00:00,EQ-0001,65.58,882.8,2.58,87.34,1140.6,12.0
2022-04-04 18:00:00,EQ-0001,64.82,911.6,2.444,91.15,1160.9,12.0
2022-04-05 06:00:00,EQ-0001,65.1,889.8,2.292,88.46,1194.8,12.0
2022-04-05 18:00:00,EQ-0001,66.12,894.7,2.564,87.44,1247.4,12.0
2022-04-06 06:00:00,EQ-0001,64.19,893.7,2.407,94.64,1156.9,12.0
2022-04-06 18:00:00,EQ-0001,64.01,890.7,2.404,86.35,1129.1,12.0
2022-04-07 06:00:00,EQ-0001,63.61,902.5,2.536,86.16,1251.7,12.0
2022-04-07 18:00:00,EQ-0001,63.54,904.8,2.306,86.11,1198.5,12.0
2022-04-08 06:00:00,EQ-0001,62.63,894.0,2.414,93.9,1190.1,12.0
2022-04-08 18:00:00,EQ-0001,62.3,926.7,2.325,87.58,1190.2,12.0
2022-04-09 06:00:00,EQ-0001,65.01,907.2,2.086,92.86,1192.3,12.0
2022-04-09 18:00:00,EQ-0001,64.19,897.6,2.052,90.73,1194.1,12.0
2022-04-10 06:00:00,EQ-0001,62.23,897.2,2.355,91.64,1191.3,12.0
2022-04-10 18:00:00,EQ-0001,63.18,894.3,2.379,90.42,1227.3,12.0
2022-04-11 06:00:00,EQ-0001,63.15,888.3,2.289,86.41,,12.0
2022-04-11 18:00:00,EQ-0001,64.47,915.9,2.271,89.95,1169.4,12.0
2022-04-12 06:00:00,EQ-0001,66.38,913.7,2.093,90.26,1267.6,12.0
2022-04-12 18:00:00,EQ-0001,67.12,911.3,2.211,92.8,1185.5,12.0
2022-04-13 06:00:00,EQ-0001,67.31,893.3,2.123,87.88,1211.0,12.0
2022-04-13 18:00:00,EQ-0001,65.82,895.7,2.266,92.65,1226.3,12.0
2022-04-14 06:00:00,EQ-0001,67.95,879.4,2.261,91.4,1186.4,12.0
2022-04-14 18:00:00,EQ-0001,66.85,882.7,2.252,92.14,1183.0,12.0
15-Apr-2022 06:00,EQ-0001,65.98,927.4,2.439,88.63,1221.3,12.0
2022-04-15 18:00:00,EQ-0001,65.71,902.3,2.507,87.81,1247.0,12.0
2022-04-16 06:00:00,EQ-0001,65.78,903.6,2.469,91.54,1229.8,12.0
2022-04-16 18:00:00,EQ-0001,65.31,896.8,2.41,95.4,1220.5,12.0
2022-04-17 06:00:00,EQ-0001,65.01,903.6,2.395,92.38,1176.5,12.0
2022-04-17 18:00:00,EQ-0001,64.51,886.9,2.31,89.87,1153.5,12.0
2022-04-18 06:00:00,EQ-0001,63.04,907.8,2.742,94.18,1162.5,12.0
2022-04-18 18:00:00,EQ-0001,62.4,898.5,2.583,91.99,1203.8,12.0
2022-04-19 06:00:00,EQ-0001,63.18,915.4,2.451,87.87,1250.3,12.0
2022-04-19 18:00:00,EQ-0001,65.49,895.5,2.356,85.1,1234.8,12.0
2022-04-20 06:00:00,EQ-0001,63.79,900.1,2.293,88.37,1225.1,12.0
2022-04-20 18:00:00,EQ-0001,66.94,915.0,2.282,90.11,1195.5,12.0
2022-04-21 06:00:00,EQ-0001,64.88,889.8,2.388,89.76,1170.9,12.0
2022-04-21 18:00:00,EQ-0001,66.43,900.5,2.339,89.92,1207.5,12.0
2022-04-22 06:00:00,EQ-0001,66.4,905.0,2.388,89.92,1293.7,12.0
2022-04-22 18:00:00,EQ-0001,64.81,897.3,2.248,90.75,1125.1,12.0
2022-04-23 06:00:00,EQ-0001,63.64,916.1,2.271,88.55,1215.0,12.0
2022-04-23 18:00:00,EQ-0001,64.79,887.7,2.313,88.07,1220.1,12.0
2022-04-24 06:00:00,EQ-0001,65.41,888.1,2.305,89.16,1260.2,12.0
2022-04-24 18:00:00,EQ-0001,67.47,923.1,2.329,88.95,1194.1,12.0
2022-04-25 06:00:00,EQ-0001,68.28,900.4,2.52,92.0,1131.8,12.0
2022-04-25 18:00:00,EQ-0001,67.83,905.1,2.445,90.77,1168.7,12.0
2022-04-26 06:00:00,EQ-0001,67.15,882.1,2.053,89.55,1191.5,12.0
2022-04-26 18:00:00,EQ-0001,66.34,904.8,2.179,88.21,1211.3,12.0
2022-04-27 06:00:00,EQ-0001,63.9,900.3,2.332,88.54,1254.4,12.0
2022-04-27 18:00:00,EQ-0001,62.31,909.8,2.636,93.62,1269.5,12.0
2022-04-28 06:00:00,EQ-0001,63.95,887.5,2.377,87.4,1174.2,12.0
2022-04-28 18:00:00,EQ-0001,66.17,917.6,2.299,92.1,1186.2,12.0
2022-04-29 06:00:00,EQ-0001,65.83,915.6,2.45,88.46,1152.6,12.0
2022-04-29 18:00:00,EQ-0001,62.95,901.3,2.28,88.18,1210.9,12.0
2022-04-30 06:00:00,EQ-0001,66.03,902.7,2.313,92.36,1188.0,12.0
2022-04-30 18:00:00,EQ-0001,66.46,875.3,2.281,87.49,1176.6,12.0
2022-05-01 06:00:00,EQ-0001,65.45,913.5,2.427,95.53,1208.9,12.0
2022-05-01 18:00:00,EQ-0001,67.38,901.8,2.384,92.86,1263.1,12.0
2022-05-02 06:00:00,EQ-0001,64.48,907.5,2.522,97.51,1121.4,12.0
2022-05-02 18:00:00,EQ-0001,63.86,911.1,2.638,86.98,1189.6,12.0
2022-05-03 06:00:00,EQ-0001,63.2,907.4,2.568,90.22,1231.4,12.0
2022-05-03 18:00:00,EQ-0001,63.12,911.4,2.397,88.31,1279.0,12.0
2022-05-04 06:00:00,EQ-0001,64.36,906.2,2.531,90.6,1260.5,12.0
2022-05-04 18:00:00,EQ-0001,64.49,888.4,2.352,85.14,1298.8,12.0
2022-05-05 06:00:00,EQ-0001,64.14,899.4,2.305,91.64,1242.3,12.0
2022-05-05 18:00:00,EQ-0001,66.22,893.9,2.277,92.05,1238.4,12.0
2022-05-06 06:00:00,EQ-0001,62.87,910.9,2.413,92.37,1242.9,12.0
2022-05-06 18:00:00,EQ-0001,66.27,909.7,2.189,88.94,1150.9,12.0
2022-05-07 06:00:00,EQ-0001,65.9,899.5,2.312,91.47,1146.7,12.0
2022-05-07 18:00:00,EQ-0001,62.29,921.4,2.334,84.71,1146.4,12.0
2022-05-08 06:00:00,EQ-0001,64.08,914.6,2.446,84.83,1253.0,12.0
2022-05-08 18:00:00,EQ-0001,64.31,905.0,2.272,92.52,1219.6,12.0
2022-05-09 06:00:00,EQ-0001,63.21,900.2,2.108,91.26,1196.3,12.0
2022-05-09 18:00:00,EQ-0001,63.11,884.9,1.887,93.35,1207.3,12.0
2022-05-10 06:00:00,EQ-0001,63.8,898.1,2.242,89.25,1251.5,12.0
2022-05-10 18:00:00,EQ-0001,64.28,885.0,2.457,90.07,1178.0,12.0
2022-05-11 06:00:00,EQ-0001,64.89,883.0,2.662,88.02,1272.7,12.0
2022-05-11 18:00:00,EQ-0001,63.5,892.5,2.518,93.37,1162.7,12.0
2022-05-12 06:00:00,EQ-0001,63.47,880.2,2.42,89.43,1197.1,12.0
2022-05-12 18:00:00,EQ-0001,64.8,900.0,2.478,89.58,1187.9,12.0
2022-05-13 06:00:00,EQ-0001,65.33,888.2,2.518,90.66,1176.2,12.0
2022-05-13 18:00:00,EQ-0001,66.03,889.4,2.249,92.77,1193.2,12.0
2022-05-14 06:00:00,EQ-0001,65.66,918.3,2.27,90.06,1173.2,12.0
2022-05-14 18:00:00,EQ-0001,65.42,918.1,2.316,90.51,1238.0,12.0
2022-05-15 06:00:00,EQ-0001,67.03,888.3,2.392,98.36,1171.9,12.0
2022-05-15 18:00:00,EQ-0001,65.92,900.3,2.391,85.85,1180.3,12.0
2022-05-16 06:00:00,EQ-0001,67.7,889.7,2.168,89.38,1133.0,12.0
2022-05-16 18:00:00,EQ-0001,65.17,925.6,2.321,91.4,1277.6,12.0
2022-05-17 06:00:00,EQ-0001,63.72,906.9,2.229,92.82,1124.8,12.0
2022-05-17 18:00:00,EQ-0001,66.5,911.0,2.23,86.1,1168.5,12.0
2022-05-18 06:00:00,EQ-0001,67.31,904.8,2.064,65.92,878.1,8.35
2022-05-18 18:00:00,EQ-0001,66.38,900.5,2.065,61.28,828.3,8.35
2022-05-19 06:00:00,EQ-0001,62.96,919.2,2.171,88.07,1225.6,12.0
2022-05-19 18:00:00,EQ-0001,64.9,878.7,2.207,92.5,1162.0,12.0
2022-05-20 06:00:00,EQ-0001,65.99,888.2,2.152,93.12,1135.7,12.0
20-May-2022 18:00,EQ-0001,66.21,886.7,2.371,90.0,1193.4,12.0
2022-05-21 06:00:00,EQ-0001,65.45,922.0,2.615,92.63,1255.2,12.0
2022-05-21 18:00:00,EQ-0001,63.66,921.3,2.528,91.15,1133.7,12.0
22-May-2022 06:00,EQ-0001,62.31,915.0,2.148,87.72,1189.8,12.0
2022-05-22 18:00:00,EQ-0001,62.71,889.8,2.121,90.28,1169.6,12.0
2022-05-23 06:00:00,EQ-0001,63.81,916.5,2.3,86.67,1214.3,12.0
2022-05-23 18:00:00,EQ-0001,64.19,889.9,2.333,93.3,1198.7,12.0
2022-05-24 06:00:00,EQ-0001,65.48,906.2,2.309,90.92,1196.3,12.0
2022-05-24 18:00:00,EQ-0001,65.06,903.4,2.412,93.99,1166.0,12.0
2022-05-25 06:00:00,EQ-0001,66.54,897.6,2.412,92.63,1257.1,12.0
2022-05-25 18:00:00,EQ-0001,63.98,907.5,2.551,94.5,1253.8,12.0
2022-05-26 06:00:00,EQ-0001,64.06,907.2,2.378,92.3,1168.6,12.0
2022-05-26 18:00:00,EQ-0001,63.63,901.8,2.415,90.03,1220.9,12.0
2022-05-27 06:00:00,EQ-0001,64.12,904.3,2.26,85.5,1182.0,12.0
2022-05-27 18:00:00,EQ-0001,66.25,900.6,2.086,90.33,1202.2,12.0
2022-05-28 06:00:00,EQ-0001,64.05,894.1,1.977,95.12,1229.2,12.0
2022-05-28 18:00:00,EQ-0001,65.06,910.9,1.983,88.12,1201.7,12.0
2022-05-29 06:00:00,EQ-0001,67.28,906.0,2.281,90.59,1120.4,12.0
2022-05-29 18:00:00,EQ-0001,66.78,892.6,1.961,86.88,1232.0,12.0
2022-05-30 06:00:00,EQ-0001,67.74,886.3,1.868,91.0,1223.9,12.0
2022-05-30 18:00:00,EQ-0001,65.31,910.1,2.024,89.9,1074.9,12.0
2022-05-31 06:00:00,EQ-0001,66.23,915.4,2.175,89.64,1246.1,12.0
2022-05-31 18:00:00,EQ-0001,62.85,901.0,2.256,90.04,1225.0,12.0
2022-06-01 06:00:00,EQ-0001,64.32,902.0,2.278,94.55,1210.6,12.0
2022-06-01 18:00:00,EQ-0001,63.19,925.3,2.203,88.17,1172.2,12.0
2022-06-02 06:00:00,EQ-0001,62.53,876.0,2.369,88.43,1177.5,12.0
2022-06-02 18:00:00,EQ-0001,60.7,902.2,2.401,90.42,1165.9,12.0
2022-06-03 06:00:00,EQ-0001,62.74,888.3,2.535,92.2,1154.3,12.0
2022-06-03 18:00:00,EQ-0001,62.84,888.2,2.49,93.71,1142.1,12.0
2022-06-04 06:00:00,EQ-0001,65.1,895.4,2.594,90.62,1140.0,12.0
