date,field_id,cost_category,cost_amount_usd
2022-01-04,FIELD-002,Utilities,5098.22
2022/01/04,FIELD-003,Energy,3440.22
2022-01-04,FIELD-003,Labor,9542.04
2022-01-04,FIELD-003,Maintenance,0.0
2022-01-04,FIELD-003,Other,1756.69
2022-01-04,FIELD-003,Production,9543.9
2022-01-04,FIELD-003,Transportation,1405.53
2022/01/04,FIELD-003,Utilities,5328.26
2022/01/04,FIELD-004,Energy,3331.56
2022-01-04,FIELD-004,Labor,12195.7
2022-01-04,FIELD-004,Maintenance,0.0
2022-01-04,FIELD-004,Other,3681.88
2022-01-04,FIELD-004,Production,16672.85
2022-01-04,FIELD-004,Transportation,4248.66
2022-01-04,FIELD-004,Utilities,6409.19
2022-01-05,FIELD-001,Energy,3473.29
2022-01-05,FIELD-001,Labor,19974.31
2022-01-05,FIELD-001,Maintenance,0.0
20220105,FIELD-001,Other,2470.04
2022-01-05,FIELD-001,Production,37381.85
05-Jan-2022,FIELD-001,Transportation,12683.18
2022-01-05,FIELD-001,Utilities,5537.34
2022-01-05,FIELD-002,Energy,3434.55
2022-01-05,FIELD-002,Labor,14888.64
2022-01-05,FIELD-002,Maintenance,6991.56
05-Jan-2022,FIELD-002,Other,6737.42
2022-01-05,FIELD-002,Production,15843.91
2022-01-05,FIELD-002,Transportation,3282.99
2022-01-05,FIELD-002,Utilities,6659.96
2022-01-05,FIELD-003,Energy,3517.17
2022-01-05,FIELD-003,Labor,9599.22
20220105,FIELD-003,Maintenance,0.0
2022-01-05,FIELD-003,Other,4277.93
2022-01-05,FIELD-003,Prod.,9396.94
2022-01-05,FIELD-003,Transportation,1355.42
05-Jan-2022,FIELD-003,Utilities,6085.42
2022-01-05,FIELD-004,Energy,3337.92
2022-01-05,FIELD-004,Labor,12384.4
2022-01-05,FIELD-004,Maintenance,7146.08
2022-01-05,FIELD-004,Other,6141.47
2022-01-05,FIELD-004,Production,15813.93
2022-01-05,FIELD-004,Transportation,3753.53
05-Jan-2022,FIELD-004,Utilities,5803.96
2022-01-06,FIELD-001,Energy,3537.51
2022/01/06,FIELD-001,Labor,19473.57
2022-01-06,FIELD-001,Maintenance,0.0
2022-01-06,FIELD-001,Other,6015.48
2022-01-06,FIELD-001,Production,38089.13
2022-01-06,FIELD-001,Transportation,14114.73
2022-01-06,FIELD-001,Utilities,5381.3
2022-01-06,FIELD-002,Energy,3359.82
2022-01-06,FIELD-002,Labor,13542.12
2022-01-06,FIELD-002,Maintenance,0.0
2022-01-06,FIELD-002,Other,5571.55
2022-01-06,FIELD-002,Production,18467.86
2022-01-06,FIELD-002,Transportation,4446.56
2022-01-06,FIELD-002,Utilities,6146.03
2022-01-06,FIELD-003,Energy,3343.33
2022-01-06,FIELD-003,Labor,9610.67
20220106,FIELD-003,Maintenance,0.0
2022-01-06,FIELD-003,Other,6127.71
2022-01-06,FIELD-003,Production,9420.03
2022-01-06,FIELD-003,Transportation,1464.99
2022-01-06,FIELD-003,Utilities,5888.69
2022-01-06,FIELD-004,Energy,3351.71
2022-01-06,FIELD-004,Labor,12801.14
2022-01-06,FIELD-004,Maintenance,0.0
2022-01-06,FIELD-004,Other,4699.29
2022-01-06,FIELD-004,Production,16810.15
2022-01-06,FIELD-004,Transportation,4663.35
2022-01-06,FIELD-004,Utilities,6017.9
2022-01-07,FIELD-001,Energy,3406.23
2022-01-07,FIELD-001,Labor,20728.75
2022-01-07,FIELD-001,Maintenance,0.0
2022-01-07,FIELD-001,Other,2260.3
2022-01-07,FIELD-001,Production,37537.15
2022-01-07,FIELD-001,Transportation,12703.67
2022-01-07,FIELD-001,Utilities,6153.38
2022-01-07,FIELD-002,energy ,3504.34
2022-01-07,FIELD-002,Labor,14038.61
2022/01/07,FIELD-002,Maintenance,0.0
2022-01-07,FIELD-002,Other,8132.85
2022-01-07,FIELD-002,Production,18025.11
2022-01-07,FIELD-002,Transportation,5234.47
2022-01-07,FIELD-002,utilities ,6920.14
2022-01-07,FIELD-003,Energy,3406.5
2022-01-07,FIELD-003,Labor,9587.05
2022-01-07,FIELD-003,Maintenance,0.0
2022-01-07,FIELD-003,Other,16841.99
2022-01-07,FIELD-003,Production,9579.4
2022-01-07,FIELD-003,Transportation,1424.44
2022-01-07,FIELD-003,Utilities,5687.61
2022-01-07,FIELD-004,Energy,3388.29
2022-01-07,FIELD-004,Labor,12246.26
2022-01-07,FIELD-004,Maintenance,0.0
2022-01-07,FIELD-004,Other,3537.87
2022-01-07,FIELD-004,Prod.,15701.65
20220107,FIELD-004,Transportation,4354.85
2022-01-07,FIELD-004,Utilities,5336.29
2022-01-08,FIELD-001,Energy,3535.82
2022-01-08,FIELD-001,Labor,19817.5
2022-01-08,FIELD-001,Maintenance,0.0
2022-01-08,FIELD-001,Other,2841.05
2022-01-08,FIELD-001,Production,36855.22
2022-01-08,FIELD-001,Transportation,12686.97
2022-01-08,FIELD-001,Utilities,6406.39
2022-01-08,FIELD-002,Energy,3455.37
2022-01-08,FIELD-002,Labor,13316.93
20220108,FIELD-002,Maintenance,0.0
2022-01-08,FIELD-002,Other,5422.93
20220108,FIELD-002,Production,18272.48
08-Jan-2022,FIELD-002,Transportation,4984.29
2022-01-08,FIELD-002,Utilities,4897.3
2022-01-08,FIELD-003,Energy,3376.22
2022-01-08,FIELD-003,Labor,9224.21
2022-01-08,FIELD-003,Maintenance,0.0
2022-01-08,FIELD-003,Other,3962.11
2022-01-08,FIELD-003,Production,9228.86
2022/01/08,FIELD-003,Transportation,1438.63
2022-01-08,FIELD-003,Utilities,6289.58
2022/01/08,FIELD-004,Energy,3356.41
2022-01-08,FIELD-004,Labor,13128.57
2022-01-08,FIELD-004,Maintenance,0.0
2022-01-08,FIELD-004,Other,6972.09
2022-01-08,FIELD-004,Production,16751.26
2022-01-08,FIELD-004,Transportation,4288.32
2022-01-08,FIELD-004,Utilities,5519.66
2022-01-09,FIELD-001,Energy,3411.92
2022-01-09,FIELD-001,Labor,20290.15
2022-01-09,FIELD-001,Maintenance,0.0
2022-01-09,FIELD-001,Other,9705.25
2022-01-09,FIELD-001,Production,37014.77
2022-01-09,FIELD-001,Transportation,12456.37
2022-01-09,FIELD-001,Utilities,6242.93
2022-01-09,FIELD-002,Energy,3458.36
2022-01-09,FIELD-002,Labor,13070.99
2022-01-09,FIELD-002,Maintenance,0.0
09-Jan-2022,FIELD-002,Other,2145.04
09-Jan-2022,FIELD-002,Production,19072.66
2022-01-09,FIELD-002,Transportation,5204.97
09-Jan-2022,FIELD-002,Utilities,5502.11
2022-01-09,FIELD-003,Energy,3459.83
2022-01-09,FIELD-003,Labor,9602.24
2022-01-09,FIELD-003,Maintenance,0.0
2022/01/09,FIELD-003,Other,4137.19
2022-01-09,FIELD-003,Production,9543.04
20220109,FIELD-003,Transportation,1389.1
2022-01-09,FIELD-003,Utilities,6271.0
2022-01-09,FIELD-004,Energy,3417.0
20220109,FIELD-004,Labor,12074.83
2022-01-09,FIELD-004,Maintenance,0.0
09-Jan-2022,FIELD-004,Other,3208.14
2022-01-09,FIELD-004,Production,16682.72
20220109,FIELD-004,Transportation,4489.48
2022-01-09,FIELD-004,Utilities,5771.58
2022-01-10,FIELD-001,Energy,3475.6
2022-01-10,FIELD-001,Labor,21029.51
2022-01-10,FIELD-001,Maintenance,0.0
10-Jan-2022,FIELD-001,Other,6612.82
2022-01-10,FIELD-001,Production,36807.61
2022-01-10,FIELD-001,Transportation,12404.27
2022-01-10,FIELD-001,Utilities,5770.26
2022-01-10,FIELD-002,Energy,3438.1
2022-01-10,FIELD-002,Labor,13806.42
2022-01-10,FIELD-002,Maintenance,0.0
2022-01-10,FIELD-002,Other,7203.81
10-Jan-2022,FIELD-002,Production,17951.4
20220110,FIELD-002,Transportation,4553.47
2022-01-10,FIELD-002,Utilities,5649.04
2022-01-10,FIELD-003,Energy,3401.24
2022-01-10,FIELD-003,Labor,9137.7
2022-01-10,FIELD-003,Maintenance,0.0
20220110,FIELD-003,Other,4256.69
2022-01-10,FIELD-003,Production,9392.87
2022-01-10,FIELD-003,Transportation,1391.26
2022-01-10,FIELD-003,Utilities,6840.69
2022-01-10,FIELD-004,Energy,3439.82
2022-01-10,FIELD-004,Labor,12380.18
2022-01-10,FIELD-004,Maintenance,0.0
2022-01-10,FIELD-004,Other,1756.94
2022-01-10,FIELD-004,Production,16400.46
2022-01-10,FIELD-004,Transportation,4426.61
2022-01-10,FIELD-004,Utilities,7265.66
2022-01-11,FIELD-001,Energy,3407.63
2022-01-11,FIELD-001,Labor,19856.59
2022-01-11,FIELD-001,Maintenance,11437.66
2022-01-11,FIELD-001,Other,3847.1
2022-01-11,FIELD-001,Production,31810.07
2022-01-11,FIELD-001,Transportation,9592.5
2022-01-11,FIELD-001,Utilities,6194.23
2022-01-11,FIELD-002,Energy,3351.09
2022-01-11,FIELD-002,Labor,14985.1
2022-01-11,FIELD-002,Maintenance,3444.33
2022-01-11,FIELD-002,Other,4770.04
2022-01-11,FIELD-002,Production,16161.51
2022-01-11,FIELD-002,Transportation,4300.15
2022-01-11,FIELD-002,Utilities,5880.81
2022-01-11,FIELD-003,Energy,3391.9
2022-01-11,FIELD-003,Labor,8733.11
2022-01-11,FIELD-003,Maintenance,0.0
2022-01-11,FIELD-003,Other,5444.26
2022-01-11,FIELD-003,Production,9099.92
2022-01-11,FIELD-003,Transportation,1355.9
2022-01-11,FIELD-003,Utilities,5993.87
2022-01-11,FIELD-004,energy ,3411.35
2022-01-11,FIELD-004,Labor,11418.32
2022-01-11,FIELD-004,Maintenance,0.0
2022-01-11,FIELD-004,Other,6257.11
2022/01/11,FIELD-004,Production,16704.49
2022-01-11,FIELD-004,Transportation,4607.91
2022-01-11,FIELD-004,Utilities,5769.52
2022/01/12,FIELD-001,Energy,3428.86
2022-01-12,FIELD-001,Labor,20402.71
2022-01-12,FIELD-001,Maintenance,-0.0
2022-01-12,FIELD-001,Other,1916.32
2022-01-12,FIELD-001,Production,37198.05
2022-01-12,FIELD-001,Transportation,12836.91
2022-01-12,FIELD-001,Utilities,6682.77
2022-01-12,FIELD-002,Energy,2301.96
2022-01-12,FIELD-002,Labor,14331.62
2022-01-12,FIELD-002,Maintenance,18802.28
2022-01-12,FIELD-002,Other,5800.88
2022-01-12,FIELD-002,Production,13477.57
2022-01-12,FIELD-002,transport,2106.03
2022-01-12,FIELD-002,Utilities,7053.39
2022-01-12,FIELD-003,Energy,3356.24
20220112,FIELD-003,Labor,9184.11
2022-01-12,FIELD-003,Maintenance,0.0
2022-01-12,FIELD-003,Other,4232.41
2022/01/12,FIELD-003,Production,9302.15
2022-01-12,FIELD-003,Transportation,1306.68
12-Jan-2022,FIELD-003,Utilities,6348.02
2022-01-12,FIELD-004,Energy,3370.83
12-Jan-2022,FIELD-004,Labor,12071.61
2022-01-12,FIELD-004,Maintenance,0.0
20220112,FIELD-004,Other,3239.52
2022-01-12,FIELD-004,Production,16932.9
2022-01-12,FIELD-004,Transportation,4488.5
12-Jan-2022,FIELD-004,Utilities,5583.88
2022-01-13,FIELD-001,Energy,3316.41
2022-01-13,FIELD-001,Labor,20806.16
2022-01-13,FIELD-001,Maintenance,4648.26
2022-01-13,FIELD-001,Other,6258.11
2022-01-13,FIELD-001,Production,36569.92
2022-01-13,FIELD-001,Transportation,12536.93
2022-01-13,FIELD-001,Utilities,5986.0
2022-01-13,FIELD-002,Energy,2505.99
2022-01-13,FIELD-002,Labor,13664.8
2022-01-13,FIELD-002,Maintenance,2425.47
2022-01-13,FIELD-002,Other,7898.92
2022-01-13,FIELD-002,Production,13735.65
2022-01-13,FIELD-002,Transportation,2231.74
2022-01-13,FIELD-002,Utilities,5317.11
2022-01-13,FIELD-003,Energy,3394.53
2022-01-13,FIELD-003,Labor,9684.93
2022-01-13,FIELD-003,Maintenance,0.0
2022-01-13,FIELD-003,Other,3289.66
2022-01-13,FIELD-003,Production,9513.7
2022-01-13,FIELD-003,Transportation,1456.74
2022-01-13,FIELD-003,Utilities,5871.67
2022-01-13,FIELD-004,Energy,3408.08
2022-01-13,FIELD-004,Labor,13458.06
2022-01-13,FIELD-004,Maintenance,3070.95
2022-01-13,FIELD-004,Other,2216.39
2022-01-13,FIELD-004,Production,15740.36
2022-01-13,FIELD-004,Transportation,4310.57
2022-01-13,FIELD-004,Utilities,7321.45
2022-01-14,FIELD-001,Energy,3457.2
2022-01-14,FIELD-001,Labor,19668.82
2022-01-14,FIELD-001,Maintenance,0.0
2022-01-14,FIELD-001,Other,4047.61
2022-01-14,FIELD-001,Production,36749.61
14-Jan-2022,FIELD-001,Transportation,13209.42
20220114,FIELD-001,Utilities,5507.82
2022-01-14,FIELD-002,Energy,3437.02
2022-01-14,FIELD-002,Labor,14129.01
2022-01-14,FIELD-002,Maintenance,0.0
2022-01-14,FIELD-002,Other,4463.37
2022-01-14,FIELD-002,Production,18153.49
2022/01/14,FIELD-002,Transportation,4512.16
2022-01-14,FIELD-002,Utilities,5837.59
2022-01-14,FIELD-003,Energy,3368.22
2022-01-14,FIELD-003,Labor,9009.98
2022-01-14,FIELD-003,Maintenance,11267.7
2022-01-14,FIELD-003,Other,3705.09
2022-01-14,FIELD-003,Production,8732.38
2022-01-14,FIELD-003,Transportation,1113.71
2022-01-14,FIELD-003,Utilities,6487.46
2022-01-14,FIELD-004,energy ,3476.8
2022-01-14,FIELD-004,Labor,12658.95
2022-01-14,FIELD-004,Maintenance,0.0
2022-01-14,FIELD-004,Other,3544.1
2022-01-14,FIELD-004,Production,16133.06
2022-01-14,FIELD-004,Transportation,4946.64
2022-01-14,FIELD-004,Utilities,6492.84
2022-01-15,FIELD-001,Energy,3326.88
2022-01-15,FIELD-001,Labor,20525.85
2022-01-15,FIELD-001,Maintenance,2429.4
2022-01-15,FIELD-001,Other,3698.43
2022-01-15,FIELD-001,Production,36592.68
2022-01-15,FIELD-001,Transportation,12960.23
2022-01-15,FIELD-001,Utilities,5342.29
2022-01-15,FIELD-002,Energy,3503.6
2022-01-15,FIELD-002,Labor,12887.55
2022-01-15,FIELD-002,Maintenance,0.0
2022-01-15,FIELD-002,Other,2801.65
2022-01-15,FIELD-002,Production,18165.43
2022-01-15,FIELD-002,Transportation,4886.89
2022-01-15,FIELD-002,Utilities,6212.65
2022-01-15,FIELD-003,Energy,3446.05
2022-01-15,FIELD-003,Labor,9236.24
2022-01-15,FIELD-003,Maintenance,0.0
2022-01-15,FIELD-003,Other,4188.95
2022-01-15,FIELD-003,Production,9018.62
2022-01-15,FIELD-003,Transportation,1259.43
2022-01-15,FIELD-003,Utilities,5881.78
2022-01-15,FIELD-004,Energy,3506.92
20220115,FIELD-004,Labor,12590.58
2022-01-15,FIELD-004,Maintenance,0.0
2022/01/15,FIELD-004,Other,4493.68
2022-01-15,FIELD-004,Production,16152.31
15-Jan-2022,FIELD-004,Transportation,4399.14
15-Jan-2022,FIELD-004,Utilities,6320.24
2022-01-16,FIELD-001,Energy,3455.66
16-Jan-2022,FIELD-001,Labor,20428.44
2022-01-16,FIELD-001,Maintenance,0.0
16-Jan-2022,FIELD-001,Other,4758.88
2022-01-16,FIELD-001,Production,37160.38
2022-01-16,FIELD-001,Transportation,12764.61
2022-01-16,FIELD-001,Utilities,5732.76
2022-01-16,FIELD-002,Energy,3493.55
2022-01-16,FIELD-002,Labor,13578.54
2022-01-16,FIELD-002,Maintenance,0.0
2022-01-16,FIELD-002,Other,5674.93
2022-01-16,FIELD-002,Production,18167.59
2022-01-16,FIELD-002,transport,4432.59
2022-01-16,FIELD-002,Utilities,5839.18
2022-01-16,FIELD-003,Energy,3430.66
2022-01-16,FIELD-003,Labor,9107.85
2022-01-16,FIELD-003,Maintenance,0.0
2022-01-16,FIELD-003,Other,4173.84
2022-01-16,FIELD-003,Production,9284.44
2022-01-16,FIELD-003,Transportation,1353.02
2022-01-16,FIELD-003,Utilities,6081.45
2022-01-16,FIELD-004,Energy,3506.22
16-Jan-2022,FIELD-004,labour,11270.39
2022-01-16,FIELD-004,Maintenance,0.0
2022-01-16,FIELD-004,Other,6948.43
2022-01-16,FIELD-004,Production,16649.68
2022/01/16,FIELD-004,Transportation,4333.22
2022-01-16,FIELD-004,Utilities,5345.66
2022-01-17,FIELD-001,Energy,3427.78
20220117,FIELD-001,Labor,20117.2
2022-01-17,FIELD-001,Maintenance,0.0
2022-01-17,FIELD-001,Other,4829.02
2022-01-17,FIELD-001,Production,35137.65
2022-01-17,FIELD-001,Transportation,12142.89
2022-01-17,FIELD-001,Utilities,5751.26
2022-01-17,FIELD-002,Energy,3520.1
2022-01-17,FIELD-002,Labor,13257.34
2022-01-17,FIELD-002,Maintenance,0.0
2022-01-17,FIELD-002,Other,2898.17
2022-01-17,FIELD-002,Production,18253.82
2022-01-17,FIELD-002,Transportation,4745.0
2022-01-17,FIELD-002,Utilities,6281.95
2022-01-17,FIELD-003,Energy,3449.6
17-Jan-2022,FIELD-003,Labor,8854.47
2022-01-17,FIELD-003,Maintenance,0.0
2022-01-17,FIELD-003,Other,3066.49
2022-01-17,FIELD-003,Production,9272.67
2022-01-17,FIELD-003,Transportation,1358.47
2022-01-17,FIELD-003,Utilities,6442.78
2022-01-17,FIELD-004,Energy,3409.46
2022-01-17,FIELD-004,Labor,11736.06
2022/01/17,FIELD-004,Maintenance,0.0
2022-01-17,FIELD-004,Other,2066.24
2022/01/17,FIELD-004,Production,16270.86
2022-01-17,FIELD-004,Transportation,4625.43
2022-01-17,FIELD-004,Utilities,6034.38
2022-01-18,FIELD-001,Energy,3437.94
20220118,FIELD-001,Labor,20095.2
2022/01/18,FIELD-001,Maintenance,0.0
2022/01/18,FIELD-001,other,5309.52
2022-01-18,FIELD-001,Production,36874.59
2022-01-18,FIELD-001,Transportation,12678.33
2022-01-18,FIELD-001,Utilities,6173.67
20220118,FIELD-002,Energy,3419.1
2022-01-18,FIELD-002,Labor,12454.18
2022-01-18,FIELD-002,Maintenance,0.0
18-Jan-2022,FIELD-002,Other,1602.22
2022-01-18,FIELD-002,Production,17445.88
2022-01-18,FIELD-002,Transportation,5005.33
2022-01-18,FIELD-002,Utilities,5836.33
2022-01-18,FIELD-003,Energy,3386.45
2022-01-18,FIELD-003,Labor,9436.81
2022-01-18,FIELD-003,Maintenance,0.0
2022-01-18,FIELD-003,Other,2058.48
2022-01-18,FIELD-003,Production,9021.11
2022-01-18,FIELD-003,Transportation,1412.27
2022-01-18,FIELD-003,Utilities,6102.22
2022-01-18,FIELD-004,Energy,3417.77
2022-01-18,FIELD-004,Labor,12460.7
2022-01-18,FIELD-004,Maintenance,0.0
2022-01-18,FIELD-004,Other,4959.93
2022-01-18,FIELD-004,Production,16330.38
2022-01-18,FIELD-004,Transportation,4419.65
2022-01-18,FIELD-004,Utilities,5400.05
2022-01-19,FIELD-001,Energy,3464.29
2022-01-19,FIELD-001,Labor,19293.78
2022-01-19,FIELD-001,Maintenance,0.0
2022-01-19,FIELD-001,Other,4661.39
2022-01-19,FIELD-001,Production,36670.27
2022-01-19,FIELD-001,Transportation,13861.97
2022-01-19,FIELD-001,Utilities,5133.99
2022-01-19,FIELD-002,Energy,3491.24
2022-01-19,FIELD-002,Labor,15202.45
2022-01-19,FIELD-002,Maintenance,23838.25
2022-01-19,FIELD-002,Other,2445.49
2022-01-19,FIELD-002,Production,15172.64
2022-01-19,FIELD-002,Transportation,3318.33
2022-01-19,FIELD-002,Utilities,6327.55
2022-01-19,FIELD-003,Energy,3449.65
2022-01-19,FIELD-003,Labor,9667.8
2022-01-19,FIELD-003,Maintenance,1847.51
2022-01-19,FIELD-003,other,2877.44
2022-01-19,FIELD-003,Production,9026.38
2022-01-19,FIELD-003,Transportation,1394.55
2022-01-19,FIELD-003,Utilities,5417.32
2022-01-19,FIELD-004,Energy,3391.8
20220119,FIELD-004,Labor,12781.88
2022-01-19,FIELD-004,Maintenance,0.0
2022-01-19,FIELD-004,Other,6385.77
2022-01-19,FIELD-004,Production,16908.27
2022-01-19,FIELD-004,Transportation,4611.47
2022-01-19,FIELD-004,Utilities,6094.78
2022-01-20,FIELD-001,Energy,3414.11
2022-01-20,FIELD-001,Labor,20863.6
2022-01-20,FIELD-001,Maintenance,3929.36
2022-01-20,FIELD-001,Other,3947.02
2022-01-20,FIELD-001,Production,34970.96
2022-01-20,FIELD-001,Transportation,12906.62
2022-01-20,FIELD-001,Utilities,5535.27
2022-01-20,FIELD-002,Energy,3385.2
2022-01-20,FIELD-002,Labor,14529.59
2022/01/20,FIELD-002,Maintenance,2095.52
2022-01-20,FIELD-002,Other,6834.3
2022/01/20,FIELD-002,Production,17825.8
2022-01-20,FIELD-002,Transportation,4763.0
2022-01-20,FIELD-002,Utilities,6364.25
20-Jan-2022,FIELD-003,Energy,2861.59
2022-01-20,FIELD-003,Labor,9457.52
2022-01-20,FIELD-003,Maintenance,5582.49
2022-01-20,FIELD-003,Other,2440.46
2022-01-20,FIELD-003,Production,8741.67
2022-01-20,FIELD-003,Transportation,863.33
2022-01-20,FIELD-003,Utilities,6186.01
2022-01-20,FIELD-004,Energy,2968.57
2022-01-20,FIELD-004,Labor,12820.2
2022/01/20,FIELD-004,Maintenance,4911.46
2022-01-20,FIELD-004,Other,7004.21
20-Jan-2022,FIELD-004,Production,14194.68
20-Jan-2022,FIELD-004,Transportation,3367.23
2022-01-20,FIELD-004,Utilities,6863.47
2022-01-21,FIELD-001,Energy,3481.23
21-Jan-2022,FIELD-001,Labor,20074.69
2022-01-21,FIELD-001,Maintenance,0.0
2022-01-21,FIELD-001,Other,6009.34
2022-01-21,FIELD-001,Production,36373.97
2022-01-21,FIELD-001,Transportation,12754.11
21-Jan-2022,FIELD-001,Utilities,5677.52
2022-01-21,FIELD-002,Energy,3492.11
20220121,FIELD-002,Labor,13433.23
20220121,FIELD-002,Maintenance,0.0
2022-01-21,FIELD-002,Other,3895.28
2022-01-21,FIELD-002,Production,17794.71
20220121,FIELD-002,Transportation,5007.57
20220121,FIELD-002,Utilities,6750.52
2022-01-21,FIELD-003,Energy,3433.55
2022-01-21,FIELD-003,Labor,9364.85
2022-01-21,FIELD-003,Maintenance,0.0
2022-01-21,FIELD-003,Other,3036.9
2022-01-21,FIELD-003,Production,9264.25
2022-01-21,FIELD-003,Transportation,1431.88
2022-01-21,FIELD-003,Utilities,6451.93
2022/01/21,FIELD-004,Energy,3457.15
2022-01-21,FIELD-004,Labor,12132.16
2022-01-21,FIELD-004,Maintenance,0.0
2022-01-21,FIELD-004,Other,3032.4
2022-01-21,FIELD-004,Production,16474.36
2022-01-21,FIELD-004,Transportation,4350.57
2022-01-21,FIELD-004,Utilities,5585.42
2022-01-22,FIELD-001,Energy,3451.76
2022-01-22,FIELD-001,Labor,19981.72
2022-01-22,FIELD-001,Maintenance,0.0
2022-01-22,FIELD-001,Other,5096.44
2022-01-22,FIELD-001,Production,37493.32
2022-01-22,FIELD-001,Transportation,13628.53
2022-01-22,FIELD-001,Utilities,5779.3
2022-01-22,FIELD-002,Energy,3520.9
22-Jan-2022,FIELD-002,Labor,13209.25
22-Jan-2022,FIELD-002,Maintenance,0.0
2022-01-22,FIELD-002,Other,7566.41
2022-01-22,FIELD-002,Production,17824.45
2022-01-22,FIELD-002,Transportation,4694.59
22-Jan-2022,FIELD-002,Utilities,5661.65
20220122,FIELD-003,Energy,3504.08
