maintenance_id,material_id,quantity,warehouse_id
MNT-000270,MAT-003,3,WH-002
MNT-000271,MAT-031,2,WH-002
MNT-000272,MAT-008,2,WH-004
MNT-000274,MAT-032,2,WH-004
MNT-000276,MAT-006,5,WH-001
MNT-000277,MAT-028,2,WH-002
MNT-000278,MAT-009,8,WH-001
MNT-000279,MAT-011,2,WH-002
MNT-000280,MAT-002,5,WH-004
MNT-000281,MAT-028,4,WH-001
MNT-000282,MAT-022,1,WH-001
MNT-000283,MAT-031,5,WH-003
MNT-000283,MAT-036,5,WH-003
MNT-000284,MAT-004,4,WH-002
MNT-000285,MAT-017,4,WH-002
MNT-000286,MAT-029,3,WH-002
MNT-000287,MAT-013,3,WH-003
MNT-000288,MAT-038,7,WH-004
MNT-000289,MAT-006,3,WH-001
MNT-000290,MAT-020,2,WH-004
MNT-000291,MAT-004,6,WH-003
MNT-000293,MAT-004,5,WH-003
MNT-000294,MAT-005,5,WH-004
MNT-000295,MAT-004,3,WH-002
MNT-000295,MAT-015,2,WH-002
MNT-000296,MAT-003,5,WH-002
MNT-000296,MAT-010,2,WH-002
MNT-000297,MAT-018,5,WH-002
MNT-000298,MAT-017,2,WH-002
MNT-000299,MAT-026,2,WH-004
MNT-000300,MAT-003,3,WH-002
MNT-000301,MAT-007,1,WH-002
MNT-000302,MAT-036,8,WH-003
MNT-000303,MAT-035,6,WH-002
MNT-000304,MAT-035,1,WH-002
MNT-000305,MAT-004,4,WH-003
MNT-000306,MAT-008,4,WH-004
MNT-000307,MAT-001,6,WH-004
MNT-000307,MAT-002,4,WH-004
MNT-000308,MAT-014,4,WH-001
MNT-000308,MAT-017,1,WH-001
MNT-000309,MAT-009,2,WH-001
MNT-000310,MAT-009,1,WH-001
MNT-000311,MAT-013,4,WH-004
MNT-000312,MAT-004,6,WH-002
MNT-000313,MAT-031,4,WH-002
MNT-000314,MAT-004,5,WH-002
MNT-000315,MAT-008,8,WH-003
MNT-000316,MAT-036,8,WH-003
MNT-000317,MAT-010,7,WH-002
MNT-000318,MAT-008,1,WH-004
MNT-000318,MAT-013,3,WH-004
MNT-000319,MAT-002,6,WH-004
MNT-000319,MAT-037,6,WH-004
MNT-000320,MAT-018,2,WH-003
MNT-000321,MAT-018,1,WH-003
MNT-000322,MAT-013,4,WH-003
MNT-000323,MAT-013,3,WH-003
MNT-000324,MAT-005,2,WH-004
MNT-000326,MAT-015,1,WH-001
MNT-000327,MAT-020,6,WH-001
MNT-000328,MAT-002,1,WH-001
MNT-000329,MAT-039,8,WH-001
MNT-000330,MAT-002,2,WH-001
MNT-000331,MAT-009,5,WH-001
MNT-000332,MAT-011,1,WH-001
MNT-000333,MAT-011,5,WH-002
MNT-000334,MAT-015,2,WH-002
MNT-000335,MAT-007,5,WH-003
MNT-000336,MAT-002,3,WH-001
MNT-000337,MAT-002,2,WH-001
MNT-000338,MAT-038,7,WH-001
MNT-000339,MAT-037,3,WH-004
MNT-000340,MAT-009,2,WH-004
MNT-000341,MAT-033,5,WH-004
MNT-000342,MAT-024,4,WH-004
MNT-000343,MAT-003,7,WH-002
MNT-000345,MAT-023,3,WH-003
MNT-000346,MAT-025,3,WH-001
MNT-000347,MAT-015,5,WH-002
MNT-000348,MAT-031,8,WH-003
MNT-000349,MAT-005,2,WH-003
MNT-000350,MAT-019,4,WH-004
MNT-000350,MAT-033,6,WH-004
MNT-000351,MAT-009,2,WH-001
MNT-000352,MAT-016,1,WH-001
MNT-000353,MAT-034,5,WH-001
MNT-000354,MAT-007,3,WH-002
MNT-000355,MAT-011,5,WH-002
MNT-000355,MAT-012,4,WH-002
MNT-000356,MAT-039,7,WH-001
MNT-000358,MAT-008,6,WH-003
MNT-000359,MAT-008,7,WH-003
MNT-000360,MAT-008,1,WH-003
MNT-000361,MAT-003,4,WH-001
MNT-000361,MAT-011,2,WH-001
MNT-000362,MAT-003,1,WH-002
MNT-000363,MAT-003,6,WH-002
MNT-000364,MAT-002,7,WH-001
MNT-000365,MAT-038,1,WH-001
MNT-000366,MAT-004,5,WH-002
MNT-000366,MAT-010,5,WH-002
MNT-000367,MAT-015,4,WH-001
MNT-000368,MAT-003,6,WH-002
MNT-000368,MAT-017,1,WH-002
MNT-000369,MAT-030,3,WH-004
MNT-000370,MAT-013,2,WH-004
MNT-000371,MAT-013,5,WH-003
MNT-000372,MAT-001,3,WH-004
MNT-000373,MAT-018,4,WH-003
MNT-000373,MAT-023,5,WH-003
MNT-000374,MAT-038,4,WH-004
MNT-000375,MAT-002,8,WH-004
MNT-000376,MAT-002,2,WH-004
MNT-000377,MAT-037,7,WH-004
MNT-000378,MAT-002,1,WH-004
MNT-000379,MAT-038,2,WH-004
MNT-000380,MAT-025,7,WH-001
MNT-000381,MAT-009,4,WH-004
MNT-000381,MAT-014,4,WH-004
MNT-000382,MAT-002,3,WH-004
MNT-000383,MAT-001,1,WH-003
MNT-000384,MAT-022,2,WH-002
MNT-000385,MAT-009,3,WH-004
MNT-000386,MAT-016,5,WH-004
MNT-000387,MAT-038,1,WH-004
MNT-000388,MAT-031,5,WH-002
MNT-000389,MAT-005,7,WH-003
MNT-000391,MAT-001,5,WH-003
MNT-000391,MAT-008,2,WH-003
MNT-000392,MAT-007,6,WH-003
MNT-000393,MAT-005,4,WH-003
MNT-000394,MAT-003,1,WH-001
MNT-000394,MAT-020,5,WH-001
MNT-000395,MAT-009,5,WH-004
MNT-000396,MAT-006,4,WH-002
MNT-000397,MAT-010,1,WH-002
MNT-000398,MAT-008,2,WH-004
MNT-000400,MAT-014,5,WH-001
MNT-000401,MAT-039,7,WH-002
MNT-000403,MAT-003,6,WH-002
MNT-000404,MAT-035,6,WH-003
MNT-000405,MAT-001,4,WH-003
MNT-000405,MAT-005,6,WH-003
MNT-000406,MAT-024,2,WH-003
MNT-000406,MAT-030,5,WH-003
MNT-000407,MAT-004,5,WH-002
MNT-000407,MAT-018,1,WH-002
MNT-000408,MAT-013,7,WH-004
MNT-000409,MAT-022,5,WH-002
MNT-000410,MAT-013,7,WH-003
MNT-000411,MAT-002,6,WH-001
MNT-000412,MAT-035,3,WH-003
MNT-000413,MAT-004,4,WH-002
MNT-000414,MAT-003,3,WH-002
MNT-000414,MAT-010,2,WH-002
MNT-000415,MAT-015,2,WH-002
MNT-000416,MAT-005,7,WH-003
MNT-000417,MAT-025,6,WH-004
MNT-000418,MAT-008,1,WH-004
MNT-000419,MAT-038,2,WH-001
MNT-000420,MAT-006,2,WH-002
MNT-000422,MAT-004,4,WH-002
MNT-000422,MAT-010,2,WH-002
MNT-000423,MAT-017,7,WH-002
MNT-000424,MAT-005,4,WH-004
MNT-000424,MAT-019,6,WH-004
MNT-000425,MAT-007,8,WH-003
MNT-000426,MAT-022,1,WH-002
MNT-000427,MAT-006,6,WH-002
MNT-000428,MAT-014,3,WH-004
MNT-000429,MAT-003,7,WH-001
MNT-000430,MAT-002,4,WH-001
MNT-000431,MAT-007,2,WH-003
MNT-000432,MAT-003,3,WH-001
MNT-000433,MAT-016,6,WH-001
MNT-000434,MAT-003,3,WH-002
MNT-000435,MAT-007,5,WH-003
MNT-000436,MAT-001,2,WH-003
MNT-000436,MAT-007,5,WH-003
MNT-000437,MAT-039,2,WH-001
MNT-000438,MAT-009,6,WH-001
MNT-000439,MAT-018,2,WH-003
MNT-000440,MAT-032,7,WH-004
MNT-000441,MAT-009,3,WH-001
MNT-000442,MAT-031,7,WH-003
MNT-000443,MAT-001,5,WH-004
MNT-000444,MAT-038,6,WH-004
MNT-000445,MAT-012,6,WH-003
MNT-000446,MAT-009,3,WH-004
MNT-000446,MAT-013,3,WH-004
MNT-000447,MAT-039,6,WH-001
MNT-000448,MAT-004,7,WH-002
MNT-000449,MAT-011,4,WH-001
MNT-000449,MAT-021,5,WH-001
MNT-000450,MAT-011,4,WH-001
MNT-000451,MAT-003,6,WH-002
MNT-000452,MAT-006,7,WH-001
MNT-000453,MAT-005,5,WH-003
MNT-000454,MAT-013,6,WH-003
MNT-000455,MAT-039,6,WH-001
MNT-000456,MAT-001,5,WH-004
MNT-000457,MAT-006,3,WH-001
MNT-000458,MAT-017,5,WH-001
MNT-000459,MAT-005,3,WH-004
MNT-000460,MAT-001,2,WH-004
MNT-000461,MAT-002,6,WH-001
MNT-000463,MAT-003,3,WH-001
MNT-000464,MAT-004,1,WH-002
MNT-000464,MAT-007,3,WH-002
MNT-000465,MAT-006,6,WH-001
MNT-000465,MAT-014,4,WH-001
MNT-000466,MAT-003,5,WH-002
MNT-000466,MAT-012,6,WH-002
MNT-000467,MAT-039,7,WH-002
MNT-000468,MAT-017,2,WH-002
MNT-000469,MAT-009,6,WH-004
MNT-000469,MAT-013,4,WH-004
MNT-000470,MAT-038,4,WH-001
MNT-000471,MAT-004,2,WH-003
MNT-000472,MAT-005,5,WH-004
MNT-000473,MAT-013,4,WH-004
MNT-000474,MAT-033,2,WH-004
MNT-000475,MAT-009,1,WH-004
MNT-000475,MAT-014,1,WH-004
MNT-000476,MAT-023,2,WH-002
MNT-000478,MAT-025,2,WH-004
MNT-000479,MAT-015,3,WH-001
MNT-000480,MAT-025,2,WH-001
MNT-000481,MAT-040,2,WH-002
MNT-000482,MAT-017,1,WH-002
MNT-000483,MAT-013,6,WH-004
MNT-000484,MAT-025,2,WH-004
MNT-000485,MAT-006,5,WH-002
MNT-000486,MAT-028,4,WH-002
MNT-000488,MAT-014,6,WH-004
MNT-000489,MAT-004,3,WH-002
MNT-000490,MAT-001,6,WH-003
MNT-000491,MAT-002,4,WH-004
MNT-000492,MAT-014,2,WH-004
MNT-000493,MAT-009,4,WH-004
MNT-000494,MAT-033,2,WH-001
MNT-000494,MAT-034,6,WH-001
MNT-000495,MAT-040,6,WH-003
MNT-000496,MAT-035,2,WH-003
MNT-000497,MAT-010,5,WH-001
MNT-000498,MAT-011,2,WH-001
MNT-000499,MAT-005,2,WH-003
MNT-000499,MAT-008,5,WH-003
MNT-000500,MAT-014,6,WH-001
MNT-000500,MAT-015,2,WH-001
MNT-000501,MAT-008,3,WH-004
MNT-000502,MAT-011,4,WH-002
MNT-000503,MAT-006,2,WH-002
MNT-000503,MAT-012,5,WH-002
MNT-000504,MAT-031,3,WH-002
MNT-000505,MAT-004,2,WH-002
MNT-000506,MAT-004,6,WH-003
MNT-000507,MAT-036,7,WH-003
MNT-000508,MAT-032,6,WH-004
MNT-000508,MAT-037,2,WH-004
MNT-000509,MAT-003,4,WH-002
MNT-000509,MAT-006,5,WH-002
MNT-000510,MAT-005,2,WH-004
MNT-000511,MAT-001,1,WH-004
MNT-000512,MAT-001,4,WH-003
MNT-000513,MAT-008,2,WH-003
MNT-000514,MAT-005,3,WH-004
MNT-000515,MAT-003,2,WH-002
MNT-000516,MAT-007,5,WH-003
MNT-000516,MAT-019,3,WH-003
MNT-000517,MAT-007,8,WH-002
MNT-000518,MAT-014,3,WH-001
MNT-000519,MAT-003,2,WH-002
MNT-000519,MAT-006,3,WH-002
MNT-000520,MAT-020,6,WH-004
MNT-000522,MAT-011,8,WH-001
MNT-000523,MAT-016,2,WH-001
MNT-000524,MAT-002,3,WH-004
MNT-000524,MAT-020,3,WH-004
MNT-000525,MAT-015,6,WH-001
MNT-000526,MAT-008,3,WH-003
MNT-000527,MAT-013,6,WH-003
MNT-000529,MAT-013,3,WH-003
MNT-000530,MAT-013,6,WH-003
MNT-000531,MAT-006,2,WH-001
MNT-000532,MAT-008,5,WH-003
MNT-000533,MAT-001,2,WH-003
MNT-000535,MAT-006,4,WH-002
MNT-000535,MAT-007,2,WH-002
MNT-000536,MAT-012,7,WH-002
MNT-000537,MAT-008,2,WH-004
MNT-000538,MAT-013,2,WH-004
MNT-000539,MAT-021,5,WH-001
MNT-000539,MAT-025,4,WH-001
MNT-000540,MAT-004,8,WH-003
MNT-000541,MAT-018,1,WH-003
MNT-000542,MAT-017,7,WH-001
MNT-000543,MAT-017,1,WH-001
MNT-000544,MAT-012,4,WH-003
MNT-000545,MAT-017,5,WH-002
MNT-000546,MAT-005,3,WH-003
MNT-000547,MAT-002,6,WH-004
MNT-000547,MAT-009,2,WH-004
MNT-000548,MAT-040,8,WH-002
MNT-000549,MAT-023,8,WH-003
MNT-000551,MAT-039,7,WH-001
MNT-000552,MAT-003,2,WH-001
MNT-000553,MAT-019,6,WH-003
MNT-000554,MAT-031,5,WH-002
MNT-000555,MAT-014,5,WH-001
MNT-000556,MAT-003,4,WH-001
MNT-000557,MAT-025,4,WH-001
MNT-000558,MAT-005,8,WH-004
MNT-000559,MAT-007,4,WH-002
MNT-000559,MAT-010,1,WH-002
MNT-000560,MAT-014,2,WH-001
MNT-000560,MAT-015,5,WH-001
MNT-000561,MAT-018,5,WH-002
MNT-000561,MAT-035,1,WH-002
MNT-000562,MAT-036,2,WH-003
MNT-000564,MAT-020,6,WH-001
MNT-000565,MAT-005,6,WH-004
MNT-000566,MAT-040,1,WH-003
MNT-000567,MAT-020,8,WH-004
MNT-000568,MAT-002,2,WH-001
MNT-000569,MAT-032,5,WH-004
MNT-000571,MAT-015,7,WH-002
MNT-000573,MAT-008,2,WH-004
MNT-000574,MAT-021,3,WH-004
MNT-000574,MAT-027,2,WH-004
MNT-000575,MAT-009,8,WH-001
MNT-000576,MAT-017,3,WH-001
MNT-000577,MAT-009,5,WH-001
MNT-000578,MAT-028,6,WH-001
MNT-000579,MAT-012,5,WH-002
MNT-000580,MAT-028,1,WH-002
MNT-000581,MAT-013,8,WH-003
MNT-000582,MAT-030,1,WH-003
MNT-000583,MAT-005,2,WH-004
MNT-000584,MAT-005,2,WH-003
MNT-000585,MAT-012,2,WH-003
MNT-000586,MAT-010,1,WH-001
MNT-000587,MAT-017,2,WH-002
MNT-000587,MAT-035,5,WH-002
MNT-000588,MAT-002,2,WH-004
MNT-000589,MAT-017,7,WH-002
MNT-000590,MAT-018,2,WH-002
MNT-000591,MAT-012,4,WH-003
MNT-000591,MAT-024,5,WH-003
MNT-000592,MAT-001,2,WH-004
MNT-000593,MAT-009,6,WH-004
MNT-000594,MAT-003,6,WH-002
MNT-000594,MAT-015,3,WH-002
MNT-000595,MAT-021,2,WH-004
MNT-000595,MAT-027,3,WH-004
MNT-000596,MAT-012,5,WH-003
MNT-000596,MAT-013,2,WH-003
MNT-000597,MAT-014,5,WH-004
MNT-000598,MAT-037,6,WH-004
MNT-000599,MAT-035,4,WH-002
MNT-000600,MAT-018,1,WH-002
MNT-000601,MAT-003,5,WH-002
MNT-000603,MAT-003,6,WH-002
MNT-000604,MAT-022,4,WH-001
MNT-000605,MAT-022,6,WH-002
MNT-000605,MAT-023,1,WH-002
MNT-000606,MAT-018,6,WH-002
MNT-000607,MAT-026,6,WH-004
MNT-000608,MAT-006,3,WH-001
MNT-000609,MAT-031,4,WH-003
MNT-000610,MAT-006,4,WH-001
MNT-000610,MAT-009,1,WH-001
MNT-000611,MAT-003,8,WH-002
MNT-000612,MAT-014,6,WH-004
MNT-000613,MAT-039,3,WH-002
MNT-000614,MAT-009,3,WH-004
MNT-000614,MAT-021,1,WH-004
MNT-000615,MAT-015,5,WH-001
MNT-000616,MAT-013,3,WH-004
MNT-000617,MAT-004,7,WH-002
MNT-000618,MAT-009,5,WH-004
MNT-000618,MAT-013,1,WH-004
MNT-000619,MAT-013,5,WH-004
MNT-000620,MAT-018,6,WH-003
MNT-000621,MAT-001,5,WH-003
MNT-000622,MAT-012,1,WH-003
MNT-000623,MAT-009,5,WH-004
MNT-000624,MAT-012,6,WH-002
MNT-000625,MAT-036,3,WH-003
MNT-000626,MAT-009,8,WH-001
MNT-000628,MAT-036,3,WH-003
MNT-000628,MAT-037,6,WH-003
MNT-000629,MAT-011,2,WH-002
MNT-000630,MAT-011,6,WH-001
MNT-000631,MAT-003,1,WH-001
MNT-000632,MAT-005,1,WH-004
MNT-000632,MAT-008,3,WH-004
MNT-000633,MAT-013,6,WH-003
MNT-000633,MAT-018,5,WH-003
MNT-000634,MAT-032,5,WH-003
MNT-000635,MAT-035,1,WH-003
MNT-000636,MAT-004,3,WH-002
MNT-000637,MAT-013,4,WH-004
MNT-000637,MAT-019,6,WH-004
MNT-000638,MAT-011,6,WH-001
MNT-000638,MAT-014,4,WH-001
MNT-000639,MAT-020,4,WH-001
MNT-000640,MAT-001,7,WH-004
MNT-000641,MAT-033,1,WH-004
MNT-000641,MAT-037,5,WH-004
MNT-000642,MAT-013,6,WH-004
MNT-000643,MAT-038,8,WH-004
MNT-000644,MAT-008,6,WH-003
MNT-000645,MAT-012,6,WH-003
MNT-000646,MAT-002,5,WH-001
MNT-000648,MAT-001,2,WH-003
