equipment_id,well_id,impact_factor
EQ-0018,WELL-0032,0.6
EQ-0018,WELL-0033,0.6
EQ-0018,WELL-0034,0.6
EQ-0019,WELL-0019,0.6
EQ-0019,WELL-0020,0.6
EQ-0019,WELL-0021,0.6
EQ-0019,WELL-0022,0.6
EQ-0019,WELL-0023,0.6
EQ-0019,WELL-0024,0.6
EQ-0019,WELL-0025,0.6
EQ-0019,WELL-0026,0.6
EQ-0019,WELL-0027,0.6
EQ-0019,WELL-0028,0.6
EQ-0019,WELL-0029,0.6
EQ-0019,WELL-0030,0.6
EQ-0019,WELL-0031,0.6
EQ-0019,WELL-0032,0.6
EQ-0019,WELL-0033,0.6
EQ-0019,WELL-0034,0.6
EQ-0020,WELL-0019,0.6
EQ-0020,WELL-0020,0.6
EQ-0020,WELL-0021,0.6
EQ-0020,WELL-0022,0.6
EQ-0020,WELL-0023,0.6
EQ-0020,WELL-0024,0.6
EQ-0020,WELL-0025,0.6
EQ-0020,WELL-0026,0.6
EQ-0020,WELL-0027,0.6
EQ-0020,WELL-0028,0.6
EQ-0020,WELL-0029,0.6
EQ-0020,WELL-0030,0.6
EQ-0020,WELL-0031,0.6
EQ-0020,WELL-0032,0.6
EQ-0020,WELL-0033,0.6
EQ-0020,WELL-0034,0.6
EQ-0021,WELL-0019,0.8
EQ-0021,WELL-0020,0.8
EQ-0021,WELL-0021,0.8
EQ-0021,WELL-0022,0.8
EQ-0021,WELL-0023,0.8
EQ-0021,WELL-0024,0.8
EQ-0021,WELL-0025,0.8
EQ-0021,WELL-0026,0.8
EQ-0021,WELL-0027,0.8
EQ-0021,WELL-0028,0.8
EQ-0021,WELL-0029,0.8
EQ-0021,WELL-0030,0.8
EQ-0021,WELL-0031,0.8
EQ-0021,WELL-0032,0.8
EQ-0021,WELL-0033,0.8
EQ-0021,WELL-0034,0.8
EQ-0022,WELL-0034,0.7
EQ-0022,WELL-0025,0.7
EQ-0022,WELL-0032,0.7
EQ-0022,WELL-0021,0.7
EQ-0023,WELL-0033,0.7
EQ-0023,WELL-0026,0.7
EQ-0023,WELL-0032,0.7
EQ-0023,WELL-0031,0.7
EQ-0024,WELL-0019,0.5
EQ-0024,WELL-0020,0.5
EQ-0024,WELL-0021,0.5
EQ-0024,WELL-0022,0.5
EQ-0024,WELL-0023,0.5
EQ-0024,WELL-0024,0.5
EQ-0024,WELL-0025,0.5
EQ-0024,WELL-0026,0.5
EQ-0024,WELL-0027,0.5
EQ-0024,WELL-0028,0.5
EQ-0024,WELL-0029,0.5
EQ-0024,WELL-0030,0.5
EQ-0024,WELL-0031,0.5
EQ-0024,WELL-0032,0.5
EQ-0024,WELL-0033,0.5
EQ-0024,WELL-0034,0.5
EQ-0025,WELL-0035,1.0
EQ-0025,WELL-0039,1.0
EQ-0025,WELL-0043,1.0
EQ-0025,WELL-0047,1.0
EQ-0026,WELL-0036,1.0
EQ-0026,WELL-0040,1.0
EQ-0026,WELL-0044,1.0
EQ-0026,WELL-0048,1.0
EQ-0027,WELL-0037,1.0
EQ-0027,WELL-0041,1.0
EQ-0027,WELL-0045,1.0
EQ-0028,WELL-0038,1.0
EQ-0028,WELL-0042,1.0
EQ-0028,WELL-0046,1.0
EQ-0029,WELL-0035,0.6
EQ-0029,WELL-0036,0.6
EQ-0029,WELL-0037,0.6
EQ-0029,WELL-0038,0.6
EQ-0029,WELL-0039,0.6
EQ-0029,WELL-0040,0.6
EQ-0029,WELL-0041,0.6
EQ-0029,WELL-0042,0.6
EQ-0029,WELL-0043,0.6
EQ-0029,WELL-0044,0.6
EQ-0029,WELL-0045,0.6
EQ-0029,WELL-0046,0.6
EQ-0029,WELL-0047,0.6
EQ-0029,WELL-0048,0.6
EQ-0030,WELL-0035,0.6
EQ-0030,WELL-0036,0.6
EQ-0030,WELL-0037,0.6
EQ-0030,WELL-0038,0.6
EQ-0030,WELL-0039,0.6
EQ-0030,WELL-0040,0.6
EQ-0030,WELL-0041,0.6
EQ-0030,WELL-0042,0.6
EQ-0030,WELL-0043,0.6
EQ-0030,WELL-0044,0.6
EQ-0030,WELL-0045,0.6
EQ-0030,WELL-0046,0.6
EQ-0030,WELL-0047,0.6
EQ-0030,WELL-0048,0.6
EQ-0031,WELL-0035,0.6
EQ-0031,WELL-0036,0.6
EQ-0031,WELL-0037,0.6
EQ-0031,WELL-0038,0.6
EQ-0031,WELL-0039,0.6
EQ-0031,WELL-0040,0.6
EQ-0031,WELL-0041,0.6
EQ-0031,WELL-0042,0.6
EQ-0031,WELL-0043,0.6
EQ-0031,WELL-0044,0.6
EQ-0031,WELL-0045,0.6
EQ-0031,WELL-0046,0.6
EQ-0031,WELL-0047,0.6
EQ-0031,WELL-0048,0.6
EQ-0032,WELL-0035,0.6
EQ-0032,WELL-0036,0.6
EQ-0032,WELL-0037,0.6
EQ-0032,WELL-0038,0.6
EQ-0032,WELL-0039,0.6
EQ-0032,WELL-0040,0.6
EQ-0032,WELL-0041,0.6
EQ-0032,WELL-0042,0.6
EQ-0032,WELL-0043,0.6
EQ-0032,WELL-0044,0.6
EQ-0032,WELL-0045,0.6
EQ-0032,WELL-0046,0.6
EQ-0032,WELL-0047,0.6
EQ-0032,WELL-0048,0.6
EQ-0033,WELL-0035,0.8
EQ-0033,WELL-0036,0.8
EQ-0033,WELL-0037,0.8
EQ-0033,WELL-0038,0.8
EQ-0033,WELL-0039,0.8
EQ-0033,WELL-0040,0.8
EQ-0033,WELL-0041,0.8
EQ-0033,WELL-0042,0.8
EQ-0033,WELL-0043,0.8
EQ-0033,WELL-0044,0.8
EQ-0033,WELL-0045,0.8
EQ-0033,WELL-0046,0.8
EQ-0033,WELL-0047,0.8
EQ-0033,WELL-0048,0.8
EQ-0034,WELL-0039,0.7
EQ-0034,WELL-0040,0.7
EQ-0034,WELL-0047,0.7
EQ-0034,WELL-0042,0.7
EQ-0035,WELL-0041,0.7
EQ-0035,WELL-0042,0.7
EQ-0035,WELL-0043,0.7
EQ-0035,WELL-0040,0.7
EQ-0036,WELL-0035,0.5
EQ-0036,WELL-0036,0.5
EQ-0036,WELL-0037,0.5
EQ-0036,WELL-0038,0.5
EQ-0036,WELL-0039,0.5
EQ-0036,WELL-0040,0.5
EQ-0036,WELL-0041,0.5
EQ-0036,WELL-0042,0.5
EQ-0036,WELL-0043,0.5
EQ-0036,WELL-0044,0.5
EQ-0036,WELL-0045,0.5
EQ-0036,WELL-0046,0.5
EQ-0036,WELL-0047,0.5
EQ-0036,WELL-0048,0.5
EQ-0037,WELL-0049,1.0
EQ-0037,WELL-0053,1.0
EQ-0037,WELL-0057,1.0
EQ-0038,WELL-0050,1.0
EQ-0038,WELL-0054,1.0
EQ-0038,WELL-0058,1.0
EQ-0039,WELL-0051,1.0
EQ-0039,WELL-0055,1.0
EQ-0039,WELL-0059,1.0
EQ-0040,WELL-0052,1.0
EQ-0040,WELL-0056,1.0
EQ-0040,WELL-0060,1.0
EQ-0041,WELL-0049,0.6
EQ-0041,WELL-0050,0.6
EQ-0041,WELL-0051,0.6
EQ-0041,WELL-0052,0.6
EQ-0041,WELL-0053,0.6
EQ-0041,WELL-0054,0.6
EQ-0041,WELL-0055,0.6
EQ-0041,WELL-0056,0.6
EQ-0041,WELL-0057,0.6
EQ-0041,WELL-0058,0.6
EQ-0041,WELL-0059,0.6
EQ-0041,WELL-0060,0.6
EQ-0042,WELL-0049,0.6
EQ-0042,WELL-0050,0.6
EQ-0042,WELL-0051,0.6
EQ-0042,WELL-0052,0.6
EQ-0042,WELL-0053,0.6
EQ-0042,WELL-0054,0.6
EQ-0042,WELL-0055,0.6
EQ-0042,WELL-0056,0.6
EQ-0042,WELL-0057,0.6
EQ-0042,WELL-0058,0.6
EQ-0042,WELL-0059,0.6
EQ-0042,WELL-0060,0.6
EQ-0043,WELL-0049,0.6
EQ-0043,WELL-0050,0.6
EQ-0043,WELL-0051,0.6
EQ-0043,WELL-0052,0.6
EQ-0043,WELL-0053,0.6
EQ-0043,WELL-0054,0.6
EQ-0043,WELL-0055,0.6
EQ-0043,WELL-0056,0.6
EQ-0043,WELL-0057,0.6
EQ-0043,WELL-0058,0.6
EQ-0043,WELL-0059,0.6
EQ-0043,WELL-0060,0.6
EQ-0044,WELL-0049,0.6
EQ-0044,WELL-0050,0.6
EQ-0044,WELL-0051,0.6
EQ-0044,WELL-0052,0.6
EQ-0044,WELL-0053,0.6
EQ-0044,WELL-0054,0.6
EQ-0044,WELL-0055,0.6
EQ-0044,WELL-0056,0.6
EQ-0044,WELL-0057,0.6
EQ-0044,WELL-0058,0.6
EQ-0044,WELL-0059,0.6
EQ-0044,WELL-0060,0.6
EQ-0045,WELL-0049,0.8
EQ-0045,WELL-0050,0.8
EQ-0045,WELL-0051,0.8
EQ-0045,WELL-0052,0.8
EQ-0045,WELL-0053,0.8
EQ-0045,WELL-0054,0.8
EQ-0045,WELL-0055,0.8
EQ-0045,WELL-0056,0.8
EQ-0045,WELL-0057,0.8
EQ-0045,WELL-0058,0.8
EQ-0045,WELL-0059,0.8
EQ-0045,WELL-0060,0.8
EQ-0046,WELL-0054,0.7
EQ-0046,WELL-0053,0.7
EQ-0046,WELL-0049,0.7
EQ-0046,WELL-0060,0.7
EQ-0047,WELL-0051,0.7
EQ-0047,WELL-0052,0.7
EQ-0047,WELL-0053,0.7
EQ-0047,WELL-0055,0.7
EQ-0048,WELL-0049,0.5
EQ-0048,WELL-0050,0.5
EQ-0048,WELL-0051,0.5
EQ-0048,WELL-0052,0.5
EQ-0048,WELL-0053,0.5
EQ-0048,WELL-0054,0.5
EQ-0048,WELL-0055,0.5
EQ-0048,WELL-0056,0.5
EQ-0048,WELL-0057,0.5
EQ-0048,WELL-0058,0.5
EQ-0048,WELL-0059,0.5
EQ-0048,WELL-0060,0.5
