stage,table,check,column,failed_rows,total_rows,status,detail
raw,fact_sales,date_validity,date,1,4392,FAIL,"parsable and within [2000-01-01, 2030-12-31]"
raw,fact_sales,date_format_consistency,date,623,4392,FAIL,non-ISO formatted values
raw,fact_operating_cost,date_validity,date,14,30718,FAIL,"parsable and within [2000-01-01, 2030-12-31]"
raw,fact_operating_cost,date_format_consistency,date,4664,30718,FAIL,non-ISO formatted values
raw,fact_inventory,date_validity,date,43,87723,FAIL,"parsable and within [2000-01-01, 2030-12-31]"
raw,fact_inventory,date_format_consistency,date,13272,87723,FAIL,non-ISO formatted values
raw,fact_hse,date_validity,date,0,397,PASS,"parsable and within [2000-01-01, 2030-12-31]"
raw,fact_hse,date_format_consistency,date,62,397,FAIL,non-ISO formatted values
raw,fact_sensor,date_validity,timestamp,0,105321,PASS,"parsable and within [2000-01-01, 2030-12-31]"
raw,fact_sensor,date_format_consistency,timestamp,2045,105321,FAIL,non-ISO formatted values
raw,fact_maintenance,domain_check,maintenance_type,81,1136,FAIL,"allowed: ['Corrective', 'Inspection', 'Preventive']"
raw,fact_operating_cost,domain_check,cost_category,644,30718,FAIL,"allowed: ['Energy', 'Labor', 'Maintenance', 'Other', 'Production', 'Transportation', 'Utilities']"
raw,fact_hse,domain_check,severity,46,397,FAIL,"allowed: ['Critical', 'High', 'Low', 'Medium']"
raw,fact_maintenance,domain_check,priority,0,1136,PASS,"allowed: ['Critical', 'High', 'Low', 'Medium']"
raw,fact_production,unit_consistency,oil_uom,253,58862,FAIL,oil must be reported in bbl
raw,fact_sales,unit_consistency,gas_uom,12,4392,FAIL,gas must be reported in mcf
raw,fact_production,operating_plus_downtime_eq_24,-,29,58862,FAIL,
raw,fact_production,water_cut_consistent_with_volumes,-,395,58862,FAIL,tolerance 1 percentage point
raw,fact_maintenance,total_cost_eq_components,-,14,1136,FAIL,
raw,fact_inventory,closing_eq_open_plus_receipts_minus_consumption,-,96,87723,FAIL,
raw,fact_sales,revenue_eq_volume_x_price,-,12,4392,FAIL,tolerance $1
raw,fact_hse,lost_time_flag_consistent_with_days_lost,-,0,397,PASS,
raw,dim_supplier,supplier_name_uniqueness_per_id,supplier_name,16,14,FAIL,one canonical name per supplier_id
