operator_number,operator_name,oil_bbl,gas_mcf,water_bbl,completion_months,leases,oil_share_pct,water_to_oil_ratio,cum_oil_share_pct
03093,BOIS D ARC EXPLORATION LLC,165703,157104,25317,36,1,0.015390687469258424,0.15278540521294123,99.96596620535203
03619,TALOS THIRD COAST LLC,131729,3256115,204039,168,6,0.012235142813575753,1.5489300002277402,99.97820134816561
03748,NATURAL RESOURCES WORLDWIDE LLC,101110,104025,643946,508,2,0.009391214462120295,6.368766689743843,99.98759256262774
02066,RIDGELAKE ENERGY INC,32954,9574,117638,147,3,0.003060805868704502,3.569763913333738,99.99065336849644
02886,GOM ENERGY VENTURE III LLC,28909,22653,35742,12,1,0.002685101561521468,1.2363623784980455,99.99333847005796
03147,EC OFFSHORE PROPERTIES INC,28073,587865,37039,136,2,0.0026074529086648505,1.3193816122252697,99.99594592296663
02528,EQUINOR USA E&P INC,23370,30319,211838,68,2,0.002170632795764527,9.064527171587505,99.9981165557624
02967,PEREGRINE OIL & GAS II LLC,17101,27439,34051,24,1,0.0015883607805036017,1.991170107011286,99.9997049165429
03628,GULF OFFSHORE LLC,3177,256526,8394,9,1,0.0002950834570878862,2.6421152030217185,99.99999999999999
01978,HELIS OIL & GAS COMPANY LLC,0,0,0,18,1,0.0,,99.99999999999999
02503,CONTANGO OPERATORS LLC,0,0,0,28,1,0.0,,99.99999999999999
02957,MC OFFSHORE PETROLEUM LLC,0,0,0,87,3,0.0,,99.99999999999999
03368,WHITNEY OIL & GAS LLC,0,0,0,113,5,0.0,,99.99999999999999
